family,model,dim,cfg,kernel,split,svc_c,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,laplacian_med_x0.1__svc__d4,laplacian_med_x0.1,id_test,1.0,0.1684563159942627,0.905,0.9056571146245059,0.9049915254786616,0.9058888277380297,0.9620578063241106,0.945144899441181,,,,
classical_ext,svc,4,laplacian_med_x0.1__svc__d4,laplacian_med_x0.1,ood_test,1.0,0.1684563159942627,0.8133333333333334,0.8185296093033956,0.8119926786566927,0.8278688524590164,0.8997351817425067,0.8595546900273373,,,,
classical_ext,gpc,4,laplacian_med_x0.1__gpc__d4,laplacian_med_x0.1,id_test,,48.82921051979065,0.9,0.9007164031620554,0.8999850594965422,0.9012074643249177,0.966731719367589,0.9588411590153839,0.2341590524162337,0.06917305080188504,0.041705293166088286,0.3210938887112448
classical_ext,gpc,4,laplacian_med_x0.1__gpc__d4,laplacian_med_x0.1,ood_test,,48.82921051979065,0.8111111111111111,0.8166408774996011,0.8094908424862814,0.82706002034588,0.8870620016104315,0.8473656519861471,0.4150014924863673,0.13565575888033926,0.07609490255892185,0.4309025848162277
classical_ext,svc,4,laplacian_med_x0.3__svc__d4,laplacian_med_x0.3,id_test,1.0,0.3735320568084717,0.895,0.895701581027668,0.8949857063878139,0.8962108731466227,0.9614599802371541,0.9414917367082408,,,,
classical_ext,svc,4,laplacian_med_x0.3__svc__d4,laplacian_med_x0.3,ood_test,1.0,0.3735320568084717,0.8133333333333334,0.8191567127903137,0.8114898906466819,0.8301314459049545,0.8885178217368663,0.8299172596843873,,,,
classical_ext,gpc,4,laplacian_med_x0.3__gpc__d4,laplacian_med_x0.3,id_test,,51.00831627845764,0.8888888888888888,0.8897727272727273,0.8888444266595528,0.8910675381263616,0.963705533596838,0.9557921667057404,0.2341597977709742,0.07091287239513386,0.033595225334044646,0.2980899369032463
classical_ext,gpc,4,laplacian_med_x0.3__gpc__d4,laplacian_med_x0.3,ood_test,,51.00831627845764,0.8033333333333333,0.8099579580916758,0.8005668758231468,0.8240556660039762,0.8728575510310101,0.8142730563206383,0.43535136797178653,0.1445727485297142,0.09999022193339617,0.42168579609708495
classical_ext,svc,4,laplacian_med_x3__svc__d4,laplacian_med_x3,id_test,1.0,0.11792993545532227,0.89,0.8923418972332016,0.8891888900358302,0.8986693961105425,0.9554767786561265,0.9256303119465874,,,,
classical_ext,svc,4,laplacian_med_x3__svc__d4,laplacian_med_x3,ood_test,1.0,0.11792993545532227,0.7522222222222222,0.7625133120340788,0.7414139644189738,0.794280442804428,0.8559257568842232,0.7435020774127287,,,,
