group,effect,ci_lo,ci_hi,ci_method,n_qsplit_clusters,simultaneous,original_effect,original_ci_lo,original_ci_hi,ablation_change,change_ci_lo,change_ci_hi,ablated_effect,ablated_ci_lo,ablated_ci_hi,dataset
toniot_scanning_m2_centroid,-0.012856731810919276,-0.05163549260171739,0.02592202897987884,pointwise_conditional_cluster_t,5,False,-0.002896577341142852,-0.009537802848136798,0.003744648165851094,-0.009960154469776423,-0.04586854978448744,0.025948240844934592,-0.012856731810919276,-0.05163549260171739,0.02592202897987884,toniot
toniot_scanning_natural_cur,-0.08012845553467496,-0.1716815725594104,0.011424661490060509,pointwise_conditional_cluster_t,5,False,-0.0007299719488354842,-0.011125732551101573,0.009665788653430606,-0.07939848358583947,-0.1752943868224866,0.016497419650807685,-0.08012845553467496,-0.1716815725594104,0.011424661490060509,toniot
unsw_dos_m2_centroid,0.0007970230414682748,-0.026426742813270173,0.02802078889620672,pointwise_conditional_cluster_t,5,False,0.0014427318231963276,-0.013206008812399306,0.016091472458791962,-0.0006457087817280515,-0.02340799530371871,0.022116577740262607,0.0007970230414682748,-0.026426742813270173,0.02802078889620672,unsw
unsw_dos_natural_cur,-0.010757164694402669,-0.023087193240263322,0.0015728638514579864,pointwise_conditional_cluster_t,5,False,-0.0020651576176506756,-0.02079716429172299,0.01666684905642164,-0.008692007076751995,-0.023449890710896388,0.006065876557392397,-0.010757164694402669,-0.023087193240263322,0.0015728638514579864,unsw
unsw_recon_m2_centroid,-0.007388998445018407,-0.028897448129744846,0.014119451239708031,pointwise_conditional_cluster_t,5,False,-0.013841236104745478,-0.028378781150271773,0.0006963089407808157,0.006452237659727073,-0.018555123574671817,0.03145959889412596,-0.007388998445018407,-0.028897448129744846,0.014119451239708031,unsw
unsw_recon_natural_cur,0.007181923563138404,-0.009057281071190575,0.023421128197467382,pointwise_conditional_cluster_t,5,False,-0.0027564165034321838,-0.027531555689339713,0.022018722682475348,0.009938340066570586,-0.026761655418840187,0.04663833555198136,0.007181923563138404,-0.009057281071190575,0.023421128197467382,unsw
