stratum,budget,dataset_equal_effect,min_dataset_effect,max_dataset_effect,n_source_datasets
all_quantum_maps,60,-0.005662529707173636,-0.007956387549677648,-0.002916525613834264,3
entangling_zz,30,-0.009282783365423044,-0.011583951133180446,-0.0058043680185397295,3
separable_product,30,-0.005472759859377971,-0.011668470143647056,0.00021234444174980747,3
