setting,qs,seed,group,stratum,budget,quantum_ood,classical_expected_ood,delta,ms,size,dataset
m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42,ember_m1,all_quantum_maps,60,0.7448563227260101,0.7516996691255902,-0.006843346399580064,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123,ember_m1,all_quantum_maps,60,0.7448563227260101,0.7515548708293465,-0.006698548103336366,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999,ember_m1,all_quantum_maps,60,0.7328220006790334,0.7513814494274514,-0.018559448748418084,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,123,42,ember_m1,all_quantum_maps,60,0.7346264412228369,0.7378367333312726,-0.0032102921084357083,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,123,123,ember_m1,all_quantum_maps,60,0.7346264412228369,0.7378472405798894,-0.0032207993570524396,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,123,999,ember_m1,all_quantum_maps,60,0.7346264412228369,0.7393649185496582,-0.004738477326821311,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,999,42,ember_m1,all_quantum_maps,60,0.6221855363579004,0.6802024538233489,-0.05801691746544846,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,999,123,ember_m1,all_quantum_maps,60,0.6221855363579004,0.6804851488926124,-0.05829961253471194,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,999,999,ember_m1,all_quantum_maps,60,0.6221855363579004,0.6804851488926124,-0.05829961253471194,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,42,ember_m1,all_quantum_maps,60,0.7546409266409266,0.7579997683397683,-0.003358841698841708,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,123,ember_m1,all_quantum_maps,60,0.7546409266409266,0.758149254054054,-0.0035083274131273434,123,4000,ember
m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,999,ember_m1,all_quantum_maps,60,0.7546409266409266,0.758149254054054,-0.0035083274131273434,123,4000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,7,42,ember_m1,all_quantum_maps,60,0.5676657438671169,0.7092643052599574,-0.14159856139284055,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,7,123,ember_m1,all_quantum_maps,60,0.5676657438671169,0.7092306268102607,-0.14156488294314384,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,7,999,ember_m1,all_quantum_maps,60,0.5676657438671169,0.7092643052599574,-0.14159856139284055,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,42,42,ember_m1,all_quantum_maps,60,0.7450691598360656,0.7290356493340164,0.016033510502049153,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,42,123,ember_m1,all_quantum_maps,60,0.7450691598360656,0.7290356493340164,0.016033510502049153,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,42,999,ember_m1,all_quantum_maps,60,0.7450691598360656,0.7290356493340164,0.016033510502049153,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,123,42,ember_m1,all_quantum_maps,60,0.7425981969864374,0.7265364269587355,0.016061770027701816,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,123,123,ember_m1,all_quantum_maps,60,0.7425981969864374,0.7265433411794846,0.01605485580695276,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,123,999,ember_m1,all_quantum_maps,60,0.7425981969864374,0.7265433411794846,0.01605485580695276,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,999,42,ember_m1,all_quantum_maps,60,0.7240423877114525,0.6962127325166894,0.027829655194763103,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,999,123,ember_m1,all_quantum_maps,60,0.7240423877114525,0.6962127325166894,0.027829655194763103,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,999,999,ember_m1,all_quantum_maps,60,0.7240423877114525,0.6962127325166894,0.027829655194763103,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,2024,42,ember_m1,all_quantum_maps,60,0.6064051574828404,0.6093059336711784,-0.00290077618833795,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,2024,123,ember_m1,all_quantum_maps,60,0.6064051574828404,0.6093059336711784,-0.00290077618833795,42,1000,ember
m1_hist_byteent__ms42__q1000_id500_ood500,2024,999,ember_m1,all_quantum_maps,60,0.6064051574828404,0.6092998268009493,-0.002894669318108889,42,1000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,7,42,ember_m1,all_quantum_maps,60,0.723301185186969,0.7334979161900633,-0.010196731003094373,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,7,123,ember_m1,all_quantum_maps,60,0.723301185186969,0.7334979161900633,-0.010196731003094373,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,7,999,ember_m1,all_quantum_maps,60,0.723301185186969,0.7334979161900633,-0.010196731003094373,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,42,42,ember_m1,all_quantum_maps,60,0.7434150517674545,0.698225555680018,0.0451894960874365,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,42,123,ember_m1,all_quantum_maps,60,0.7434150517674545,0.6982773775423662,0.0451376742250883,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,42,999,ember_m1,all_quantum_maps,60,0.7434150517674545,0.6982773775423662,0.0451376742250883,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,123,42,ember_m1,all_quantum_maps,60,0.7237256034925527,0.7527699730354392,-0.029044369542886583,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,123,123,ember_m1,all_quantum_maps,60,0.7237256034925527,0.7527699730354392,-0.029044369542886583,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,123,999,ember_m1,all_quantum_maps,60,0.7237256034925527,0.7527699730354392,-0.029044369542886583,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,999,42,ember_m1,all_quantum_maps,60,0.7270885386635915,0.7405993369210071,-0.013510798257415635,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,999,123,ember_m1,all_quantum_maps,60,0.7270885386635915,0.7397940595169454,-0.012705520853353969,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,999,999,ember_m1,all_quantum_maps,60,0.7270885386635915,0.7400773239797555,-0.012988785316163987,42,2000,ember
m1_hist_byteent__ms42__q2000_id1000_ood1000,2024,42,ember_m1,all_quantum_maps,60,0.7492113817232711,0.6484836239611856,0.10072775776208542,42,2000,ember
