dataset,original_effect,ablated_effect,ablation_change,n_groups
toniot,-0.0018132746449891681,-0.046492593672797115,-0.044679319027807946,2
unsw,-0.004305019600658003,-0.0025418041337035993,0.001763215466954403,4
