group,qs,cluster_effect,endpoint
toniot_scanning_m2_centroid,7,0.0035689341798295082,original_effect
toniot_scanning_m2_centroid,42,-0.0006725710092636191,original_effect
toniot_scanning_m2_centroid,123,-0.008335602494319257,original_effect
toniot_scanning_m2_centroid,999,-0.0004710635194812296,original_effect
toniot_scanning_m2_centroid,2024,-0.00857258386247966,original_effect
toniot_scanning_natural_cur,7,0.0008095646699876301,original_effect
toniot_scanning_natural_cur,42,-0.0013916610075656649,original_effect
toniot_scanning_natural_cur,123,0.006130975551906078,original_effect
toniot_scanning_natural_cur,999,0.005414773082113837,original_effect
toniot_scanning_natural_cur,2024,-0.0146135120406193,original_effect
unsw_dos_m2_centroid,7,0.0009035302740261949,original_effect
unsw_dos_m2_centroid,42,-0.007374842043862924,original_effect
unsw_dos_m2_centroid,123,-0.007673990982910822,original_effect
unsw_dos_m2_centroid,999,0.021284901907964556,original_effect
unsw_dos_m2_centroid,2024,7.405996076463121e-05,original_effect
unsw_dos_natural_cur,7,-0.00042511222526650803,original_effect
unsw_dos_natural_cur,42,-0.011190643731680031,original_effect
unsw_dos_natural_cur,123,0.018915743773828653,original_effect
unsw_dos_natural_cur,999,0.0032939078085902043,original_effect
unsw_dos_natural_cur,2024,-0.020919683713725695,original_effect
unsw_recon_m2_centroid,7,-0.012391697179669259,original_effect
unsw_recon_m2_centroid,42,-0.0019891065120330267,original_effect
unsw_recon_m2_centroid,123,-0.03330936346371332,original_effect
unsw_recon_m2_centroid,999,-0.012723345148761995,original_effect
unsw_recon_m2_centroid,2024,-0.00879266821954979,original_effect
unsw_recon_natural_cur,7,-0.02050607152047475,original_effect
unsw_recon_natural_cur,42,-0.002625435003086577,original_effect
unsw_recon_natural_cur,123,-0.005940548107392074,original_effect
unsw_recon_natural_cur,999,0.03056803487507394,original_effect
unsw_recon_natural_cur,2024,-0.015278062761281457,original_effect
toniot_scanning_m2_centroid,7,-0.0034046130067304013,ablated_effect
toniot_scanning_m2_centroid,42,0.027720830368665423,ablated_effect
toniot_scanning_m2_centroid,123,-0.057688811578494543,ablated_effect
toniot_scanning_m2_centroid,999,-0.02388964052827695,ablated_effect
toniot_scanning_m2_centroid,2024,-0.007021424309759901,ablated_effect
toniot_scanning_natural_cur,7,-0.09799454886027081,ablated_effect
toniot_scanning_natural_cur,42,-0.1685151718950727,ablated_effect
toniot_scanning_natural_cur,123,-0.12571085316180683,ablated_effect
toniot_scanning_natural_cur,999,-0.006535432973263792,ablated_effect
toniot_scanning_natural_cur,2024,-0.001886270782960627,ablated_effect
unsw_dos_m2_centroid,7,0.010324124932733639,ablated_effect
unsw_dos_m2_centroid,42,-0.022494397286393426,ablated_effect
unsw_dos_m2_centroid,123,-0.021641525170034023,ablated_effect
unsw_dos_m2_centroid,999,0.01081160653964672,ablated_effect
unsw_dos_m2_centroid,2024,0.026985306191388465,ablated_effect
unsw_dos_natural_cur,7,-0.009273787187339289,ablated_effect
unsw_dos_natural_cur,42,-0.02735323464289859,ablated_effect
unsw_dos_natural_cur,123,-0.0010833256254746404,ablated_effect
unsw_dos_natural_cur,999,-0.005984028604465871,ablated_effect
unsw_dos_natural_cur,2024,-0.010091447411834962,ablated_effect
unsw_recon_m2_centroid,7,-0.03551778105495562,ablated_effect
unsw_recon_m2_centroid,42,0.011588529773670468,ablated_effect
unsw_recon_m2_centroid,123,-0.0006637948203629147,ablated_effect
unsw_recon_m2_centroid,999,-0.006767212445381181,ablated_effect
unsw_recon_m2_centroid,2024,-0.005584733678062781,ablated_effect
unsw_recon_natural_cur,7,0.013853852508304065,ablated_effect
unsw_recon_natural_cur,42,-0.0070986257537537885,ablated_effect
unsw_recon_natural_cur,123,0.0036358175568955834,ablated_effect
unsw_recon_natural_cur,999,-0.0006749920544801465,ablated_effect
unsw_recon_natural_cur,2024,0.026193565558726303,ablated_effect
