shots_per_fidelity,train_upper_off_diagonal,id_holdout_to_train,ood_test_to_train,ood_square_upper_off_diagonal,distinct_fidelity_parameterizations_per_case,fidelity_estimation_instances_per_case_replicate,total_shots_per_case_replicate,n_fixed_cases,n_entangling_fixed_cases,n_product_fixed_cases,n_measurement_replicates,distinct_circuit_parameterizations_across_fixed_cases,fidelity_estimation_instances_full_sensitivity,projected_shots_full_sensitivity,projected_shots_entangling_cases_only,product_factorization_can_bypass_circuit_sampling,projection_conditions_reuse_same_measurements,hardware_executed
128,499500.0,500000.0,500000.0,124750.0,1624250,1624250,207904000,8,4,4,30,12994000,389820000,49896960000,24948480000,True,True,False
512,499500.0,500000.0,500000.0,124750.0,1624250,1624250,831616000,8,4,4,30,12994000,389820000,199587840000,99793920000,True,True,False
2048,499500.0,500000.0,500000.0,124750.0,1624250,1624250,3326464000,8,4,4,30,12994000,389820000,798351360000,399175680000,True,True,False
8192,499500.0,500000.0,500000.0,124750.0,1624250,1624250,13305856000,8,4,4,30,12994000,389820000,3193405440000,1596702720000,True,True,False
all_levels,,,,,1624250,6497000,17671840000,8,4,4,30,12994000,1559280000,4241241600000,2120620800000,True,True,False
