stratum,budget,group,effect,ci_lo,ci_hi,ci_method,n_qsplit_clusters,simultaneous
all_quantum_maps,60,ember_m1,-0.005724411429358237,-0.03396172763913156,0.022512904780415087,pointwise_conditional_cluster_t,5,False
all_quantum_maps,60,ember_m2,-0.00650494048665976,-0.013810142823250514,0.0008002618499309945,pointwise_conditional_cluster_t,5,False
all_quantum_maps,60,toniot_scanning_m2_centroid,-0.0010525456307730369,-0.004954079577516906,0.0028489883159708317,pointwise_conditional_cluster_t,5,False
all_quantum_maps,60,toniot_scanning_natural_cur,-0.014860229468582259,-0.026968357711873975,-0.0027521012252905413,pointwise_conditional_cluster_t,5,False
all_quantum_maps,60,unsw_dos_m2_centroid,-0.004462210943983001,-0.01187933203904203,0.0029549101510760274,pointwise_conditional_cluster_t,5,False
all_quantum_maps,60,unsw_dos_natural_cur,-0.0032977305480735054,-0.013894161237470143,0.007298700141323132,pointwise_conditional_cluster_t,5,False
all_quantum_maps,60,unsw_recon_m2_centroid,-0.008843520414290255,-0.014531598973948704,-0.0031554418546318064,pointwise_conditional_cluster_t,5,False
all_quantum_maps,60,unsw_recon_natural_cur,0.004937359451009706,-0.005780619088335307,0.01565533799035472,pointwise_conditional_cluster_t,5,False
entangling_zz,30,ember_m1,-0.00630399331566911,-0.02786736771988247,0.01525938108854425,pointwise_conditional_cluster_t,5,False
entangling_zz,30,ember_m2,-0.005304742721410349,-0.012998612508593384,0.0023891270657726855,pointwise_conditional_cluster_t,5,False
entangling_zz,30,toniot_scanning_m2_centroid,-0.0013215376360972884,-0.004707544321898619,0.0020644690497040423,pointwise_conditional_cluster_t,5,False
entangling_zz,30,toniot_scanning_natural_cur,-0.019598524253000623,-0.03031453652844153,-0.008882511977559716,pointwise_conditional_cluster_t,5,False
entangling_zz,30,unsw_dos_m2_centroid,-0.014889848670143643,-0.02991091642296947,0.00013121908268218588,pointwise_conditional_cluster_t,5,False
entangling_zz,30,unsw_dos_natural_cur,-0.012878788554584361,-0.018413682159080597,-0.007343894950088125,pointwise_conditional_cluster_t,5,False
entangling_zz,30,unsw_recon_m2_centroid,-0.01714629874745735,-0.028643561678692767,-0.005649035816221934,pointwise_conditional_cluster_t,5,False
entangling_zz,30,unsw_recon_natural_cur,-0.0014208685605364292,-0.0069762360764626975,0.004134498955389839,pointwise_conditional_cluster_t,5,False
separable_product,30,ember_m1,0.003585641315575055,-0.013202829545615148,0.02037411217676526,pointwise_conditional_cluster_t,5,False
separable_product,30,ember_m2,-0.013509949068048385,-0.016635893547890978,-0.010384004588205794,pointwise_conditional_cluster_t,5,False
separable_product,30,toniot_scanning_m2_centroid,-0.000883920599469351,-0.003577859461029548,0.0018100182620908462,pointwise_conditional_cluster_t,5,False
separable_product,30,toniot_scanning_natural_cur,-0.02245301968782476,-0.03473807745006417,-0.010167961925585344,pointwise_conditional_cluster_t,5,False
separable_product,30,unsw_dos_m2_centroid,-0.0006928414184836178,-0.006295240370805271,0.004909557533838035,pointwise_conditional_cluster_t,5,False
separable_product,30,unsw_dos_natural_cur,-0.0016407512348366356,-0.011559188565124133,0.008277686095450862,pointwise_conditional_cluster_t,5,False
separable_product,30,unsw_recon_m2_centroid,-0.002526683216065831,-0.006555843955375231,0.0015024775232435686,pointwise_conditional_cluster_t,5,False
separable_product,30,unsw_recon_natural_cur,0.0057096536363853145,-0.0022913564186426965,0.013710663691413326,pointwise_conditional_cluster_t,5,False
