setting,qs,seed,group,quantum_ood_original,classical_ood_original,delta_original,quantum_ood_ablated,classical_ood_ablated,delta_ablated,delta,ablation_change,ms,size,dataset
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,2024,123,toniot_scanning_m2_centroid,0.9719288137763268,0.9717344216119327,0.00019439216439409712,0.8692465271109404,0.8762424460661928,-0.006995918955252423,-0.006995918955252423,-0.00719031111964652,123,1000,toniot
toniot_scanning__m2_centroid__ms123__q1000_id500_ood500,2024,999,toniot_scanning_m2_centroid,0.9719288137763268,0.9717344216119327,0.00019439216439409712,0.8692465271109404,0.8762424460661928,-0.006995918955252423,-0.006995918955252423,-0.00719031111964652,123,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,7,42,toniot_scanning_m2_centroid,0.967402649538338,0.9529627458851868,0.014439903653151176,0.9728623042954636,0.9697429706945004,0.00311933360096317,0.00311933360096317,-0.011320570052188006,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,7,123,toniot_scanning_m2_centroid,0.967402649538338,0.9529627458851868,0.014439903653151176,0.9728623042954636,0.9697429706945004,0.00311933360096317,0.00311933360096317,-0.011320570052188006,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,7,999,toniot_scanning_m2_centroid,0.967402649538338,0.9529627458851868,0.014439903653151176,0.9728623042954636,0.9699182898434364,0.0029440144520271883,0.0029440144520271883,-0.011495889201123988,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,42,42,toniot_scanning_m2_centroid,0.9641188144164906,0.9638076339542923,0.00031118046219835716,0.9423372383330132,0.9400626656424047,0.0022745726906084895,0.0022745726906084895,0.0019633922284101324,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,42,123,toniot_scanning_m2_centroid,0.9641188144164906,0.9638076339542923,0.00031118046219835716,0.9423372383330132,0.9400626656424047,0.0022745726906084895,0.0022745726906084895,0.0019633922284101324,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,42,999,toniot_scanning_m2_centroid,0.9641188144164906,0.9638076339542923,0.00031118046219835716,0.9423372383330132,0.9400626656424047,0.0022745726906084895,0.0022745726906084895,0.0019633922284101324,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,123,42,toniot_scanning_m2_centroid,0.935934396822346,0.9505555256582741,-0.014621128835928032,0.8398199756550708,0.8749429559869306,-0.03512298033185979,-0.03512298033185979,-0.020501851495931755,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,123,123,toniot_scanning_m2_centroid,0.9489877634697932,0.9505555256582741,-0.0015677621884808701,0.8398199756550708,0.8750208629636749,-0.035200887308604045,-0.035200887308604045,-0.033633125120123175,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,123,999,toniot_scanning_m2_centroid,0.935934396822346,0.9505555256582741,-0.014621128835928032,0.8398199756550708,0.8750208629636749,-0.035200887308604045,-0.035200887308604045,-0.020579758472676013,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,999,42,toniot_scanning_m2_centroid,0.9591328783621036,0.9237936089923725,0.035339269369731086,0.8466479325572059,0.8769972862304294,-0.030349353673223445,-0.030349353673223445,-0.06568862304295453,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,999,123,toniot_scanning_m2_centroid,0.9591328783621036,0.9237936089923725,0.035339269369731086,0.8466479325572059,0.8769972862304294,-0.030349353673223445,-0.030349353673223445,-0.06568862304295453,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,999,999,toniot_scanning_m2_centroid,0.9591328783621036,0.9237936089923725,0.035339269369731086,0.8466479325572059,0.8769972862304294,-0.030349353673223445,-0.030349353673223445,-0.06568862304295453,42,1000,toniot
toniot_scanning__m2_centroid__ms42__q1000_id500_ood500,2024,42,toniot_scanning_m2_centroid,0.9434874487704918,0.9632026447233606,-0.019715195952868747,0.940061475409836,0.9460129610655739,-0.005951485655737887,-0.005951485655737887,0.01376371029713086,42,1000,toniot
