regularization,selection,reference,budget_mode,group,effect,ci_lo,ci_hi,ci_method,n_qsplit_clusters,simultaneous
fixed_c1,id_val,extended,native,ember_m2,0.0021627717796721285,-0.004625928749667231,0.008951472309011487,pointwise_conditional_cluster_t,5,False
fixed_c1,id_val,extended,native,toniot_scanning_m2_centroid,-0.004339143996935979,-0.010403364022488,0.0017250760286160408,pointwise_conditional_cluster_t,5,False
fixed_c1,id_val,extended,native,toniot_scanning_natural_cur,-0.014590315751754197,-0.023305873215035102,-0.005874758288473291,pointwise_conditional_cluster_t,5,False
fixed_c1,id_val,extended,native,unsw_dos_m2_centroid,0.014809095424975804,-0.06310257512546084,0.09272076597541244,pointwise_conditional_cluster_t,5,False
fixed_c1,id_val,extended,native,unsw_dos_natural_cur,-0.01131849109002328,-0.02616067497343759,0.0035236927933910284,pointwise_conditional_cluster_t,5,False
fixed_c1,id_val,extended,native,unsw_recon_m2_centroid,9.367674613799323e-05,-0.042819403283773115,0.0430067567760491,pointwise_conditional_cluster_t,5,False
fixed_c1,id_val,extended,native,unsw_recon_natural_cur,0.0011938748224554912,-0.006243479961189983,0.008631229606100965,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,equal_count,ember_m1,0.007161748414475051,-2.2184028010161644e-05,0.014345680856960264,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,equal_count,ember_m2,0.024064494612329766,0.01748465580018308,0.03064433342447645,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,equal_count,toniot_scanning_m2_centroid,0.01064777142716447,0.00668110483760226,0.014614438016726681,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,equal_count,toniot_scanning_natural_cur,0.0013915920009576002,-0.00025853595405851064,0.003041719955973711,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,equal_count,unsw_dos_m2_centroid,0.0012340601614533886,-0.002782929096647275,0.005251049419554052,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,equal_count,unsw_dos_natural_cur,0.018415375475205054,0.011509610351001405,0.025321140599408702,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,equal_count,unsw_recon_m2_centroid,-0.0004679701032160595,-0.004941396921401439,0.00400545671496932,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,equal_count,unsw_recon_natural_cur,0.007534673943123038,0.0010994487145416466,0.01396989917170443,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,native,ember_m1,0.013471925100604095,0.004805563449588159,0.02213828675162003,pointwise_conditional_cluster_t,5,False
fixed_c1,ood_test,customary,native,ember_m2,0.026716760566946947,0.02015722959779166,0.03327629153610223,pointwise_conditional_cluster_t,5,False
