regularization,selection,reference,budget_mode,group,qs,cluster_effect
fixed_c1,id_val,customary,native,unsw_dos_natural_cur,123,0.0038034318542922905
fixed_c1,id_val,customary,native,unsw_dos_natural_cur,999,0.0010852285803605681
fixed_c1,id_val,customary,native,unsw_dos_natural_cur,2024,0.003162672299455956
fixed_c1,id_val,customary,native,unsw_recon_m2_centroid,7,0.049657443863006
fixed_c1,id_val,customary,native,unsw_recon_m2_centroid,42,-0.02298166929401028
fixed_c1,id_val,customary,native,unsw_recon_m2_centroid,123,-0.01957301069073679
fixed_c1,id_val,customary,native,unsw_recon_m2_centroid,999,-0.013936125077783967
fixed_c1,id_val,customary,native,unsw_recon_m2_centroid,2024,-0.015637935043148143
fixed_c1,id_val,customary,native,unsw_recon_natural_cur,7,0.019589779694618392
fixed_c1,id_val,customary,native,unsw_recon_natural_cur,42,0.004277128314457713
fixed_c1,id_val,customary,native,unsw_recon_natural_cur,123,0.0029744116144079236
fixed_c1,id_val,customary,native,unsw_recon_natural_cur,999,0.01918425199281622
fixed_c1,id_val,customary,native,unsw_recon_natural_cur,2024,0.016781591725066783
fixed_c1,id_val,extended,equal_count,ember_m1,7,-0.0391083201314323
fixed_c1,id_val,extended,equal_count,ember_m1,42,0.0074936952128870455
fixed_c1,id_val,extended,equal_count,ember_m1,123,-0.047684705876073506
fixed_c1,id_val,extended,equal_count,ember_m1,999,-0.029150059411929875
fixed_c1,id_val,extended,equal_count,ember_m1,2024,-0.0558911828853678
fixed_c1,id_val,extended,equal_count,ember_m2,7,0.0018312311639541907
fixed_c1,id_val,extended,equal_count,ember_m2,42,0.004820552282559152
fixed_c1,id_val,extended,equal_count,ember_m2,123,-0.0029167203087220686
fixed_c1,id_val,extended,equal_count,ember_m2,999,0.007985092286531128
fixed_c1,id_val,extended,equal_count,ember_m2,2024,-0.005517508071931039
fixed_c1,id_val,extended,equal_count,toniot_scanning_m2_centroid,7,0.01618901942936916
fixed_c1,id_val,extended,equal_count,toniot_scanning_m2_centroid,42,0.006648194076595867
fixed_c1,id_val,extended,equal_count,toniot_scanning_m2_centroid,123,-0.0046012485113694985
fixed_c1,id_val,extended,equal_count,toniot_scanning_m2_centroid,999,-0.00022302200205507697
fixed_c1,id_val,extended,equal_count,toniot_scanning_m2_centroid,2024,0.0006754640234348305
fixed_c1,id_val,extended,equal_count,toniot_scanning_natural_cur,7,-0.011506513818655417
fixed_c1,id_val,extended,equal_count,toniot_scanning_natural_cur,42,-0.007877831237255693
fixed_c1,id_val,extended,equal_count,toniot_scanning_natural_cur,123,-0.027478936742880045
fixed_c1,id_val,extended,equal_count,toniot_scanning_natural_cur,999,-0.01165926606479147
fixed_c1,id_val,extended,equal_count,toniot_scanning_natural_cur,2024,-0.013034070296240374
fixed_c1,id_val,extended,equal_count,unsw_dos_m2_centroid,7,0.0068520154263186734
fixed_c1,id_val,extended,equal_count,unsw_dos_m2_centroid,42,-0.010857425354238356
fixed_c1,id_val,extended,equal_count,unsw_dos_m2_centroid,123,-0.013696216076972419
fixed_c1,id_val,extended,equal_count,unsw_dos_m2_centroid,999,0.07697026532113446
fixed_c1,id_val,extended,equal_count,unsw_dos_m2_centroid,2024,-0.00600392119787791
fixed_c1,id_val,extended,equal_count,unsw_dos_natural_cur,7,0.005732788655681511
fixed_c1,id_val,extended,equal_count,unsw_dos_natural_cur,42,-0.024374934222450417
fixed_c1,id_val,extended,equal_count,unsw_dos_natural_cur,123,-0.008549792811432274
fixed_c1,id_val,extended,equal_count,unsw_dos_natural_cur,999,-0.0031064371158233315
fixed_c1,id_val,extended,equal_count,unsw_dos_natural_cur,2024,-0.008170934632416582
fixed_c1,id_val,extended,equal_count,unsw_recon_m2_centroid,7,0.03243300618455599
