stratum,budget,group,qs,cluster_effect
all_quantum_maps,60,ember_m1,7,-0.013773278837115039
all_quantum_maps,60,ember_m1,42,0.018992549129523403
all_quantum_maps,60,ember_m1,123,-0.03496483675764819
all_quantum_maps,60,ember_m1,999,-0.014586822019084017
all_quantum_maps,60,ember_m1,2024,0.015710331337532663
all_quantum_maps,60,ember_m2,7,-0.012256390480157935
all_quantum_maps,60,ember_m2,42,-0.009665325966791967
all_quantum_maps,60,ember_m2,123,-0.0007668220654028684
all_quantum_maps,60,ember_m2,999,0.00044046206897913276
all_quantum_maps,60,ember_m2,2024,-0.010276625989925169
all_quantum_maps,60,toniot_scanning_m2_centroid,7,0.0021690188173934676
all_quantum_maps,60,toniot_scanning_m2_centroid,42,-0.0026735691490434453
all_quantum_maps,60,toniot_scanning_m2_centroid,123,-0.003242742095928227
all_quantum_maps,60,toniot_scanning_m2_centroid,999,0.0025222381057450997
all_quantum_maps,60,toniot_scanning_m2_centroid,2024,-0.00403767383203208
all_quantum_maps,60,toniot_scanning_natural_cur,7,-0.021434708554107132
all_quantum_maps,60,toniot_scanning_natural_cur,42,-0.0017817092775225826
all_quantum_maps,60,toniot_scanning_natural_cur,123,-0.007022141372811944
all_quantum_maps,60,toniot_scanning_natural_cur,999,-0.0210788741555193
all_quantum_maps,60,toniot_scanning_natural_cur,2024,-0.02298371398295034
all_quantum_maps,60,unsw_dos_m2_centroid,7,-0.0047791143264172406
all_quantum_maps,60,unsw_dos_m2_centroid,42,-0.006944729578114951
all_quantum_maps,60,unsw_dos_m2_centroid,123,-0.011810062375779792
all_quantum_maps,60,unsw_dos_m2_centroid,999,0.004548084791081634
all_quantum_maps,60,unsw_dos_m2_centroid,2024,-0.0033252332306846558
all_quantum_maps,60,unsw_dos_natural_cur,7,-9.668135288482185e-05
all_quantum_maps,60,unsw_dos_natural_cur,42,-0.01307376247119591
all_quantum_maps,60,unsw_dos_natural_cur,123,0.0065961235076780365
all_quantum_maps,60,unsw_dos_natural_cur,999,0.001450140646458731
all_quantum_maps,60,unsw_dos_natural_cur,2024,-0.011364473070423564
all_quantum_maps,60,unsw_recon_m2_centroid,7,-0.004264071597096302
all_quantum_maps,60,unsw_recon_m2_centroid,42,-0.0036973210691057215
all_quantum_maps,60,unsw_recon_m2_centroid,123,-0.013902252013883143
