family,model,dim,cfg,kernel,split,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc__d4,linear,id_val,10.0,0.8105833044858419,0.012385129928588867,0.8685258964143426,0.8677927355854711,0.867846259393398,0.8773234200743495,0.9078613157226314,0.8840278215855867,,,,
classical_ext,svc,4,linear__svc__d4,linear,id_test,10.0,0.8105833044858419,0.012385129928588867,0.8072289156626506,0.8066202090592334,0.8065268065268065,0.8181818181818182,0.8711446638275906,0.8342921217751884,,,,
classical_ext,svc,4,linear__svc__d4,linear,ood_test,10.0,0.8105833044858419,0.012385129928588867,0.47,0.45657056681266145,0.424210951724977,0.2618384401114206,0.769440567293963,0.6980920235041582,,,,
classical_ext,gpc,4,linear__gpc__d4,linear,id_val,,,0.5249423980712891,0.8685258964143426,0.8677927355854711,0.867846259393398,0.8773234200743495,0.9313563627127254,0.9025214193556613,0.3447511141428055,0.1031226457167545,0.1487661436368837,0.45221211172371434
classical_ext,gpc,4,linear__gpc__d4,linear,id_test,,,0.5249423980712891,0.8072289156626506,0.8066202090592334,0.8065268065268065,0.8181818181818182,0.9014066331139502,0.8642988093865649,0.40574879579580436,0.13081597412892612,0.14528077115518673,0.4521352798354984
classical_ext,gpc,4,linear__gpc__d4,linear,ood_test,,,0.5249423980712891,0.47,0.45657056681266145,0.424210951724977,0.2618384401114206,0.7388618825303621,0.6514076690785535,0.73013101928039,0.2803193501820323,0.35737043796307366,0.4744933613847569
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,10.0,0.9358189277112106,0.006000518798828125,0.9243027888446215,0.9239585979171958,0.9241824454301204,0.9272030651340997,0.9791084582169165,0.9720929571950908,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,10.0,0.9358189277112106,0.006000518798828125,0.9236947791164659,0.9228610143244289,0.9231992987126832,0.929368029739777,0.9745773648212672,0.9557646538352712,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,10.0,0.9358189277112106,0.006000518798828125,0.93,0.9334600760456273,0.9299773126492983,0.931237721021611,0.980378944666378,0.9517384974095104,,,,
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_val,,,0.7042233943939209,0.9083665338645418,0.9079248158496317,0.9081566094468396,0.9125475285171103,0.9660274320548641,0.9464235415264454,0.27053773503195294,0.07602632214822687,0.10121243887063654,0.3952498383875574
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_test,,,0.7042233943939209,0.8554216867469879,0.8551103368176538,0.8552325581395348,0.8604651162790697,0.9486385340043877,0.9312439608538058,0.31856055826862345,0.09753302945891076,0.09076049953330466,0.39767887732971907
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,ood_test,,,0.7042233943939209,0.65,0.6410213216537517,0.6344891829684491,0.5591939546599496,0.8404806597038392,0.7092244795640188,0.5085653653895906,0.17757565528640482,0.2627770000122529,0.4955628466782512
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,100.0,0.91930944132232,0.007006645202636719,0.9243027888446215,0.9239585979171958,0.9241824454301204,0.9272030651340997,0.9773939547879096,0.9674361266459921,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,100.0,0.91930944132232,0.007006645202636719,0.9196787148594378,0.9187959736740225,0.9191033138401559,0.9259259259259259,0.9594786424054716,0.9361834127221005,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,100.0,0.91930944132232,0.007006645202636719,0.93,0.9334600760456273,0.9299773126492983,0.931237721021611,0.9603407614188767,0.9160786268154318,,,,
classical_ext,gpc,4,poly2__gpc__d4,poly2,id_val,,,0.6691789627075195,0.8804780876494024,0.8798895097790196,0.8800497005224927,0.8872180451127819,0.9488188976377953,0.9234355399001252,0.3200083857220117,0.09385535592721359,0.11042082751686191,0.43810604186402585
classical_ext,gpc,4,poly2__gpc__d4,poly2,id_test,,,0.6691789627075195,0.8112449799196787,0.81068524970964,0.8106463878326997,0.8212927756653993,0.918182991353723,0.8968135338069092,0.37888564496438965,0.12087768479453664,0.10007694237613725,0.43773392340232664
classical_ext,gpc,4,poly2__gpc__d4,poly2,ood_test,,,0.6691789627075195,0.49,0.4755819736567679,0.43881795254380523,0.2693409742120344,0.7574240746979833,0.6425088189343874,0.6576083373729503,0.24865849262480522,0.34989797101355424,0.4874612501142982
classical_ext,svc,4,poly3__svc__d4,poly3,id_val,100.0,0.935778911704808,0.006999492645263672,0.9282868525896414,0.9280861061722123,0.928231033168128,0.9302325581395349,0.9743459486918975,0.9635325679908053,,,,
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,100.0,0.935778911704808,0.006999492645263672,0.9317269076305221,0.930991095625242,0.9313682572109538,0.9363295880149812,0.9643825009678668,0.943273995602066,,,,
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,100.0,0.935778911704808,0.006999492645263672,0.936,0.9391634980988592,0.935990782672705,0.9367588932806324,0.9777638735139818,0.9438368654704734,,,,
classical_ext,gpc,4,poly3__gpc__d4,poly3,id_val,,,0.7391035556793213,0.900398406374502,0.9000508001016002,0.9002400597764741,0.9042145593869731,0.9636144272288544,0.9394176377536658,0.30354966383261306,0.08743287242769326,0.09242001812104829,0.42646697709865594
classical_ext,gpc,4,poly3__gpc__d4,poly3,id_test,,,0.7391035556793213,0.8433734939759037,0.8432055749128919,0.8432824981844589,0.8470588235294118,0.9347012517744225,0.9117354321582316,0.3590215182955659,0.11272490805640033,0.07083371854797225,0.42686081497832623
classical_ext,gpc,4,poly3__gpc__d4,poly3,ood_test,,,0.7391035556793213,0.522,0.5060002246073382,0.4619807213510362,0.2822822822822823,0.7695689143443873,0.6519262632820001,0.625348748762624,0.23342201736216495,0.3024003959949102,0.49000008081655394
