family,kernel,dim,kta_ood_full,kta_null_mean,kta_null_std,kta_null_exceed_frac,kta_ood_halfA,eff_rank_train,bacc_svc_halfB,bacc_gpc_halfB
classical_ext,linear,4,0.3451013504492549,0.0023423818341214296,0.002617690056792204,0.0,0.3437693018671433,2.0934778427615695,0.445046439628483,0.445046439628483
classical_ext,rbf_gscale,4,0.36371213958399484,0.003228979149870478,0.002840780896481942,0.0,0.36856087528854725,5.220687301455296,0.6115196078431372,0.5376676986584107
classical_ext,poly2,4,0.35223451833237307,0.002518231847266389,0.002659316128967247,0.0,0.3524433512578342,2.602073571653976,0.53328173374613,0.4487229102167183
classical_ext,poly3,4,0.35403096013709695,0.002669501944716537,0.0027004055295891706,0.0,0.355373789113662,3.186123088655496,0.5369582043343653,0.5222523219814241
classical_ext,laplacian_med,4,0.46916652758712907,0.004161773949531684,0.0027838744485007743,0.0,0.47564807178829427,7.851905370066675,0.9889705882352942,0.9595588235294117
classical_ext,matern15_med,4,0.37912236410530226,0.003173695370671083,0.002790278651306427,0.0,0.3836495196200874,4.191508396610958,0.7562564499484004,0.53328173374613
classical_ext,matern25_med,4,0.3684047789736892,0.0029845441335567395,0.0027639369207588444,0.0,0.3718793418040589,3.719943557702147,0.5369582043343653,0.53328173374613
quantum,zz_r1_full,4,0.6422749913723965,0.005259750495902127,0.0028855964562152915,0.0,0.6405315355603395,20.43324617426048,0.9889705882352942,0.9852941176470589
quantum,zz_r2_full,4,0.557889891471963,0.005691325095240939,0.002881551284561855,0.0,0.5565970197815484,24.820490357271076,0.980908152734778,0.9852941176470589
quantum,pauli_xz_r1_full,4,0.41764886522334604,0.004325015868913453,0.002958444156787175,0.0,0.424945153388733,8.650275274825207,0.5339912280701754,0.5486971104231166
quantum,zmap_r2,4,0.5300612259252586,0.004388971613722839,0.0028525342121885834,0.0,0.5474403334155454,8.507470630730905,0.9485294117647058,0.9411764705882353
classical_ext,linear,6,0.3404498917960438,0.003496145649007531,0.0030839061395030514,0.0,0.3687968679240184,2.420950451204935,0.509257479659171,0.5015055416746749
classical_ext,rbf_gscale,6,0.39749194701634283,0.0041279112613374315,0.002933744645105859,0.0,0.4047659000777465,7.192070128202632,0.7701326157985777,0.5676532769556025
classical_ext,poly2,6,0.3590253356096566,0.0036291355398819845,0.0030389214795234357,0.0,0.38199636714200413,3.0826236261337736,0.5673970145428919,0.509257479659171
classical_ext,poly3,6,0.36846435470679195,0.003725693313774367,0.003009864638856203,0.0,0.38865375297451044,4.007350767719832,0.5673970145428919,0.5557691075661477
classical_ext,laplacian_med,6,0.45957912529389966,0.004878723556562563,0.0029438940445428385,0.0,0.4632677041624424,8.934162827442762,0.9689922480620154,0.9767441860465116
classical_ext,matern15_med,6,0.4013030040235679,0.0041075745441627246,0.0029448253820157613,0.0,0.4102538632901619,4.99226867969275,0.8940995579473381,0.5635210455506439
classical_ext,matern25_med,6,0.38872668150058776,0.003975873424132189,0.0029576454854103136,0.0,0.40083877591308154,4.370749820230104,0.5839259401627267,0.5557691075661477
quantum,zz_r1_full,6,0.5599603732008754,0.0060517762804224474,0.0027496264177559117,0.0,0.5489234578817968,30.634019649946126,0.9599589980139663,0.9764879236338011
quantum,zz_r2_full,6,0.46432552675638744,0.007039507541447593,0.0028456594990730207,0.0,0.4601366554126462,39.082386149801856,0.9643474918316356,0.9682234608238837
quantum,pauli_xz_r1_full,6,0.4617474078555504,0.004664431876045522,0.0028905463932881745,0.0,0.4561014350616069,12.968023027945225,0.9844961240310077,0.9565955538471395
quantum,zmap_r2,6,0.5620197526820654,0.004764953464095916,0.0028698832010060895,0.0,0.5636197920253901,13.322508972228139,0.9728682170542635,0.9651162790697674
classical_ext,linear,8,0.3783225149876831,0.0037589562977457325,0.0023188353421119707,0.0,0.41961153837486853,2.5122189701202253,0.8952051725241662,0.7331156776134691
classical_ext,rbf_gscale,8,0.4896041677632453,0.004694626883440035,0.0022781311228712415,0.0,0.5202469636093177,8.40036802430616,0.9803149606299213,0.972312912105499
classical_ext,poly2,8,0.40716753665944244,0.003971701256677472,0.002321113324474612,0.0,0.44695382377118786,3.1860229768786716,0.956052749503873,0.8708149286217272
classical_ext,poly3,8,0.4256380233982649,0.004114425700655896,0.002299324387773102,0.0,0.46464887925378123,4.244274744757448,0.9721848793291082,0.8952051725241662
classical_ext,laplacian_med,8,0.5217977340092498,0.005779408623983168,0.002412459325164892,0.0,0.5306314813870192,11.269011933581673,0.9763779527559056,0.9763779527559056
classical_ext,matern15_med,8,0.487574893274546,0.004697865780569567,0.0023125404609664066,0.0,0.5158656322030472,5.673897981215397,0.984251968503937,0.972312912105499
classical_ext,matern25_med,8,0.46745967487131845,0.004520947106039435,0.002317500340551208,0.0,0.5001630973515605,4.896629702335758,0.9803149606299213,0.964182830804686
quantum,zz_r1_full,8,0.43065751056323204,0.008518564614843157,0.002708255554743911,0.0,0.4140023033426572,52.67540116067744,0.984251968503937,0.9803149606299213
