family,model,dim,cfg,kernel,split,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc__d4,linear,id_val,100.0,0.8687627170427236,0.048448801040649414,0.918,0.9160256410256411,0.9173890091113879,0.9244935543278084,0.9530929487179487,0.95438282900665,,,,
classical_ext,svc,4,linear__svc__d4,linear,id_test,100.0,0.8687627170427236,0.048448801040649414,0.912,0.9105769230769231,0.9115414307771488,0.917910447761194,0.9602403846153846,0.9599280984305388,,,,
classical_ext,svc,4,linear__svc__d4,linear,ood_test,100.0,0.8687627170427236,0.048448801040649414,0.658,0.6630103841113015,0.6579945279124466,0.6566265060240963,0.7599556406895855,0.6224210859541262,,,,
classical_ext,gpc,4,linear__gpc__d4,linear,id_val,,,3.6865248680114746,0.862,0.8575320512820512,0.8589943229888299,0.8795811518324608,0.9353685897435897,0.934897747240408,0.31488964761084764,0.09485798767778308,0.12264965446699845,0.3975490432858276
classical_ext,gpc,4,linear__gpc__d4,linear,id_test,,,3.6865248680114746,0.87,0.8665064102564103,0.868035845524791,0.8841354723707665,0.9348717948717948,0.9185086687940732,0.30361025127122804,0.09166353323113208,0.11478999617838496,0.3758242945353619
classical_ext,gpc,4,linear__gpc__d4,linear,ood_test,,,3.6865248680114746,0.672,0.6782135295896764,0.671979006656426,0.6746031746031746,0.8259985885673958,0.776537859061688,0.5159756506555705,0.17785858048330352,0.21101524385434994,0.42511316127759663
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,100.0,0.9262659934335142,0.024000167846679688,0.928,0.9256410256410257,0.9273302758219752,0.9343065693430657,0.9882692307692308,0.9708763826719268,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,100.0,0.9262659934335142,0.024000167846679688,0.938,0.9355769230769231,0.9373987778625923,0.9435336976320583,0.988525641025641,0.983286253015288,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,100.0,0.9262659934335142,0.024000167846679688,0.925,0.9264744429882045,0.924661806850954,0.9196141479099679,0.9779050307490674,0.9721701322575961,,,,
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_val,,,4.3953468799591064,0.92,0.9181089743589743,0.9194315087255676,0.9261992619926199,0.9520673076923077,0.9529169433965565,0.25932687177797786,0.0741796023961353,0.1363863621970943,0.3446026608243504
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_test,,,4.3953468799591064,0.912,0.9105769230769231,0.9115414307771488,0.917910447761194,0.9523717948717949,0.9514372921363131,0.25888237822763005,0.07603553302638588,0.13046155686255403,0.3292634166964252
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,ood_test,,,4.3953468799591064,0.753,0.7626877709446517,0.7526237407096193,0.7622714148219442,0.8742211916523843,0.8292841738297744,0.4205638381474094,0.1372485893859655,0.15203240231256962,0.3887190738188412
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,100.0,0.895989158279812,0.04692339897155762,0.92,0.9181089743589743,0.9194315087255676,0.9261992619926199,0.9845993589743589,0.9613366991428713,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,100.0,0.895989158279812,0.04692339897155762,0.91,0.9084935897435897,0.9095044463482027,0.9162011173184358,0.9842788461538462,0.9676869351362477,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,100.0,0.895989158279812,0.04692339897155762,0.787,0.8025909869946567,0.7848047937005392,0.8065395095367848,0.9291783445911888,0.9315204117736339,,,,
classical_ext,gpc,4,poly2__gpc__d4,poly2,id_val,,,4.316216945648193,0.918,0.9160256410256411,0.9173890091113879,0.9244935543278084,0.9402083333333333,0.9417640169973901,0.2937260506663398,0.08576638713806037,0.11511456217419214,0.3890858804674507
