status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels,n_informative_counterexamples,n_draws,n_reached,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200,random_active_n_draws,random_active_n_reached,random_active_probability_reached,random_active_median_n_labels,random_active_q025_n_labels,random_active_q975_n_labels,random_active_min_n_labels,random_active_max_n_labels,random_active_median_n_informative_counterexamples,random_active_q025_n_informative_counterexamples,random_active_q975_n_informative_counterexamples,random_active_probability_by_25,random_active_probability_by_50,random_active_probability_by_100,random_active_probability_by_200,initial_coverage_n_draws,initial_coverage_n_reached,initial_coverage_probability_reached,initial_coverage_median_n_labels,initial_coverage_q025_n_labels,initial_coverage_q975_n_labels,initial_coverage_min_n_labels,initial_coverage_max_n_labels,initial_coverage_median_n_informative_counterexamples,initial_coverage_q025_n_informative_counterexamples,initial_coverage_q975_n_informative_counterexamples,initial_coverage_probability_by_25,initial_coverage_probability_by_50,initial_coverage_probability_by_100,initial_coverage_probability_by_200,oracle_min_n_labels
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,adaptive_bottleneck_cover,0.005,65,34,200,200,1.0,453.5,400.0,482.07500000000005,366.0,492.0,81.0,73.0,85.0,0.0,0.0,0.0,0.0,200,200,1.0,64.0,58.0,67.0,55.0,67.0,34.0,34.0,34.0,0.0,0.0,1.0,1.0,200,200,1.0,64.0,57.975,67.0,50.0,67.0,34.0,34.0,34.0,0.0,0.005,1.0,1.0,34
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,adaptive_bottleneck_cover,0.01,62,33,200,200,1.0,439.5,388.875,475.0,352.0,488.0,79.0,70.0,83.025,0.0,0.0,0.0,0.0,200,200,1.0,62.0,56.0,66.0,54.0,66.0,33.0,33.0,33.0,0.0,0.0,1.0,1.0,200,200,1.0,62.0,55.975,66.0,48.0,66.0,33.0,33.0,33.0,0.0,0.005,1.0,1.0,33
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,adaptive_bottleneck_cover,0.02,53,30,200,200,1.0,400.0,332.975,447.1,326.0,464.0,71.0,62.975,78.025,0.0,0.0,0.0,0.0,200,200,1.0,57.0,48.975,61.0,43.0,63.0,30.0,30.0,30.0,0.0,0.055,1.0,1.0,200,200,1.0,57.0,50.0,62.0,45.0,63.0,30.0,30.0,30.0,0.0,0.04,1.0,1.0,30
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.030000000000000027,adaptive_bottleneck_cover,0.005,32,19,200,200,1.0,393.0,320.0,444.0,316.0,462.0,83.0,69.975,91.0,0.0,0.0,0.0,0.0,200,200,1.0,36.0,31.0,38.0,26.0,38.0,19.0,19.0,19.0,0.0,1.0,1.0,1.0,200,200,1.0,36.0,30.0,38.0,29.0,38.0,19.0,19.0,19.0,0.0,1.0,1.0,1.0,19
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.030000000000000027,adaptive_bottleneck_cover,0.01,29,18,200,200,1.0,369.5,301.0,425.025,287.0,445.0,78.0,64.0,88.0,0.0,0.0,0.0,0.0,200,200,1.0,34.0,29.0,37.0,25.0,37.0,18.0,18.0,18.0,0.005,1.0,1.0,1.0,200,200,1.0,34.0,28.0,37.0,27.0,37.0,18.0,18.0,18.0,0.0,1.0,1.0,1.0,18
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.030000000000000027,adaptive_bottleneck_cover,0.02,26,15,200,200,1.0,326.0,230.8,388.15000000000003,177.0,424.0,69.0,48.975,82.0,0.0,0.0,0.0,0.005,200,200,1.0,28.0,23.0,32.0,20.0,33.0,15.0,15.0,15.0,0.165,1.0,1.0,1.0,200,200,1.0,28.0,23.0,33.0,20.0,34.0,15.0,15.0,15.0,0.15,1.0,1.0,1.0,15
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,customary_30,500,30,0.0020000000000000018,adaptive_bottleneck_cover,0.005,77,34,200,200,1.0,489.0,441.875,500.0,401.0,500.0,81.0,76.0,82.0,0.0,0.0,0.0,0.0,200,200,1.0,76.0,72.0,77.0,70.0,77.0,34.0,34.0,34.0,0.0,0.0,1.0,1.0,200,200,1.0,443.5,283.95,499.0,182.0,500.0,76.0,57.0,82.0,0.0,0.0,0.0,0.005,32
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,customary_30,500,30,0.0020000000000000018,adaptive_bottleneck_cover,0.01,58,28,200,200,1.0,457.5,394.9,491.0,363.0,497.0,76.0,68.0,80.0,0.0,0.0,0.0,0.0,200,200,1.0,58.0,51.0,60.0,49.0,60.0,28.0,28.0,28.0,0.0,0.01,1.0,1.0,200,200,1.0,59.0,52.975,60.0,50.0,60.0,28.0,28.0,28.0,0.0,0.005,1.0,1.0,28
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,customary_30,500,30,0.0020000000000000018,adaptive_bottleneck_cover,0.02,56,26,200,200,1.0,423.5,346.0,471.05,331.0,476.0,70.0,61.0,76.0,0.0,0.0,0.0,0.0,200,200,1.0,54.0,46.975,58.0,45.0,58.0,26.0,26.0,26.0,0.0,0.16,1.0,1.0,200,200,1.0,54.0,46.975,58.0,45.0,58.0,26.0,26.0,26.0,0.0,0.135,1.0,1.0,26
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.005,40,19,200,200,1.0,400.0,312.675,459.125,265.0,474.0,69.0,56.0,77.0,0.0,0.0,0.0,0.0,200,200,1.0,40.0,39.0,40.0,39.0,40.0,19.0,19.0,19.0,0.0,1.0,1.0,1.0,200,200,1.0,317.0,86.95,427.025,49.0,444.0,59.0,24.950000000000003,74.0,0.0,0.005,0.045,0.135,18
