case,group,model,quantum_stratum,tier,threshold,n_draws,n_reached,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,0.005,200,200,1.0,264.5,174.775,329.05,135.0,362.0,27.0,21.975,31.0,0.0,0.0,0.0,0.1
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,0.01,200,200,1.0,244.5,158.9,316.05,124.0,359.0,25.0,19.975,29.025000000000006,0.0,0.0,0.0,0.16
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,0.02,200,200,1.0,196.5,116.875,278.025,90.0,321.0,20.0,15.0,25.0,0.0,0.0,0.005,0.53
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,0.005,200,200,1.0,342.0,205.57500000000002,435.05,129.0,451.0,55.0,32.975,67.0,0.0,0.0,0.0,0.025
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,0.01,200,200,1.0,298.5,155.975,403.07500000000005,73.0,436.0,49.0,28.950000000000003,62.0,0.0,0.0,0.01,0.06
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,0.02,200,200,1.0,130.0,25.0,296.0,13.0,341.0,21.0,4.9750000000000005,45.025000000000006,0.03,0.13,0.33,0.805
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,0.005,200,200,1.0,283.5,169.95,368.025,129.0,409.0,47.0,32.0,58.0,0.0,0.0,0.0,0.055
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,0.01,200,200,1.0,246.5,135.85,340.07500000000005,73.0,360.0,40.0,22.975,53.025000000000006,0.0,0.0,0.01,0.18
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,0.02,200,200,1.0,126.0,25.0,251.0,13.0,296.0,21.0,4.9750000000000005,39.025000000000006,0.03,0.13,0.34,0.865
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,0.005,200,200,1.0,287.5,223.9,350.025,164.0,397.0,33.0,27.975,37.0,0.0,0.0,0.0,0.015
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,0.01,200,200,1.0,271.0,202.925,342.025,158.0,378.0,31.0,26.0,36.0,0.0,0.0,0.0,0.025
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,0.02,200,200,1.0,232.0,171.775,305.05,127.0,353.0,26.5,21.975,31.025000000000006,0.0,0.0,0.0,0.15
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,0.005,200,200,1.0,280.0,219.975,342.125,164.0,378.0,32.0,28.0,37.0,0.0,0.0,0.0,0.015
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,0.01,200,200,1.0,260.0,190.85,319.5000000000001,158.0,367.0,30.0,25.975,34.025000000000006,0.0,0.0,0.0,0.04
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,0.02,200,200,1.0,225.5,171.775,296.225,127.0,337.0,26.0,21.975,31.0,0.0,0.0,0.0,0.195
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,0.005,200,200,1.0,474.5,385.75,499.025,339.0,500.0,81.0,65.0,84.0,0.0,0.0,0.0,0.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,0.01,200,200,1.0,358.0,191.8,460.0,127.0,472.0,61.0,32.95,76.0,0.0,0.0,0.0,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,0.02,200,200,1.0,179.5,50.95,333.32500000000005,32.0,406.0,32.0,11.0,56.0,0.0,0.025,0.13,0.6
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,0.005,200,200,1.0,468.0,375.85,499.0,339.0,500.0,81.0,66.0,85.0,0.0,0.0,0.0,0.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,0.01,200,200,1.0,352.5,191.8,456.1,127.0,472.0,60.0,32.95,77.0,0.0,0.0,0.0,0.04
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,0.02,200,200,1.0,176.5,50.95,331.05,32.0,406.0,31.5,11.0,53.07500000000002,0.0,0.025,0.13,0.62
