status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels,n_informative_counterexamples
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,adaptive_bottleneck_cover,0.005,65,34
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,adaptive_bottleneck_cover,0.01,62,33
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,adaptive_bottleneck_cover,0.02,53,30
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.030000000000000027,adaptive_bottleneck_cover,0.005,32,19
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.030000000000000027,adaptive_bottleneck_cover,0.01,29,18
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.030000000000000027,adaptive_bottleneck_cover,0.02,26,15
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,customary_30,500,30,0.0020000000000000018,adaptive_bottleneck_cover,0.005,77,34
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,customary_30,500,30,0.0020000000000000018,adaptive_bottleneck_cover,0.01,58,28
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,customary_30,500,30,0.0020000000000000018,adaptive_bottleneck_cover,0.02,56,26
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.005,40,19
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,zz_r2_full__as2,entangling_zz,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.01,33,16
