status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,draw,threshold,n_labels,n_informative_counterexamples
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,nonadaptive_initial_coverage,8,0.01,64,33
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,nonadaptive_initial_coverage,8,0.02,58,30
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,nonadaptive_initial_coverage,9,0.005,65,34
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,nonadaptive_initial_coverage,9,0.01,62,33
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,nonadaptive_initial_coverage,9,0.02,58,30
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,nonadaptive_initial_coverage,10,0.005,62,34
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,nonadaptive_initial_coverage,10,0.01,60,33
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,nonadaptive_initial_coverage,10,0.02,57,30
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,nonadaptive_initial_coverage,11,0.005,56,34
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.008000000000000007,nonadaptive_initial_coverage,11,0.01,52,33
