status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.01200000000000001,retrospective_label_oracle,0.01,0
post-unlock exploratory,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.01200000000000001,retrospective_label_oracle,0.02,0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,customary_30,500,30,-0.052000000000000046,retrospective_label_oracle,0.005,18
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,customary_30,500,30,-0.052000000000000046,retrospective_label_oracle,0.01,17
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,customary_30,500,30,-0.052000000000000046,retrospective_label_oracle,0.02,14
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,full_115,500,115,-0.052000000000000046,retrospective_label_oracle,0.005,16
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,full_115,500,115,-0.052000000000000046,retrospective_label_oracle,0.01,14
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,zz_r1_full,entangling_zz,full_115,500,115,-0.052000000000000046,retrospective_label_oracle,0.02,12
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.02199999999999991,retrospective_label_oracle,0.005,6
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.02199999999999991,retrospective_label_oracle,0.01,5
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.02199999999999991,retrospective_label_oracle,0.02,2
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,retrospective_label_oracle,0.005,6
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,retrospective_label_oracle,0.01,5
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,retrospective_label_oracle,0.02,2
