case,group,model,quantum_stratum,tier,threshold,n_draws,n_reached,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,0.005,200,200,1.0,24.0,20.0,27.0,19.0,27.0,16.0,16.0,16.0,0.835,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,0.01,200,200,1.0,21.0,17.0,24.0,16.0,25.0,14.0,14.0,14.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,gpc,entangling_zz,full_115,0.02,200,200,1.0,18.0,14.0,21.0,14.0,22.0,12.0,12.0,12.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,0.005,200,200,1.0,13.0,9.975000000000001,14.0,6.0,14.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,0.01,200,200,1.0,11.0,7.0,13.0,5.0,13.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,customary_30,0.02,200,200,1.0,4.0,2.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,0.005,200,200,1.0,13.0,9.975000000000001,14.0,6.0,14.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,0.01,200,200,1.0,11.0,7.0,13.0,5.0,13.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
05_unsw_dos_natural_cur,unsw_dos_natural_cur,gpc,entangling_zz,full_115,0.02,200,200,1.0,4.0,2.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,0.005,200,200,1.0,26.0,22.975,28.0,22.0,29.0,21.0,21.0,21.0,0.42,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,0.01,200,200,1.0,25.0,21.0,27.0,21.0,27.0,20.0,20.0,20.0,0.735,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,customary_30,0.02,200,200,1.0,21.0,18.0,24.0,17.0,24.0,17.0,17.0,17.0,1.0,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,0.005,200,200,1.0,26.0,22.975,28.0,22.0,29.0,21.0,21.0,21.0,0.42,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,0.01,200,200,1.0,25.0,21.0,27.0,21.0,27.0,20.0,20.0,20.0,0.735,1.0,1.0,1.0
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,0.02,200,200,1.0,21.0,18.0,24.0,17.0,24.0,17.0,17.0,17.0,1.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,0.005,200,200,1.0,39.0,36.0,42.0,35.0,43.0,18.0,18.0,18.0,0.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,0.01,200,200,1.0,12.0,7.0,14.0,6.0,14.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,0.02,200,200,1.0,7.0,3.9750000000000005,11.0,3.0,12.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,0.005,200,200,1.0,54.0,51.0,54.0,50.0,54.0,25.0,25.0,25.0,0.0,0.005,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,0.01,200,200,1.0,12.0,7.0,14.0,6.0,14.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,0.02,200,200,1.0,7.0,3.9750000000000005,11.0,3.0,12.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0
