case,group,model,quantum_stratum,tier,n_observed,median_lower,q025_lower,q975_lower,median_upper,q025_upper,q975_upper
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,10,-0.314,-0.322,-0.302,0.074,0.066,0.074
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,20,-0.306,-0.318,-0.29,0.07100000000000001,0.062,0.074
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,30,-0.294,-0.314,-0.278,0.07,0.06195,0.074
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,40,-0.286,-0.306,-0.266,0.069,0.058,0.074
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,50,-0.278,-0.298,-0.25389999999999996,0.066,0.05595,0.074
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,75,-0.254,-0.278,-0.23,0.062,0.05,0.074
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,100,-0.23,-0.2541,-0.202,0.058,0.043949999999999996,0.07
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,150,-0.19,-0.21605,-0.162,0.05,0.036,0.06405000000000001
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,200,-0.15,-0.182,-0.12589999999999998,0.042,0.02595,0.058
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,300,-0.082,-0.11205,-0.06,0.024,0.007900000000000003,0.04005000000000001
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,400,-0.036,-0.054,-0.024,0.004,-0.008099999999999998,0.024
01_ember_m2,ember_m2,gpc,entangling_zz,full_115,500,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,0,-0.376,-0.376,-0.376,0.054,0.054,0.054
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,5,-0.372,-0.376,-0.364,0.054,0.05,0.054
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,10,-0.364,-0.376,-0.352,0.054,0.04995,0.054
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,20,-0.348,-0.368,-0.336,0.054,0.046,0.054
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,30,-0.336,-0.356,-0.316,0.054,0.046,0.054
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,40,-0.324,-0.344,-0.29989999999999994,0.054,0.04595,0.054
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,50,-0.312,-0.336,-0.28,0.052,0.044,0.054
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,75,-0.276,-0.308,-0.244,0.05,0.042,0.054
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,100,-0.24,-0.28,-0.2,0.05,0.04,0.054
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,150,-0.172,-0.21209999999999998,-0.1359,0.046,0.036,0.054
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,200,-0.1,-0.1482,-0.07194999999999999,0.044,0.032,0.052050000000000006
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,300,-0.014,-0.038,0.008,0.04,0.02995,0.05
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,400,0.01,-0.004,0.024,0.032,0.028,0.044
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,customary_30,500,0.028,0.028,0.028,0.028,0.028,0.028
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,0,-0.38,-0.38,-0.38,0.016,0.016,0.016
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,5,-0.374,-0.38,-0.368,0.016,0.012,0.016
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,10,-0.368,-0.38,-0.356,0.016,0.011900000000000003,0.016
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,20,-0.352,-0.372,-0.34,0.016,0.008,0.016
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,30,-0.34,-0.36,-0.32,0.016,0.008,0.016
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,40,-0.328,-0.348,-0.3,0.016,0.007900000000000003,0.016
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,50,-0.312,-0.33605,-0.284,0.012,0.004,0.016
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,gpc,entangling_zz,full_115,75,-0.278,-0.312,-0.248,0.012,0.004,0.016
