case,group,model,quantum_stratum,tier,n_observed,median_lower,q025_lower,q975_lower,median_upper,q025_upper,q975_upper
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,75,-0.26,-0.28809999999999997,-0.236,0.068,0.048,0.08
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,100,-0.224,-0.256,-0.192,0.06,0.04195,0.07805000000000001
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,150,-0.157,-0.192,-0.124,0.044,0.023950000000000003,0.068
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,200,-0.11,-0.13005,-0.09394999999999999,0.028,0.009900000000000003,0.052
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,300,-0.09,-0.104,-0.076,-0.001,-0.022,0.020050000000000012
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,400,-0.078,-0.092,-0.066,-0.034,-0.05,-0.014
06_unsw_recon_m2_centroid,unsw_recon_m2_centroid,gpc,entangling_zz,full_115,500,-0.066,-0.066,-0.066,-0.066,-0.066,-0.066
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,0,-0.496,-0.496,-0.496,0.03,0.03,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,5,-0.488,-0.496,-0.48,0.03,0.026,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,10,-0.48,-0.4921,-0.468,0.03,0.026,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,20,-0.468,-0.484,-0.452,0.03,0.024,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,30,-0.452,-0.472,-0.43589999999999995,0.03,0.022,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,40,-0.44,-0.464,-0.416,0.028,0.022,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,50,-0.424,-0.448,-0.4,0.026,0.02195,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,75,-0.388,-0.416,-0.36,0.026,0.018,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,100,-0.352,-0.388,-0.316,0.024,0.01795,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,150,-0.284,-0.3241,-0.24,0.022,0.014,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,200,-0.214,-0.252,-0.17189999999999997,0.018,0.01,0.026
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,300,-0.076,-0.108,-0.048,0.014,0.006,0.022
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,400,-0.022,-0.042,-0.008,0.01,0.002,0.018
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,customary_30,500,0.002,0.002,0.002,0.002,0.002,0.002
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,0,-0.496,-0.496,-0.496,0.03,0.03,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,5,-0.488,-0.496,-0.48,0.03,0.026,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,10,-0.48,-0.4921,-0.468,0.03,0.026,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,20,-0.468,-0.484,-0.452,0.03,0.024,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,30,-0.452,-0.472,-0.43589999999999995,0.03,0.022,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,40,-0.44,-0.464,-0.416,0.028,0.022,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,50,-0.424,-0.448,-0.4,0.026,0.02195,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,75,-0.388,-0.416,-0.36,0.026,0.018,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,100,-0.352,-0.388,-0.316,0.024,0.01795,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,150,-0.284,-0.3241,-0.24,0.022,0.014,0.03
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,200,-0.214,-0.252,-0.17189999999999997,0.018,0.01,0.026
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,300,-0.076,-0.108,-0.048,0.014,0.006,0.022
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,400,-0.026,-0.042050000000000004,-0.009949999999999988,0.01,0.002,0.016
07_unsw_recon_natural_cur,unsw_recon_natural_cur,gpc,entangling_zz,full_115,500,0.002,0.002,0.002,0.002,0.002,0.002
