shots,projection_condition,n_fixed_scenario_groups,ood_difference_from_exact_median_across_group_median,ood_difference_from_exact_median_across_group_min,ood_difference_from_exact_median_across_group_max,absolute_ood_difference_median_across_group_median,absolute_ood_difference_median_across_group_min,absolute_ood_difference_median_across_group_max,train_effective_rank_ratio_median_across_group_median,train_effective_rank_ratio_median_across_group_min,train_effective_rank_ratio_median_across_group_max,kta_ood_difference_median_across_group_median,kta_ood_difference_median_across_group_min,kta_ood_difference_median_across_group_max,condition_train_fro_change_from_sampled_median_across_group_median,condition_train_fro_change_from_sampled_median_across_group_min,condition_train_fro_change_from_sampled_median_across_group_max,condition_ood_square_fro_change_from_sampled_median_across_group_median,condition_ood_square_fro_change_from_sampled_median_across_group_min,condition_ood_square_fro_change_from_sampled_median_across_group_max
128,independent_square_psd,8,-0.000532211223243495,-0.0252107587314331,0.0131115522540983,0.007015651271542625,0.0019044875488124,0.0252107587314331,1.9341750480155433,1.6439659107804887,2.9240960715070368,-0.00036537090408987497,-0.0008222327710657,0.0003018792535433,10.305896240540703,5.970839088534261,16.11699479751496,5.545840263761212,2.9066368511350023,7.955309760682132
128,nystrom_psd,8,-0.00097606246799795,-0.022721798474508198,0.01404008709016385,0.0067920147646069505,0.0019044875488124,0.022721798474508198,1.9341750480155433,1.6439659107804887,2.9240960715070368,-0.11998189526353961,-0.20809898046983005,-0.0413306419853203,10.305896240540703,5.970839088534261,16.11699479751496,224.4540362557632,121.040607032541,416.295011042835
128,pre_psd,8,-0.00440027547205689,-0.05625,0.01370389344262285,0.011782786885245825,0.0019364957429101,0.05625,1.9341750480155433,1.6439659107804887,2.9240960715070368,-0.0007131837647018,-0.0016855971501225499,-0.00010539345114449624,0.0,0.0,0.0,0.0,0.0,0.0
512,independent_square_psd,8,-0.0050858422656578,-0.0280641649590163,0.00406426011264715,0.00837076113854885,0.0019044875488124,0.0280641649590163,1.4779845898279853,1.3291404761800152,1.9496052787523186,-6.216670544641201e-05,-0.0001424711160424,0.00017522381678745,4.986213364121331,2.9579190673558236,7.907546030375661,2.700919165583765,1.3744670456238879,3.878277006250159
512,nystrom_psd,8,-0.0026495425215410143,-0.0238859895624247,0.00483478483606555,0.0068553948612862,0.0019044875488124,0.0238859895624247,1.4779845898279853,1.3291404761800152,1.9496052787523186,-0.05784135006403855,-0.14779158144473445,-0.007784631107586801,4.986213364121331,2.9579190673558236,7.907546030375662,124.12134732175957,51.57430316945823,186.3290030637407
512,pre_psd,8,-0.0009120522257691398,-0.0226013649136892,0.019163037909836,0.006799978325977225,0.0019044875488124,0.0226013649136892,1.4779845898279853,1.3291404761800152,1.9496052787523186,-0.00017082159716805,-0.00042652147695665,-2.9545650264126144e-05,0.0,0.0,0.0,0.0,0.0,0.0
2048,independent_square_psd,8,-0.005197865765552775,-0.0238458450421517,0.0040642601126472,0.007210596724091925,0.0,0.0238458450421517,1.244995434627906,1.1665780913904804,1.474368773556272,4.85310093957525e-06,-5.038237427720804e-05,9.143828197187565e-05,2.409306301827775,1.462805890347281,3.8724339292195196,1.312580102517186,0.6438335390522105,1.8855057147104621
2048,nystrom_psd,8,0.0,-0.022521075873143302,0.0093173668032786,0.0065426403557166755,0.0,0.022521075873143302,1.244995434627906,1.1665780913904804,1.474368773556272,-0.021636570918579352,-0.04106444597498085,-0.0029337155569702,2.409306301827775,1.462805890347281,3.8724339292195196,52.87578092312546,32.346492693903,88.31812408754774
2048,pre_psd,8,-0.0004761218872031,-0.022240064231232398,0.00545914446721305,0.007969554565994075,0.0008931575321616,0.022240064231232398,1.244995434627906,1.1665780913904804,1.474368773556272,-4.8883978275210405e-05,-0.0001218652792084,-3.257083436417063e-06,0.0,0.0,0.0,0.0,0.0,0.0
8192,independent_square_psd,8,0.0,-0.0148842381478103,0.0143442622950819,0.008104114123581274,0.0,0.0148842381478103,1.1259952240449742,1.0846053111521794,1.2419824855473207,1.0654645455292211e-05,-4.8058697019737195e-06,5.2445085720664864e-05,1.1618710685700075,0.7246427101480933,1.897139469541643,0.6378070531809035,0.30162820552932224,0.9150939029416474
8192,nystrom_psd,8,0.0,-0.0158242531880509,0.016201331967213,0.0069588016860698005,0.0,0.016201331967213,1.1259952240449742,1.0846053111521794,1.2419824855473207,-0.01069275245459315,-0.01575251356086295,-0.001532869067085,1.1618710685700075,0.7246427101480932,1.897139469541643,31.96899949436878,17.389539778679485,44.23334416273636
8192,pre_psd,8,0.0,-0.0158242531880509,0.011430584016393349,0.0100742745770281,0.0,0.0158242531880509,1.1259952240449742,1.0846053111521794,1.2419824855473207,-8.921196623171146e-06,-2.8105826805957523e-05,-8.610592374391768e-07,0.0,0.0,0.0,0.0,0.0,0.0
