family,model,dim,cfg,kernel,split,c_selected,c_cv_score,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_pos,roc_auc,pr_auc,log_loss,brier,ece,mean_predictive_entropy
classical_ext,svc,4,linear__svc__d4,linear,id_val,10.0,0.8188220822082208,0.009999275207519531,0.792,0.7924564549180328,0.792,0.792,0.8085297131147542,0.77499244195642,,,,
classical_ext,svc,4,linear__svc__d4,linear,id_test,10.0,0.8188220822082208,0.009999275207519531,0.868,0.869172643442623,0.8678964308017485,0.8715953307392996,0.8876152663934425,0.8137747355595583,,,,
classical_ext,svc,4,linear__svc__d4,linear,ood_test,10.0,0.8188220822082208,0.009999275207519531,0.716,0.712170973581762,0.7109638338408428,0.7491166077738516,0.7717201493135104,0.7215324728711713,,,,
classical_ext,gpc,4,linear__gpc__d4,linear,id_val,,,0.8537969589233398,0.788,0.784515881147541,0.7821404495305744,0.7464114832535885,0.7755507172131149,0.7678309750442517,0.540457111181865,0.1750249522096126,0.16731984674673867,0.5528240445152985
classical_ext,gpc,4,linear__gpc__d4,linear,id_test,,,0.8537969589233398,0.792,0.7889984631147541,0.7875955819881053,0.7570093457943925,0.873719262295082,0.8152690944661817,0.48373324536877405,0.15160531637123395,0.19426128934689418,0.5643308353372806
classical_ext,gpc,4,linear__gpc__d4,linear,ood_test,,,0.8537969589233398,0.8,0.8023358272320928,0.7997404636408786,0.7925311203319502,0.7724250628814943,0.7546348451655103,0.5437644261072733,0.17799324145614992,0.13841629441062217,0.5144613779494914
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_val,10.0,0.8934455445544554,0.011998414993286133,0.892,0.89453125,0.8912325367795162,0.9003690036900369,0.9668929303278688,0.9657868121838952,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,id_test,10.0,0.8934455445544554,0.011998414993286133,0.908,0.91015625,0.9075726157753452,0.9138576779026217,0.9640112704918034,0.9441698545749172,,,,
classical_ext,svc,4,rbf_gscale__svc__d4,rbf_gscale,ood_test,10.0,0.8934455445544554,0.011998414993286133,0.76,0.7516140918630545,0.7425997425997426,0.8095238095238095,0.8728432047934122,0.8465128584382878,,,,
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_val,,,1.0372397899627686,0.876,0.87890625,0.8747474747474748,0.8872727272727273,0.9588242827868853,0.94538992520898,0.2613552664270948,0.07842149002015676,0.08574364589476055,0.3525314326621502
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,id_test,,,1.0372397899627686,0.884,0.8863345286885246,0.8833260915045302,0.8921933085501859,0.9562628073770492,0.9456537325754675,0.25770040002371536,0.07778912919974601,0.05276747176055993,0.3427656738997279
classical_ext,gpc,4,rbf_gscale__gpc__d4,rbf_gscale,ood_test,,,1.0372397899627686,0.73,0.7209263205113827,0.7073855877648161,0.7887323943661971,0.9118217209503516,0.8810729388707226,0.44756168144950836,0.15064073069488534,0.13072477716381103,0.43531083239617824
classical_ext,svc,4,poly2__svc__d4,poly2,id_val,1.0,0.8894653465346536,0.007007122039794922,0.876,0.87890625,0.8747474747474748,0.8872727272727273,0.8506659836065574,0.742269173438185,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,id_test,1.0,0.8894653465346536,0.007007122039794922,0.896,0.8984375,0.895330112721417,0.9037037037037037,0.8591188524590164,0.7319367024022059,,,,
classical_ext,svc,4,poly2__svc__d4,poly2,ood_test,1.0,0.8894653465346536,0.007007122039794922,0.732,0.7225684487095275,0.7077604857282433,0.7919254658385093,0.6505711401976962,0.5546029844338098,,,,
classical_ext,gpc,4,poly2__gpc__d4,poly2,id_val,,,0.7830150127410889,0.808,0.809234118852459,0.8078031904670382,0.813953488372093,0.9110527663934427,0.8935597401491624,0.37016728913521624,0.1161700050533133,0.1451754789305846,0.44887835044033814
classical_ext,gpc,4,poly2__gpc__d4,poly2,id_test,,,0.7830150127410889,0.88,0.8820440573770492,0.8795064584538268,0.8872180451127819,0.9269339139344263,0.9078234303350978,0.32177204273996846,0.0943709311985985,0.07887176157770269,0.429258362948961
classical_ext,gpc,4,poly2__gpc__d4,poly2,ood_test,,,0.7830150127410889,0.67,0.6634438231948605,0.6553755153702521,0.7263681592039801,0.801967349685192,0.7542906180670257,0.5467843487082105,0.18896284173333588,0.13837288426573588,0.5063373449562675
classical_ext,svc,4,poly3__svc__d4,poly3,id_val,100.0,0.8934455445544554,0.015778541564941406,0.892,0.89453125,0.8912325367795162,0.9003690036900369,0.9576075819672131,0.9546056440689926,,,,
classical_ext,svc,4,poly3__svc__d4,poly3,id_test,100.0,0.8934455445544554,0.015778541564941406,0.908,0.91015625,0.9075726157753452,0.9138576779026217,0.9627945696721312,0.9530586123221038,,,,
classical_ext,svc,4,poly3__svc__d4,poly3,ood_test,100.0,0.8934455445544554,0.015778541564941406,0.764,0.7557634694564155,0.7474488048763783,0.8121019108280255,0.8418270078021115,0.803736611694532,,,,
classical_ext,gpc,4,poly3__gpc__d4,poly3,id_val,,,0.7823765277862549,0.852,0.8543160860655737,0.8511401857126764,0.862453531598513,0.9155993852459017,0.9018093448908457,0.3402065674348442,0.1053541122872561,0.11067218983069672,0.423913264958814
classical_ext,gpc,4,poly3__gpc__d4,poly3,id_test,,,0.7823765277862549,0.884,0.8861424180327868,0.8834611242384787,0.8913857677902621,0.9312243852459017,0.9174197853968149,0.305231061850101,0.0903111829461647,0.08597864237338433,0.4036096104663839
classical_ext,gpc,4,poly3__gpc__d4,poly3,ood_test,,,0.7823765277862549,0.706,0.6974719236130025,0.6843312331697009,0.7670364500792393,0.821945241032378,0.8034149627040653,0.5275370841073544,0.1822497518341293,0.19362769158069273,0.487247178302175
