setting,model,dataset,n_cells,rho_eff_rank,rho_kta_ood
m1_hist_byteent__ms123__q1000_id500_ood500__qs123,gpc,ember,30,0.6351501668520578,0.5688542825361512
m1_hist_byteent__ms123__q1000_id500_ood500__qs123,svc,ember,30,0.32858731924360396,0.3659621802002225
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024,gpc,ember,30,0.7147942157953281,0.8602892102335928
m1_hist_byteent__ms123__q1000_id500_ood500__qs2024,svc,ember,30,0.761067853170189,0.7939933259176863
m1_hist_byteent__ms123__q1000_id500_ood500__qs42,gpc,ember,55,0.7544644472603327,0.8194018548569758
m1_hist_byteent__ms123__q1000_id500_ood500__qs42,svc,ember,55,0.7512987012987015,0.7801587301587303
m1_hist_byteent__ms123__q1000_id500_ood500__qs7,gpc,ember,30,-0.12836484983314794,-0.020689655172413793
m1_hist_byteent__ms123__q1000_id500_ood500__qs7,svc,ember,30,-0.08298109010011123,-0.007341490545050056
m1_hist_byteent__ms123__q1000_id500_ood500__qs999,gpc,ember,30,0.5221357063403782,0.6484983314794216
m1_hist_byteent__ms123__q1000_id500_ood500__qs999,svc,ember,30,0.6088987764182424,0.6992213570634038
m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123,gpc,ember,30,0.6118589424890156,0.705083995908251
m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123,svc,ember,30,0.702636560138295,0.7547001937900875
m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024,gpc,ember,30,0.7124263032181192,0.8706196516216428
m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024,svc,ember,30,0.7948832035595106,0.8923248053392657
m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42,gpc,ember,55,0.608874458874459,0.7764790764790765
m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42,svc,ember,55,0.6694805194805196,0.7185425685425687
m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7,gpc,ember,30,0.7815350389321468,0.8389321468298109
m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7,svc,ember,30,0.5595105672969966,0.5185761957730812
m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999,gpc,ember,30,0.13370411568409346,0.3397107897664071
m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999,svc,ember,30,-0.06829810901001113,0.196440489432703
m1_hist_byteent__ms123__q4000_id1800_ood1800__qs123,gpc,ember,30,0.6791991101223581,0.7864293659621803
m1_hist_byteent__ms123__q4000_id1800_ood1800__qs123,svc,ember,30,0.8020022246941045,0.8211345939933259
