setting_label,splits_dir,dim,kernel,family,n_train,spec_train_top1_share,spec_train_top5_share,spec_train_top20_share,spec_train_eff_rank,spec_ood_top1_share,spec_ood_top5_share,spec_ood_top20_share,spec_ood_eff_rank,k_train_mean,k_train_std,k_id2train_mean,k_id2train_std,k_ood2train_mean,k_ood2train_std,ood_novelty_ratio,kta_train,kta_id,kta_ood,kta_drop_id_to_ood,gd_vs_linear_lam1e-06,gd_vs_linear_lam0.0001,gd_vs_linear_lam0.01,gd_vs_rbf_gscale_lam1e-06,gd_vs_rbf_gscale_lam0.0001,gd_vs_rbf_gscale_lam0.01
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,4,linear,classical,4000,0.9834677677917285,0.9999999999999927,0.9999999999999959,1.1029781993017087,0.9762682692193057,0.9999999999999941,0.999999999999997,1.1365392830664958,0.9831378670424067,0.02778293306140889,0.9829473769486466,0.029301742349136673,0.9787641409225466,0.0272463581405503,0.9957441912718806,0.07895842610396311,0.09342991974104384,0.11729497479915042,-0.023865055058106585,,,,,,
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,4,rbf_gscale,classical,4000,0.8769086684740389,0.9917877630063057,0.9999436503901863,1.699418423625284,0.8449379490056538,0.9919393803693916,0.9998913507467349,1.845941865640045,0.8728914778768214,0.11296774626848931,0.8730241339911359,0.1147599330808482,0.8509183123683689,0.12789571450182005,0.9746790257427277,0.06787050005989258,0.08389117557391827,0.0956021425659974,-0.01171096699207913,,,,,,
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,4,zz_r1_full,quantum,4000,0.2732785273116807,0.6660565183240446,0.9476596239101946,13.742529604968057,0.22573600789545936,0.6969365597143172,0.9362760215668913,14.15884449176134,0.2351293646383392,0.27539282411840577,0.23675957347877452,0.27711318825196546,0.20479637079541804,0.25476136085099493,0.8649972112480513,0.0836468070122512,0.09989778074175792,0.12983615670185905,-0.029938375960101127,351.18304193562005,35.299860123905084,3.961968849047047,152.65904021910853,24.810098697168325,3.3394504839265107
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,4,zz_r2_full,quantum,4000,0.23301131972772313,0.6068712087055809,0.9144550256555687,17.852087786595384,0.20294115473937485,0.6338304114740183,0.9007817787376659,18.499094879347506,0.19709322290508538,0.25796610479565396,0.1984829802897137,0.2595961049061652,0.17054618523117634,0.2301275684525207,0.8592484100260904,0.07675680006085454,0.08184335990731957,0.13612187821068417,-0.054278518303364595,354.5752980207731,35.55550325847094,3.8206401334650435,163.86832250350676,25.529022581672393,3.3468937496801976
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,4,pauli_xz_r1_full,quantum,4000,0.6209996554326054,0.9508691630915529,0.9988955257612648,3.6174426504872232,0.5492853023099386,0.9552637112365899,0.9980270417483181,4.040445864304837,0.5924010308345137,0.2748699917320042,0.5938442445961417,0.27557129889158777,0.5414687810695155,0.2907127334061145,0.9118026923671788,0.07402064004780445,0.09368710867126566,0.09840470346013735,-0.004717594788871696,211.4307214688707,21.350496336934903,3.2421049647229574,10.710482534817647,4.234461197130951,1.8115959920507911
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,4,zmap_r2,quantum,4000,0.6209158453747691,0.9243934254025328,0.9962348379123858,4.162001758864251,0.5406604167573186,0.9196134646604305,0.9940876580667483,4.664745303358216,0.5897567203703061,0.2569476665517174,0.5889323575355581,0.2590211667776011,0.5355226149090865,0.27110981139484785,0.9093109048211079,0.06789652388573493,0.0816569841538427,0.10453451141783213,-0.022877527263989422,226.4919736312681,22.881177699466622,2.969341598745628,34.92870951795611,10.373772529034396,2.232468004617643
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,6,linear,classical,4000,0.9799514886659235,0.9994353282939445,0.999999999999996,1.132904121096897,0.9755399599939731,0.9995885168299069,0.9999999999999972,1.1537954877566614,0.9796612227667113,0.02606040830568358,0.9794993393194276,0.026424290759736176,0.9768589415759836,0.02400652383255918,0.9973043394339821,0.06541124015358007,0.08187947942541361,0.11510959668230593,-0.033230117256892316,,,,,,
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,6,rbf_gscale,classical,4000,0.8447984714858694,0.9818690756889721,0.9993673490649061,2.0226637013421263,0.8224204006575534,0.9799581523252952,0.9990216946967531,2.132275108263406,0.8413313290581736,0.10716516779605317,0.841778105683849,0.10940106033329841,0.8244215470836308,0.11913703101819403,0.9793810762206532,0.061922064312444174,0.07877995078025088,0.10760426107953804,-0.028824310299287156,,,,,,
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,6,zz_r1_full,quantum,4000,0.18722221234346015,0.5483771773349849,0.879321342656876,23.308213713641912,0.17714931544956913,0.6003413548176519,0.8585955547818841,24.444472428914047,0.13009164922500496,0.25211591889159823,0.13224061732254483,0.25467075230220926,0.11236342802538116,0.21995784624354697,0.8496892278664905,0.07333624244028109,0.08319047582761278,0.13638806535316636,-0.053197589525553576,312.0896751375282,31.4900175235207,3.6358002938650142,96.30236337347972,19.019295291723726,3.1413031109902825
m1_hist_byteent__ms42__q4000_id1800_ood1800__qs7,data\processed\ember\splits_sparsity__m1_hist_byteent__ms42__h76f4418d\qsplits\splits_sparsity_q4000_id1800_ood1800_seed7,6,zz_r2_full,quantum,4000,0.1670254387842809,0.505098028346819,0.8307351242746562,29.620568570421042,0.16645324790299715,0.5425752447196097,0.8096739945910485,32.455997767243645,0.09767912215024054,0.24188604992191065,0.09935078394752521,0.24403583681105237,0.07593580636288641,0.20357862231583,0.7643201527528354,0.07867907878971882,0.08661163823831781,0.13983550306128678,-0.053223864822968966,319.06002668248584,32.10307117200438,3.592268220956284,123.64271537247707,20.060385494824615,3.1728295745290795
