group,model,min_delta,max_delta,scheme_range,primary_delta,max_abs_difference_from_primary
ember_m1,gpc,-0.0013479380644073,-0.000367265287105,0.0009806727773023,-0.000367265287105,0.0009806727773023
ember_m1,svc,-0.0055901890974132,-0.0053610517907791,0.00022913730663409997,-0.0055901890974132,0.00022913730663409997
ember_m2,gpc,0.0004898222807549,0.0007796924872398,0.00028987020648489994,0.0006948136082051,0.00020499132745019995
ember_m2,svc,-0.0070896480712445,-0.0070563132422146,3.33348290299006e-05,-0.0070563132422146,3.33348290299006e-05
toniot_scanning_m2_centroid,gpc,0.0057418582542037,0.0092665511041355,0.0035246928499318006,0.0092665511041355,0.0035246928499318006
toniot_scanning_m2_centroid,svc,-0.0011382612897397,-0.0008354621070045,0.0003027991827351999,-0.001097471703839,0.0002620095968344999
toniot_scanning_natural_cur,gpc,-0.0095744748296142,-0.0093640044364518,0.00021047039316239927,-0.0095207820900605,0.00015677765360869872
toniot_scanning_natural_cur,svc,-0.014885281817785,-0.0142661926636824,0.0006190891541026002,-0.0146916390066501,0.0004254463429677006
unsw_dos_m2_centroid,gpc,-0.011557249358426,-0.0112023977052773,0.00035485165314869983,-0.011557249358426,0.00035485165314869983
unsw_dos_m2_centroid,svc,-0.0046355815307682,-0.002794942178536,0.0018406393522321998,-0.0046355815307682,0.0018406393522321998
unsw_dos_natural_cur,gpc,-0.00724107347619,-0.0070532675557548,0.00018780592043520037,-0.00724107347619,0.00018780592043520037
unsw_dos_natural_cur,svc,-0.0035510386743618,-0.0034384209894072,0.00011261768495460017,-0.0035510386743618,0.00011261768495460017
unsw_recon_m2_centroid,gpc,-0.0082141086997741,-0.0076129083262367,0.0006012003735373994,-0.0082141086997741,0.0006012003735373994
unsw_recon_m2_centroid,svc,-0.0090110559598071,-0.0088899686783291,0.00012108728147800125,-0.0090110559598071,0.00012108728147800125
unsw_recon_natural_cur,gpc,0.0046346876266631,0.0049104983146047,0.0002758106879416,0.0046346876266631,0.0002758106879416
unsw_recon_natural_cur,svc,0.0049676376116243,0.0052314711002406,0.0002638334886163,0.0049676376116243,0.0002638334886163
