model,scheme,dataset_equal_delta,min_dataset_delta,max_dataset_delta,n_datasets,is_primary
gpc,kernel_blocked,-0.0018525924364480662,-0.005594435976931749,0.00016377416055004997,3,True
gpc,kernel_stratified,-0.0025342842311712748,-0.0052574865139823745,-0.00042905789182619996,3,False
gpc,uniform,-0.0023215582859309417,-0.005347892676557525,-6.341856876190003e-05,3,False
svc,kernel_blocked,-0.0057584387211288834,-0.00789455535524455,-0.0030575096383282,3,True
svc,kernel_stratified,-0.005483242284995309,-0.00770222697671105,-0.002522149947263075,3,False
svc,uniform,-0.0055471448242773586,-0.00786037196239475,-0.0025341863370096245,3,False
