group,model,family,budget,e_p1_ood,p2.5,p97.5
ember_m1,svc,classical_ext,5,0.7557625312508095,0.7416308092374452,0.7666537481041644
ember_m1,svc,classical_ext,10,0.7634888351798212,0.7550515794505651,0.7701223942813825
ember_m1,svc,classical_ext,20,0.7691025961612012,0.7632608531941018,0.7735233922064289
ember_m1,svc,classical_ext,30,0.7718553204532508,0.7674161839470525,0.7751015245034262
ember_m1,svc,classical_ext,40,0.7737284738856984,0.77024541592171,0.7762388860708074
ember_m1,svc,classical_ext,50,0.7749435257609333,0.7721304804079258,0.7770097697342774
ember_m1,svc,classical_ext,60,0.7759010870180549,0.7735577796794052,0.777673234912973
ember_m1,svc,classical_ext,115,0.7791550078635602,,
ember_m1,svc,quantum,5,0.7476118189823183,0.7392767910146091,0.7539359396425894
ember_m1,svc,quantum,10,0.7541122434724704,0.7493986787103893,0.7580764771126703
ember_m1,svc,quantum,20,0.7590474277849693,0.7562771755611437,0.7615040246114712
ember_m1,svc,quantum,30,0.7615289720589045,0.7594753143907448,0.7632891215154924
ember_m1,svc,quantum,40,0.7630793801460676,0.761449271736276,0.7644355542713885
ember_m1,svc,quantum,50,0.764259379501235,0.7631217384681306,0.7650743740297148
ember_m1,svc,quantum,60,0.7651713934128053,0.7651713934128052,0.7651713934128052
ember_m2,svc,classical_ext,5,0.7860086532264308,0.768470275891828,0.7993250337668857
ember_m2,svc,classical_ext,10,0.7923190489418421,0.7825549479400361,0.8015200118711172
ember_m2,svc,classical_ext,20,0.7969477478501749,0.7898103457917005,0.8028956163588639
ember_m2,svc,classical_ext,30,0.7993818291482885,0.7935460939437489,0.8037402228238675
ember_m2,svc,classical_ext,40,0.8009300911381362,0.7958845633216846,0.8043107503655357
ember_m2,svc,classical_ext,50,0.8020263971762918,0.7976720151491354,0.8046563765879996
ember_m2,svc,classical_ext,60,0.802879788188107,0.7990379151624393,0.8049958685857315
ember_m2,svc,classical_ext,115,0.8056091478624517,,
