group,model,scheme,budget,B,n_settings,q_p1_ood,c_p1_ood_median,delta_median,delta_p2.5,delta_p97.5,frac_resamples_delta_lt0,delta_full_pool,select_col,seed
ember_m1,svc,uniform,60,5000,9,0.7313361984657577,0.7454204054259965,-0.01408420696023892,-0.020015657361413027,-0.009830230597743352,1.0,-0.012879977362888817,id_test,20260715
ember_m1,svc,kernel_stratified,60,5000,9,0.7313361984657577,0.7456344470257117,-0.014298248559954065,-0.019640435018752896,-0.00974391151363813,1.0,-0.012879977362888817,id_test,20260715
ember_m1,svc,kernel_blocked,60,5000,9,0.7313361984657577,0.7445679340063216,-0.013231735540563783,-0.022786341045847352,-0.010251420090097545,1.0,-0.012879977362888817,id_test,20260715
ember_m2,svc,uniform,60,5000,9,0.7829731526588987,0.7847372460334806,-0.0017640933745822023,-0.00376846323455121,0.0036526574907904262,0.611,-0.0019494193892850564,id_test,20260715
ember_m2,svc,kernel_stratified,60,5000,9,0.7829731526588987,0.7845159518099968,-0.0015427991510982286,-0.003647963180644679,0.003208965438642052,0.6158,-0.0019494193892850564,id_test,20260715
ember_m2,svc,kernel_blocked,60,5000,9,0.7829731526588987,0.7849225720481838,-0.0019494193892853155,-0.004449708844862534,0.009800435892776448,0.5162,-0.0019494193892850564,id_test,20260715
toniot_scanning_m2_centroid,svc,uniform,20,5000,9,0.9564275906462563,0.9357998281519264,0.020627762494329835,0.014051206412026236,0.04576512177037864,0.0,0.022763290689579496,id_test,20260715
toniot_scanning_m2_centroid,svc,kernel_stratified,20,5000,9,0.9564275906462563,0.9363708722675208,0.020056718378735475,0.014232237081478138,0.027890339506937065,0.0,0.022763290689579496,id_test,20260715
toniot_scanning_m2_centroid,svc,kernel_blocked,20,5000,9,0.9564275906462563,0.9341454898079452,0.02228210083831101,0.013960261937792848,0.15480668008541004,0.0,0.022763290689579496,id_test,20260715
toniot_scanning_natural_cur,svc,uniform,60,5000,9,0.9535561898463222,0.9892084881650456,-0.03565229831872335,-0.036443371255174,-0.034604351139294505,1.0,-0.035569693297300864,id_test,20260715
toniot_scanning_natural_cur,svc,kernel_stratified,60,5000,9,0.9535561898463222,0.9889940514112385,-0.03543786156491628,-0.0363529450916539,-0.034780348125432514,1.0,-0.035569693297300864,id_test,20260715
toniot_scanning_natural_cur,svc,kernel_blocked,60,5000,9,0.9535561898463222,0.9888308117560993,-0.03527462190977712,-0.03596550494675669,-0.03427288753490111,1.0,-0.035569693297300864,id_test,20260715
unsw_dos_m2_centroid,svc,uniform,20,5000,9,0.9106113168327751,0.897787325469639,0.012823991363136179,-0.0033301600457254135,0.03265086161399051,0.0606,0.012437862157511304,id_test,20260715
unsw_dos_m2_centroid,svc,kernel_stratified,20,5000,9,0.9106113168327751,0.8982126468552671,0.01239866997750827,-0.0031616160148641125,0.029416058343330168,0.0606,0.012437862157511304,id_test,20260715
unsw_dos_m2_centroid,svc,kernel_blocked,20,5000,9,0.9106113168327751,0.8981734546752639,0.012437862157511477,-0.008366456004559356,0.041444706849552405,0.1332,0.012437862157511304,id_test,20260715
unsw_dos_natural_cur,svc,uniform,60,5000,9,0.8110137061057553,0.8201195342231907,-0.009105828117435526,-0.012399354713592959,-0.00012181224932207665,0.9762,-0.01031368683262357,id_test,20260715
unsw_dos_natural_cur,svc,kernel_stratified,60,5000,9,0.8110137061057553,0.8201663962248776,-0.009152690119122255,-0.011933638352013587,-0.002376019820397435,0.9944,-0.01031368683262357,id_test,20260715
unsw_dos_natural_cur,svc,kernel_blocked,60,5000,9,0.8110137061057553,0.8199670824344911,-0.008953376328735916,-0.013701479969234386,0.010256387257796111,0.7732,-0.01031368683262357,id_test,20260715
unsw_recon_m2_centroid,svc,uniform,20,5000,9,0.9138559325150569,0.9246328660753311,-0.010776933560274309,-0.01840960828958506,0.010062249697476537,0.83,-0.01208470727244082,id_test,20260715
unsw_recon_m2_centroid,svc,kernel_stratified,20,5000,9,0.9138559325150569,0.9260924724239982,-0.012236539908941394,-0.018640581097143703,0.007989530109711736,0.8826,-0.01208470727244082,id_test,20260715
unsw_recon_m2_centroid,svc,kernel_blocked,20,5000,9,0.9138559325150569,0.9236140533487701,-0.009758120833713253,-0.01479304681173267,0.014806221557324016,0.7102,-0.01208470727244082,id_test,20260715
unsw_recon_natural_cur,svc,uniform,60,5000,9,0.7948079551239845,0.798381937735929,-0.0035739826119444333,-0.007341836339476647,0.0008374021301336765,0.9472,-0.0034780557658030675,id_test,20260715
unsw_recon_natural_cur,svc,kernel_stratified,60,5000,9,0.7948079551239845,0.7983339029366872,-0.003525947812702638,-0.007024997201807217,0.0004995095076368284,0.9592,-0.0034780557658030675,id_test,20260715
unsw_recon_natural_cur,svc,kernel_blocked,60,5000,9,0.7948079551239845,0.7977469829057119,-0.0029390277817273264,-0.0073577687324193715,0.005598457183123462,0.8464,-0.0034780557658030675,id_test,20260715
ember_m1,gpc,uniform,60,5000,9,0.7436662085937117,0.7459683836767786,-0.0023021750830668607,-0.00696284985828483,0.0008432032437007465,0.9224,-0.0034189019215341565,id_test,20260715
ember_m1,gpc,kernel_stratified,60,5000,9,0.7436662085937117,0.7460144664264262,-0.002348257832714504,-0.006321639861458174,0.00027729289183150643,0.9522,-0.0034189019215341565,id_test,20260715
