group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical,delta,n_classical,n_quantum
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,42,svc,0.6177289529692276,0.6565345409739003,-0.03880558800467271,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,123,svc,0.6177289529692276,0.6565345409739003,-0.03880558800467271,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,7,999,svc,0.6177289529692276,0.6565345409739003,-0.03880558800467271,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,42,svc,0.8015817110655737,0.7402984118852459,0.06128329918032782,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,123,svc,0.8015817110655737,0.7402984118852459,0.06128329918032782,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,42,999,svc,0.8015817110655737,0.7402984118852459,0.06128329918032782,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,42,svc,0.7043201870266289,0.7263934924981186,-0.022073305471489668,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,123,svc,0.7043201870266289,0.7263934924981186,-0.022073305471489668,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,123,999,svc,0.7063778001953531,0.7263934924981186,-0.020015692302765453,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,42,svc,0.7604348953269817,0.7536781385702249,0.006756756756756799,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,123,svc,0.7604348953269817,0.7536781385702249,0.006756756756756799,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,999,999,svc,0.7604348953269817,0.7536781385702249,0.006756756756756799,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,svc,0.7550035281288088,0.7406985695041375,0.014304958624671293,115,60
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,svc,0.7550035281288088,0.7406985695041375,0.014304958624671293,115,60
