group,setting,model,q_p1_ood,c_p1_ood,delta
unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q2000_id1000_ood1000,svc,0.8193577916452366,0.8256029977977519,-0.006245206152515337
unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q4000_id1800_ood1800,svc,0.7954065855439869,0.8024291270954274,-0.007022541551440442
unsw_recon_natural_cur,unsw_recon__natural_cur__ms999__q1000_id500_ood500,svc,0.7720063758280951,0.7805139032318017,-0.008507527403706638
unsw_recon_natural_cur,unsw_recon__natural_cur__ms999__q2000_id1000_ood1000,svc,0.8076795518383761,0.8099602322733139,-0.0022806804349377874
unsw_recon_natural_cur,unsw_recon__natural_cur__ms999__q4000_id1800_ood1800,svc,0.793046796348528,0.7992518936013938,-0.006205097252865777
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500,gpc,0.7429303163782465,0.7482170991980245,-0.005286782819778013
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,gpc,0.7460681922895909,0.7665328128437899,-0.020464620554199064
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,gpc,0.7458776642204403,0.7550756999262381,-0.009198035705797802
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,gpc,0.7225532348973651,0.7603118176554483,-0.03775858275808319
ember_m1,m1_hist_byteent__ms42__q2000_id1000_ood1000,gpc,0.7507212312286374,0.7531457848491906,-0.0024245536205531604
ember_m1,m1_hist_byteent__ms42__q4000_id1800_ood1800,gpc,0.7536158424238718,0.7540331707321251,-0.00041732830825325085
ember_m1,m1_hist_byteent__ms999__q1000_id500_ood500,gpc,0.7293869200287417,0.7447973488628731,-0.015410428834131351
ember_m1,m1_hist_byteent__ms999__q2000_id1000_ood1000,gpc,0.7505429792942327,0.7556764389364214,-0.005133459642188698
ember_m1,m1_hist_byteent__ms999__q4000_id1800_ood1800,gpc,0.7512994965822785,0.7524955578215295,-0.0011960612392510894
