group,setting,qs,seed,model,p1_ood_quantum,p1_ood_classical_exp_budget,delta,scheme,budget
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,123,svc,0.690851431866231,0.7067784931770132,-0.015927061310782253,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,999,999,svc,0.690851431866231,0.7067784931770132,-0.015927061310782253,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,42,svc,0.7550839858449024,0.798167508126371,-0.04308352228146861,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,123,svc,0.7550839858449024,0.798167508126371,-0.04308352228146861,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000,2024,999,svc,0.7550839858449024,0.798167508126371,-0.04308352228146861,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,7,42,svc,0.718233656636958,0.7467745143334846,-0.02854085769652659,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,7,123,svc,0.718233656636958,0.7467857196916764,-0.028552063054718357,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,7,999,svc,0.718233656636958,0.7469171482419051,-0.028683491604947098,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,42,svc,0.7232630636748048,0.752470867619371,-0.029207803944566235,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,123,svc,0.7232630636748048,0.7524659514182537,-0.029202887743448924,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,42,999,svc,0.7232630636748048,0.7522458952436804,-0.0289828315688756,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,123,42,svc,0.7407406262557572,0.7543374603567123,-0.013596834100955135,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,123,123,svc,0.7407406262557572,0.7543374603567123,-0.013596834100955135,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,123,999,svc,0.7407406262557572,0.7529773268214276,-0.012236700565670389,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,999,42,svc,0.7332965788716586,0.7303115399954808,0.002985038876177737,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,999,123,svc,0.7332965788716586,0.730318499553637,0.0029780793180215204,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,999,999,svc,0.7215997698421616,0.730318499553637,-0.00871872971147547,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,42,svc,0.7604169884169885,0.7608515861003861,-0.0004345976833975973,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,123,svc,0.7604169884169885,0.7608126764478765,-0.000395688030888075,kernel_blocked,60
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800,2024,999,svc,0.7604169884169885,0.7608126764478765,-0.000395688030888075,kernel_blocked,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,7,42,svc,0.6926917476116561,0.7430162791441969,-0.050324531532540795,kernel_blocked,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,7,123,svc,0.6926917476116561,0.742949072666464,-0.050257325054807955,kernel_blocked,60
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500,7,999,svc,0.6926917476116561,0.7430162791441969,-0.050324531532540795,kernel_blocked,60
