group,setting,model,scheme,budget,delta_median,delta_p2.5,delta_p97.5,frac_lt0
ember_m2,m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,uniform,60,-0.00380107056904877,-0.006373577950963827,0.004880529299069053,0.789
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,svc,kernel_stratified,60,-0.011627050683974627,-0.018054812664651587,-0.006550550738644856,1.0
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,kernel_stratified,60,0.0012730632549609044,-0.0016787166190238567,0.007347632834582063,0.259
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,kernel_stratified,60,0.001990345649095393,-0.004507769063177958,0.008757030160310597,0.3066
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,svc,kernel_stratified,60,0.007508556839613156,0.003928830684610252,0.013269177297997271,0.0006
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,kernel_stratified,60,-0.003992673902738719,-0.0058799514386522755,0.0031892796796163525,0.8154
ember_m2,m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.005553086760448078,-0.00953113547379647,0.0038845058236222085,0.647
ember_m2,m2_hist_byteent__ms999__q1000_id500_ood500,svc,kernel_stratified,60,-0.0015366392865600043,-0.004385957151357922,0.006504978696393993,0.5778
ember_m2,m2_hist_byteent__ms999__q2000_id1000_ood1000,svc,kernel_stratified,60,0.0007722382785924076,-0.0028206668255803535,0.005899382926362051,0.2634
ember_m2,m2_hist_byteent__ms999__q4000_id1800_ood1800,svc,kernel_stratified,60,-0.00380107056904877,-0.006373577950963827,0.003911475687516264,0.8036
ember_m2,m2_hist_byteent__ms123__q1000_id500_ood500,svc,kernel_blocked,60,-0.009781832497995135,-0.0173986962327215,0.00543006551565095,0.9612
ember_m2,m2_hist_byteent__ms123__q2000_id1000_ood1000,svc,kernel_blocked,60,0.0012730632549609044,-0.0030224926456751122,0.006508192655981793,0.2578
ember_m2,m2_hist_byteent__ms123__q4000_id1800_ood1800,svc,kernel_blocked,60,0.001990345649095393,0.001990345649095393,0.016714064044716426,0.0
ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500,svc,kernel_blocked,60,0.007668608406423694,0.006046443060681472,0.009905237320985139,0.0
ember_m2,m2_hist_byteent__ms42__q2000_id1000_ood1000,svc,kernel_blocked,60,-0.0037785337582411094,-0.008040498009634467,0.012554581343326654,0.5162
ember_m2,m2_hist_byteent__ms42__q4000_id1800_ood1800,svc,kernel_blocked,60,-0.007856161051238764,-0.007856161051238764,0.010072237137301654,0.5162
ember_m2,m2_hist_byteent__ms999__q1000_id500_ood500,svc,kernel_blocked,60,-0.003180983635171608,-0.005444499728387453,0.009404267690969581,0.6536
