family,kernel,dim,kta_ood_full,kta_null_mean,kta_null_std,kta_null_exceed_frac,kta_ood_halfA,eff_rank_train,bacc_svc_halfB,bacc_gpc_halfB
classical_ext,linear,4,0.07058989297164257,0.0027908038474302238,0.002649842121452232,0.0,0.07060583824937185,1.9629323968819044,0.6545407636738906,0.6288054695562435
classical_ext,rbf_gscale,4,0.11678931686766554,0.003755951684207058,0.00288990348596784,0.0,0.11779087601996792,6.110890243913241,0.7757352941176471,0.7860552115583075
classical_ext,poly2,4,0.09571802266366912,0.00317408720909283,0.002779051065880872,0.0,0.09596654780784378,2.4324807974965474,0.7426470588235294,0.7720588235294117
classical_ext,poly3,4,0.09456532782404499,0.0032385501746718974,0.0027894315116534056,0.0,0.0949576240587212,3.0119120661004715,0.7426470588235294,0.7683823529411764
classical_ext,laplacian_med,4,0.17041630684521775,0.004758694893392885,0.0029338195218637426,0.0,0.16939303218739185,9.834471193713554,0.7445820433436532,0.7460010319917441
classical_ext,matern15_med,4,0.12286153961503882,0.0038055238007705713,0.002915855192794782,0.0,0.12345795668682175,4.502402573415945,0.7647058823529411,0.7566434468524252
classical_ext,matern25_med,4,0.11885723783418527,0.0036892845724752184,0.002918211478426122,0.0,0.11943305446905732,3.91645998670452,0.7536764705882353,0.7536764705882353
quantum,zz_r1_full,4,0.1894350148981631,0.006706490168115548,0.003026459978714653,0.0,0.1801667292004657,33.33104817385947,0.7652218782249742,0.7916666666666667
quantum,zz_r2_full,4,0.16327947577457083,0.007886748653080384,0.0028680258440890037,0.0,0.15496083088305654,46.32164850418478,0.7761222910216719,0.7680598555211559
quantum,pauli_xz_r1_full,4,0.16686180024744374,0.004291647334627344,0.0029510633517196095,0.0,0.16197995632287776,9.902695103303332,0.7628353973168214,0.7731553147574819
quantum,zmap_r2,4,0.2708409948426363,0.004604718366624537,0.0027237751780794274,0.0,0.2722893267959115,9.948455919837752,0.7460010319917441,0.7496775025799793
classical_ext,linear,6,0.12390754536735804,0.003600967120924724,0.002711996193749519,0.0,0.15516308205815288,2.032446517538025,0.6128095975232198,0.6924664602683178
classical_ext,rbf_gscale,6,0.12086078626749834,0.00457653879834344,0.002949237981000349,0.0,0.1406830994209931,6.247481263162219,0.7463235294117647,0.7389705882352942
