case,group,model,quantum_stratum,tier,threshold,n_draws,n_reached,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200
00_ember_m1,ember_m1,svc,product_map,customary_30,0.005,200,200,1.0,24.0,21.0,26.0,19,26,13.0,13.0,13.0,0.72,1.0,1.0,1.0
00_ember_m1,ember_m1,svc,product_map,customary_30,0.01,200,200,1.0,21.0,15.975000000000001,24.0,14,24,11.0,11.0,11.0,1.0,1.0,1.0,1.0
00_ember_m1,ember_m1,svc,product_map,customary_30,0.02,200,200,1.0,17.0,11.975000000000001,21.0,10,22,9.0,9.0,9.0,1.0,1.0,1.0,1.0
00_ember_m1,ember_m1,svc,product_map,full_115,0.005,200,200,1.0,17.0,14.975000000000001,20.0,12,20,12.0,12.0,12.0,1.0,1.0,1.0,1.0
00_ember_m1,ember_m1,svc,product_map,full_115,0.01,200,200,1.0,14.0,11.0,17.0,10,18,10.0,10.0,10.0,1.0,1.0,1.0,1.0
00_ember_m1,ember_m1,svc,product_map,full_115,0.02,200,200,1.0,12.0,8.0,14.025000000000006,8,15,8.0,8.0,8.0,1.0,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,customary_30,0.005,200,200,1.0,24.0,19.0,27.0,17,27,15.0,15.0,15.0,0.835,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,customary_30,0.01,200,200,1.0,22.0,18.0,25.0,16,26,14.0,14.0,14.0,0.985,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,customary_30,0.02,200,200,1.0,17.0,13.0,22.0,11,23,11.0,11.0,11.0,1.0,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,full_115,0.005,200,200,1.0,19.0,15.975000000000001,22.0,14,22,13.0,13.0,13.0,1.0,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,full_115,0.01,200,200,1.0,16.0,13.0,19.0,11,20,11.0,11.0,11.0,1.0,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,full_115,0.02,200,200,1.0,13.0,10.0,16.0,9,18,9.0,9.0,9.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,customary_30,0.005,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,customary_30,0.01,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,customary_30,0.02,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,full_115,0.005,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,full_115,0.01,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,full_115,0.02,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,svc,product_map,customary_30,0.005,200,200,1.0,3.0,2.0,4.0,2,4,2.0,2.0,2.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,svc,product_map,customary_30,0.01,200,200,1.0,1.0,1.0,3.0,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,svc,product_map,customary_30,0.02,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,svc,product_map,full_115,0.005,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,svc,product_map,full_115,0.01,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
03_toniot_scanning_natural_cur,toniot_scanning_natural_cur,svc,product_map,full_115,0.02,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
04_unsw_dos_m2_centroid,unsw_dos_m2_centroid,svc,product_map,customary_30,0.005,200,200,1.0,3.0,2.0,4.0,2,4,2.0,2.0,2.0,1.0,1.0,1.0,1.0
