status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels,n_informative_counterexamples,n_draws,n_reached,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200,random_active_n_draws,random_active_n_reached,random_active_probability_reached,random_active_median_n_labels,random_active_q025_n_labels,random_active_q975_n_labels,random_active_min_n_labels,random_active_max_n_labels,random_active_median_n_informative_counterexamples,random_active_q025_n_informative_counterexamples,random_active_q975_n_informative_counterexamples,random_active_probability_by_25,random_active_probability_by_50,random_active_probability_by_100,random_active_probability_by_200,initial_coverage_n_draws,initial_coverage_n_reached,initial_coverage_probability_reached,initial_coverage_median_n_labels,initial_coverage_q025_n_labels,initial_coverage_q975_n_labels,initial_coverage_min_n_labels,initial_coverage_max_n_labels,initial_coverage_median_n_informative_counterexamples,initial_coverage_q025_n_informative_counterexamples,initial_coverage_q975_n_informative_counterexamples,initial_coverage_probability_by_25,initial_coverage_probability_by_50,initial_coverage_probability_by_100,initial_coverage_probability_by_200,oracle_min_n_labels
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,adaptive_bottleneck_cover,0.005,25,13,200,200,1.0,402.0,321.95,464.0,268,481,84.0,68.0,96.0,0.0,0.0,0.0,0.0,200,200,1.0,24.0,21.0,26.0,19,26,13.0,13.0,13.0,0.72,1.0,1.0,1.0,200,200,1.0,24.0,20.0,26.0,18,26,13.0,13.0,13.0,0.745,1.0,1.0,1.0,13
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,adaptive_bottleneck_cover,0.01,18,11,200,200,1.0,355.5,247.975,427.0,204,460,74.0,52.0,88.0,0.0,0.0,0.0,0.0,200,200,1.0,21.0,15.975000000000001,24.0,14,24,11.0,11.0,11.0,1.0,1.0,1.0,1.0,200,200,1.0,21.0,15.0,24.0,12,24,11.0,11.0,11.0,1.0,1.0,1.0,1.0,11
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.014000000000000012,adaptive_bottleneck_cover,0.02,16,9,200,200,1.0,282.0,171.0,373.025,136,405,59.0,36.975,75.025,0.0,0.0,0.0,0.065,200,200,1.0,17.0,11.975000000000001,21.0,10,22,9.0,9.0,9.0,1.0,1.0,1.0,1.0,200,200,1.0,16.5,12.975000000000001,21.025000000000006,10,22,9.0,9.0,9.0,1.0,1.0,1.0,1.0,9
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.02400000000000002,adaptive_bottleneck_cover,0.005,15,12,200,200,1.0,329.5,226.82500000000002,412.125,154,451,76.5,54.95,96.0,0.0,0.0,0.0,0.01,200,200,1.0,17.0,14.975000000000001,20.0,12,20,12.0,12.0,12.0,1.0,1.0,1.0,1.0,200,200,1.0,17.0,14.0,20.0,13,20,12.0,12.0,12.0,1.0,1.0,1.0,1.0,12
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.02400000000000002,adaptive_bottleneck_cover,0.01,12,10,200,200,1.0,267.0,163.85,365.7750000000002,123,429,61.0,40.975,84.025,0.0,0.0,0.0,0.09,200,200,1.0,14.0,11.0,17.0,10,18,10.0,10.0,10.0,1.0,1.0,1.0,1.0,200,200,1.0,14.0,11.0,17.025000000000006,10,18,10.0,10.0,10.0,1.0,1.0,1.0,1.0,10
post-unlock exploratory,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.02400000000000002,adaptive_bottleneck_cover,0.02,10,8,200,200,1.0,208.0,114.85000000000001,306.025,90,387,49.5,28.975,69.025,0.0,0.0,0.01,0.445,200,200,1.0,12.0,8.0,14.025000000000006,8,15,8.0,8.0,8.0,1.0,1.0,1.0,1.0,200,200,1.0,11.0,8.0,14.0,8,16,8.0,8.0,8.0,1.0,1.0,1.0,1.0,8
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.03600000000000003,adaptive_bottleneck_cover,0.005,24,15,200,200,1.0,362.0,275.95,422.0,211,441,68.0,52.975,77.0,0.0,0.0,0.0,0.0,200,200,1.0,24.0,19.0,27.0,17,27,15.0,15.0,15.0,0.835,1.0,1.0,1.0,200,200,1.0,23.0,19.975,26.025000000000006,18,27,15.0,15.0,15.0,0.875,1.0,1.0,1.0,15
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.03600000000000003,adaptive_bottleneck_cover,0.01,22,14,200,200,1.0,335.5,245.9,399.17500000000007,191,419,63.0,47.0,71.025,0.0,0.0,0.0,0.005,200,200,1.0,22.0,18.0,25.0,16,26,14.0,14.0,14.0,0.985,1.0,1.0,1.0,200,200,1.0,22.0,17.975,25.0,17,26,14.0,14.0,14.0,0.98,1.0,1.0,1.0,14
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,pauli_xz_r1_full__as2,product_map,customary_30,500,30,-0.03600000000000003,adaptive_bottleneck_cover,0.02,19,11,200,200,1.0,271.0,161.975,360.1,140,402,51.0,32.975,65.025,0.0,0.0,0.0,0.11,200,200,1.0,17.0,13.0,22.0,11,23,11.0,11.0,11.0,1.0,1.0,1.0,1.0,200,200,1.0,17.0,14.0,21.0,11,23,11.0,11.0,11.0,1.0,1.0,1.0,1.0,11
post-unlock exploratory,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,pauli_xz_r1_full__as2,product_map,full_115,500,115,-0.03600000000000003,adaptive_bottleneck_cover,0.005,17,13,200,200,1.0,323.5,245.8,395.07500000000005,211,418,67.0,50.95,80.0,0.0,0.0,0.0,0.0,200,200,1.0,19.0,15.975000000000001,22.0,14,22,13.0,13.0,13.0,1.0,1.0,1.0,1.0,200,200,1.0,19.0,16.0,22.0,15,22,13.0,13.0,13.0,1.0,1.0,1.0,1.0,13
