case,group,model,quantum_stratum,tier,threshold,n_draws,n_reached,probability_reached,median_n_labels,q025_n_labels,q975_n_labels,min_n_labels,max_n_labels,median_n_informative_counterexamples,q025_n_informative_counterexamples,q975_n_informative_counterexamples,probability_by_25,probability_by_50,probability_by_100,probability_by_200
00_ember_m1,ember_m1,svc,product_map,customary_30,0.005,200,200,1.0,24.0,20.0,26.0,18,26,13.0,13.0,13.0,0.745,1.0,1.0,1.0
00_ember_m1,ember_m1,svc,product_map,customary_30,0.01,200,200,1.0,21.0,15.0,24.0,12,24,11.0,11.0,11.0,1.0,1.0,1.0,1.0
00_ember_m1,ember_m1,svc,product_map,customary_30,0.02,200,200,1.0,16.5,12.975000000000001,21.025000000000006,10,22,9.0,9.0,9.0,1.0,1.0,1.0,1.0
00_ember_m1,ember_m1,svc,product_map,full_115,0.005,200,200,1.0,17.0,14.0,20.0,13,20,12.0,12.0,12.0,1.0,1.0,1.0,1.0
00_ember_m1,ember_m1,svc,product_map,full_115,0.01,200,200,1.0,14.0,11.0,17.025000000000006,10,18,10.0,10.0,10.0,1.0,1.0,1.0,1.0
00_ember_m1,ember_m1,svc,product_map,full_115,0.02,200,200,1.0,11.0,8.0,14.0,8,16,8.0,8.0,8.0,1.0,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,customary_30,0.005,200,200,1.0,23.0,19.975,26.025000000000006,18,27,15.0,15.0,15.0,0.875,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,customary_30,0.01,200,200,1.0,22.0,17.975,25.0,17,26,14.0,14.0,14.0,0.98,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,customary_30,0.02,200,200,1.0,17.0,14.0,21.0,11,23,11.0,11.0,11.0,1.0,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,full_115,0.005,200,200,1.0,19.0,16.0,22.0,15,22,13.0,13.0,13.0,1.0,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,full_115,0.01,200,200,1.0,16.0,13.0,20.0,12,20,11.0,11.0,11.0,1.0,1.0,1.0,1.0
01_ember_m2,ember_m2,svc,product_map,full_115,0.02,200,200,1.0,13.0,10.0,17.0,9,18,9.0,9.0,9.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,customary_30,0.005,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,customary_30,0.01,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,customary_30,0.02,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,full_115,0.005,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,full_115,0.01,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
02_toniot_scanning_m2_centroid,toniot_scanning_m2_centroid,svc,entangling_zz,full_115,0.02,200,200,1.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
