status,case,run,group,model,quantum_kernel,quantum_stratum,tier,n_target,n_classical,realized_accuracy_advantage,policy,threshold,n_labels,n_informative_counterexamples
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,customary_30,500,30,-0.010000000000000009,adaptive_bottleneck_cover,0.005,3,2
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,customary_30,500,30,-0.010000000000000009,adaptive_bottleneck_cover,0.01,0,0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,customary_30,500,30,-0.010000000000000009,adaptive_bottleneck_cover,0.02,0,0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.005,3,2
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.01,0,0
post-unlock exploratory,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,zmap_r2__as0.5,product_map,full_115,500,115,-0.016000000000000014,adaptive_bottleneck_cover,0.02,0,0
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.026000000000000023,adaptive_bottleneck_cover,0.005,12,10
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.026000000000000023,adaptive_bottleneck_cover,0.01,11,9
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.026000000000000023,adaptive_bottleneck_cover,0.02,6,6
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.026000000000000023,adaptive_bottleneck_cover,0.005,13,8
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.026000000000000023,adaptive_bottleneck_cover,0.01,11,6
post-unlock exploratory,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.026000000000000023,adaptive_bottleneck_cover,0.02,5,4
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.020000000000000018,adaptive_bottleneck_cover,0.005,21,13
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.020000000000000018,adaptive_bottleneck_cover,0.01,18,11
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,customary_30,500,30,-0.020000000000000018,adaptive_bottleneck_cover,0.02,15,9
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,adaptive_bottleneck_cover,0.005,17,11
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,adaptive_bottleneck_cover,0.01,14,9
post-unlock exploratory,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,zz_r2_full__as0.5,entangling_zz,full_115,500,115,-0.03199999999999992,adaptive_bottleneck_cover,0.02,11,7
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.016000000000000014,adaptive_bottleneck_cover,0.005,17,9
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.016000000000000014,adaptive_bottleneck_cover,0.01,16,8
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,customary_30,500,30,-0.016000000000000014,adaptive_bottleneck_cover,0.02,6,5
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.025999999999999912,adaptive_bottleneck_cover,0.005,34,14
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.025999999999999912,adaptive_bottleneck_cover,0.01,28,9
post-unlock exploratory,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,zz_r1_full__as0.5,entangling_zz,full_115,500,115,-0.025999999999999912,adaptive_bottleneck_cover,0.02,11,4
