model,view,reference,n_settings,wins,mean_delta,median_delta,wilcoxon_p,effect_gt1,effect_gt1_quantum,wilcoxon_p_holm
gpc,ood,classical_orig,18,17,0.0321990334591117,0.03636905743851493,1.52587890625e-05,11,11,3.0517578125e-05
gpc,ood,classical_ext,18,12,0.006167508806416372,0.005029997632721717,0.03423309326171875,4,4,0.03423309326171875
gpc,id,classical_orig,18,18,0.06902062983753258,0.07221001547271572,7.62939453125e-06,18,18,3.0517578125e-05
gpc,id,classical_ext,18,18,0.023364880121534252,0.022764474108046773,7.62939453125e-06,12,12,3.0517578125e-05
svc,ood,classical_orig,18,18,0.040894107835999935,0.046311836007916385,7.62939453125e-06,12,12,3.0517578125e-05
svc,ood,classical_ext,18,16,0.007762006555964078,0.007163886746498316,0.00104522705078125,4,4,0.00104522705078125
svc,id,classical_orig,18,18,0.08160629726565731,0.08224294358592837,7.62939453125e-06,18,18,3.0517578125e-05
svc,id,classical_ext,18,18,0.019100863158594827,0.019350301084425148,7.62939453125e-06,11,11,3.0517578125e-05
