group,classical_ext_gpc,classical_ext_svc,quantum_gpc,quantum_svc,budget_class
ember_m1,115.0,115.0,60.0,60.0,full_115v60
ember_m2,115.0,115.0,60.0,60.0,full_115v60
toniot_scanning_m2_centroid,35.0,35.0,20.0,20.0,reduced_35v20
toniot_scanning_natural_cur,115.0,115.0,60.0,60.0,full_115v60
unsw_dos_m2_centroid,35.0,35.0,20.0,20.0,reduced_35v20
unsw_dos_natural_cur,115.0,115.0,60.0,60.0,full_115v60
unsw_recon_m2_centroid,35.0,35.0,20.0,20.0,reduced_35v20
unsw_recon_natural_cur,115.0,115.0,60.0,60.0,full_115v60
