case,axis,a,b,part,n_a,n_b,n_shared,frac_of_smaller
ember_m1,qsplit_seed,123,2024,train,1000,1000,1,0.001
ember_m1,qsplit_seed,123,2024,id_test,500,500,4,0.008
ember_m1,qsplit_seed,123,2024,ood_test,500,500,6,0.012
ember_m1,qsplit_seed,123,42,train,1000,1000,2,0.002
ember_m1,qsplit_seed,123,42,id_test,500,500,1,0.002
ember_m1,qsplit_seed,123,42,ood_test,500,500,2,0.004
ember_m1,qsplit_seed,123,7,train,1000,1000,1,0.001
ember_m1,qsplit_seed,123,7,id_test,500,500,0,0.0
ember_m1,qsplit_seed,123,7,ood_test,500,500,4,0.008
ember_m1,qsplit_seed,123,999,train,1000,1000,2,0.002
ember_m1,qsplit_seed,123,999,id_test,500,500,2,0.004
ember_m1,qsplit_seed,123,999,ood_test,500,500,2,0.004
ember_m1,qsplit_seed,2024,42,train,1000,1000,4,0.004
ember_m1,qsplit_seed,2024,42,id_test,500,500,4,0.008
ember_m1,qsplit_seed,2024,42,ood_test,500,500,2,0.004
ember_m1,qsplit_seed,2024,7,train,1000,1000,1,0.001
ember_m1,qsplit_seed,2024,7,id_test,500,500,1,0.002
ember_m1,qsplit_seed,2024,7,ood_test,500,500,4,0.008
ember_m1,qsplit_seed,2024,999,train,1000,1000,1,0.001
ember_m1,qsplit_seed,2024,999,id_test,500,500,2,0.004
ember_m1,qsplit_seed,2024,999,ood_test,500,500,5,0.01
ember_m1,qsplit_seed,42,7,train,1000,1000,3,0.003
ember_m1,qsplit_seed,42,7,id_test,500,500,1,0.002
ember_m1,qsplit_seed,42,7,ood_test,500,500,0,0.0
ember_m1,qsplit_seed,42,999,train,1000,1000,0,0.0
ember_m1,qsplit_seed,42,999,id_test,500,500,4,0.008
ember_m1,qsplit_seed,42,999,ood_test,500,500,3,0.006
ember_m1,qsplit_seed,7,999,train,1000,1000,2,0.002
ember_m1,qsplit_seed,7,999,id_test,500,500,2,0.004
ember_m1,qsplit_seed,7,999,ood_test,500,500,4,0.008
ember_m2,qsplit_seed,123,2024,train,1000,1000,1,0.001
ember_m2,qsplit_seed,123,2024,id_test,500,500,4,0.008
ember_m2,qsplit_seed,123,2024,ood_test,500,500,6,0.012
ember_m2,qsplit_seed,123,42,train,1000,1000,2,0.002
ember_m2,qsplit_seed,123,42,id_test,500,500,1,0.002
ember_m2,qsplit_seed,123,42,ood_test,500,500,2,0.004
ember_m2,qsplit_seed,123,7,train,1000,1000,1,0.001
ember_m2,qsplit_seed,123,7,id_test,500,500,0,0.0
ember_m2,qsplit_seed,123,7,ood_test,500,500,4,0.008
ember_m2,qsplit_seed,123,999,train,1000,1000,2,0.002
ember_m2,qsplit_seed,123,999,id_test,500,500,2,0.004
ember_m2,qsplit_seed,123,999,ood_test,500,500,2,0.004
ember_m2,qsplit_seed,2024,42,train,1000,1000,4,0.004
ember_m2,qsplit_seed,2024,42,id_test,500,500,4,0.008
ember_m2,qsplit_seed,2024,42,ood_test,500,500,2,0.004
ember_m2,qsplit_seed,2024,7,train,1000,1000,1,0.001
ember_m2,qsplit_seed,2024,7,id_test,500,500,1,0.002
ember_m2,qsplit_seed,2024,7,ood_test,500,500,4,0.008
ember_m2,qsplit_seed,2024,999,train,1000,1000,1,0.001
ember_m2,qsplit_seed,2024,999,id_test,500,500,2,0.004
ember_m2,qsplit_seed,2024,999,ood_test,500,500,5,0.01
ember_m2,qsplit_seed,42,7,train,1000,1000,3,0.003
ember_m2,qsplit_seed,42,7,id_test,500,500,1,0.002
ember_m2,qsplit_seed,42,7,ood_test,500,500,0,0.0
ember_m2,qsplit_seed,42,999,train,1000,1000,0,0.0
ember_m2,qsplit_seed,42,999,id_test,500,500,4,0.008
ember_m2,qsplit_seed,42,999,ood_test,500,500,3,0.006
ember_m2,qsplit_seed,7,999,train,1000,1000,2,0.002
ember_m2,qsplit_seed,7,999,id_test,500,500,2,0.004
ember_m2,qsplit_seed,7,999,ood_test,500,500,4,0.008
unsw_dos_natural,qsplit_seed,123,2024,train,1000,1000,14,0.014
unsw_dos_natural,qsplit_seed,123,2024,id_test,500,500,5,0.01
unsw_dos_natural,qsplit_seed,123,2024,ood_test,500,500,30,0.06
unsw_dos_natural,qsplit_seed,123,42,train,1000,1000,14,0.014
unsw_dos_natural,qsplit_seed,123,42,id_test,500,500,8,0.016
unsw_dos_natural,qsplit_seed,123,42,ood_test,500,500,33,0.066
unsw_dos_natural,qsplit_seed,123,7,train,1000,1000,18,0.018
unsw_dos_natural,qsplit_seed,123,7,id_test,500,500,3,0.006
unsw_dos_natural,qsplit_seed,123,7,ood_test,500,500,28,0.056
unsw_dos_natural,qsplit_seed,123,999,train,1000,1000,16,0.016
unsw_dos_natural,qsplit_seed,123,999,id_test,500,500,3,0.006
unsw_dos_natural,qsplit_seed,123,999,ood_test,500,500,34,0.068
unsw_dos_natural,qsplit_seed,2024,42,train,1000,1000,16,0.016
unsw_dos_natural,qsplit_seed,2024,42,id_test,500,500,4,0.008
unsw_dos_natural,qsplit_seed,2024,42,ood_test,500,500,39,0.078
unsw_dos_natural,qsplit_seed,2024,7,train,1000,1000,18,0.018
unsw_dos_natural,qsplit_seed,2024,7,id_test,500,500,4,0.008
unsw_dos_natural,qsplit_seed,2024,7,ood_test,500,500,35,0.07
unsw_dos_natural,qsplit_seed,2024,999,train,1000,1000,13,0.013
unsw_dos_natural,qsplit_seed,2024,999,id_test,500,500,3,0.006
unsw_dos_natural,qsplit_seed,2024,999,ood_test,500,500,30,0.06
unsw_dos_natural,qsplit_seed,42,7,train,1000,1000,14,0.014
unsw_dos_natural,qsplit_seed,42,7,id_test,500,500,2,0.004
unsw_dos_natural,qsplit_seed,42,7,ood_test,500,500,30,0.06
unsw_dos_natural,qsplit_seed,42,999,train,1000,1000,24,0.024
unsw_dos_natural,qsplit_seed,42,999,id_test,500,500,5,0.01
unsw_dos_natural,qsplit_seed,42,999,ood_test,500,500,28,0.056
unsw_dos_natural,qsplit_seed,7,999,train,1000,1000,21,0.021
unsw_dos_natural,qsplit_seed,7,999,id_test,500,500,3,0.006
unsw_dos_natural,qsplit_seed,7,999,ood_test,500,500,25,0.05
