root,n_runs,n_groups,groups,n_ms,n_sizes,n_qs,n_model_seeds,balanced
ember,270,2,ember_m1;ember_m2,3,3,5,3,True
ember_bw,270,2,ember_m1;ember_m2,3,3,5,3,True
netflow,810,6,toniot_scanning_m2_centroid;toniot_scanning_natural_cur;unsw_dos_m2_centroid;unsw_dos_natural_cur;unsw_recon_m2_centroid;unsw_recon_natural_cur,3,3,5,3,True
netflow_bw,405,3,toniot_scanning_natural_cur;unsw_dos_natural_cur;unsw_recon_natural_cur,3,3,5,3,True
