family,kernel,dim,spec_train_eff_rank,kta_train,kta_id,kta_ood,kta_survival
classical_ext,linear,4,1.1867410698920218,0.11070360966518886,0.11104869177664627,0.1015032402770993,-0.00954545149954697
classical_ext,rbf_gscale,4,2.189267956834408,0.10211603780552364,0.0985838334605585,0.09341591288947124,-0.005167920571087267
classical_ext,poly2,4,1.286518441453506,0.10951654173247867,0.10869711355157381,0.09903448301905278,-0.009662630532521033
classical_ext,poly3,4,1.408295190492288,0.11022839416180279,0.10870594126303602,0.10102733322634898,-0.007678608036687046
classical_ext,laplacian_med,4,13.213946594889725,0.1064087904370454,0.09411751166032696,0.1363152967140285,0.042197785053701545
classical_ext,matern15_med,4,5.769247016701376,0.10913868815901137,0.09841682398235567,0.11958851748690193,0.021171693504546257
classical_ext,matern25_med,4,4.831166215265573,0.1092902257128774,0.09948852732625033,0.11450997344217101,0.015021446115920684
classical_ext,rbf_gscale_x0.1,4,1.155566123948195,0.09539051678770492,0.09611749650553347,0.08026757173260021,-0.01584992477293326
classical_ext,rbf_gscale_x0.3,4,1.404160662825747,0.09734511447956118,0.09669327188522439,0.08459533173761866,-0.012097940147605735
classical_ext,rbf_gscale_x3,4,4.335235021094342,0.10922739680340254,0.10016757063825646,0.10930154991633537,0.009133979278078908
classical_ext,rbf_gscale_x10,4,10.69173188543915,0.10211497567499123,0.08745577416741218,0.12729429247932655,0.03983851831191437
classical_ext,laplacian_med_x0.1,4,151.73680630182872,0.0819100538166797,0.07011034142490896,0.16424101435880686,0.0941306729338979
classical_ext,laplacian_med_x0.3,4,51.86556610947068,0.09156866614258347,0.07771221313551921,0.15009423299927965,0.07238201986376044
classical_ext,laplacian_med_x3,4,3.9483313113957217,0.1076227804602355,0.09834477585757048,0.12183456090755689,0.023489785049986403
classical_ext,laplacian_med_x10,4,1.7668282353331264,0.10675654692483515,0.09913326811443435,0.1137831897145529,0.014649921600118548
classical_ext,matern15_med_x0.1,4,65.39978498165028,0.07936986912378644,0.06729928305714768,0.16200424343595285,0.09470496037880517
classical_ext,matern15_med_x0.3,4,24.40417266275763,0.08743241340673827,0.07300394099789491,0.1384239346542705,0.06541999365637559
classical_ext,matern15_med_x3,4,1.7606942746281102,0.10352877594471376,0.09968959622507596,0.09688286473190988,-0.002806731493166084
classical_ext,matern15_med_x10,4,1.105956680106416,0.09769695029124678,0.09743019761143931,0.08435799525816477,-0.01307220235327454
classical_ext,matern25_med_x0.1,4,56.38945957937003,0.0785959086483568,0.06659471673869616,0.16111340055071563,0.09451868381201947
classical_ext,matern25_med_x0.3,4,21.86084790828861,0.0863259704111269,0.07185278062467709,0.135186679016139,0.06333389839146192
classical_ext,matern25_med_x3,4,1.5473509911154777,0.10037141902807077,0.09822728340896127,0.09006836559890473,-0.008158917810056537
classical_ext,matern25_med_x10,4,1.0692978217668387,0.09518930837309303,0.09610459484942278,0.0796014299222677,-0.01650316492715509
quantum,zz_r1_full__as0.5,4,12.532253573762041,0.0853889836557434,0.07688587384882739,0.13433182778309438,0.05744595393426699
quantum,zz_r2_full__as0.5,4,16.351598001162554,0.0773995594896482,0.06481680461037036,0.13318979688606725,0.06837299227569689
quantum,pauli_xz_r1_full__as0.5,4,2.2254136382318426,0.1010257083977579,0.09798494735749479,0.09306079638946003,-0.004924150968034752
quantum,zmap_r2__as0.5,4,2.8117782817375785,0.08727556005443243,0.08525921705919216,0.09179365659759227,0.006534439538400105
quantum,zz_r1_full,4,16.631826228499236,0.08347743787014528,0.07386071629664401,0.1345226167706801,0.06066190047403608
quantum,zz_r2_full,4,20.123884146614216,0.0782370118523174,0.0693160662192643,0.12134091120839517,0.052024844989130875
quantum,pauli_xz_r1_full,4,5.440419419036374,0.10966072035166846,0.09774017785083566,0.11479962827062273,0.01705945041978707
quantum,zmap_r2,4,6.460725901381835,0.11749591004618493,0.10127447115330032,0.11516782791927471,0.01389335676597439
quantum,zz_r1_full__as2,4,36.50988795283847,0.07364466253990308,0.06229031188484679,0.13599371782565142,0.07370340594080463
quantum,zz_r2_full__as2,4,47.03786655730903,0.07982999127018896,0.06330636929894486,0.16225638008841628,0.09895001078947142
quantum,pauli_xz_r1_full__as2,4,12.790148651101767,0.08084950874411136,0.06590074906028026,0.12353864174506762,0.05763789268478736
quantum,zmap_r2__as2,4,10.420224680405626,0.05342781830335259,0.044946794433364856,0.10364235434248532,0.05869555990912047
classical_ext,linear,6,1.247589371021589,0.087024216904527,0.08651164619765342,0.09912030356929993,0.012608657371646514
classical_ext,rbf_gscale,6,3.391428629835115,0.0877038605071039,0.08266650873525042,0.10082407648980658,0.018157567754556167
classical_ext,poly2,6,1.3837129552496195,0.08740166311244173,0.08609498041312895,0.0991805077266584,0.013085527313529452
classical_ext,poly3,6,1.5600351576279632,0.08778600930386699,0.08581347531118057,0.1007227681123432,0.014909292801162627
classical_ext,laplacian_med,6,14.164408943836655,0.08790079428384509,0.0758134985092307,0.13438383166738804,0.05857033315815734
classical_ext,matern15_med,6,7.09968525770231,0.09093942709444361,0.08078376818157136,0.12120985076290831,0.04042608258133695
classical_ext,matern25_med,6,6.07650358508257,0.09094290021925294,0.08177199272031771,0.1160666044429649,0.034294611722647195
classical_ext,rbf_gscale_x0.1,6,1.2554831574303555,0.08297298457059084,0.08261353065742676,0.08849273302857018,0.005879202371143422
classical_ext,rbf_gscale_x0.3,6,1.7086773018474781,0.08424485868693764,0.08247728407407022,0.09201109471220874,0.009533810638138518
classical_ext,rbf_gscale_x3,6,8.427068152488285,0.09131577006845248,0.08039327860479052,0.11891653735446533,0.03852325874967481
classical_ext,rbf_gscale_x10,6,17.090672697005072,0.07877278610131569,0.06468585488654045,0.13281135964790336,0.0681255047613629
classical_ext,laplacian_med_x0.1,6,114.92084945318712,0.07789786004269753,0.06631256207731133,0.1596921216611048,0.09337955958379347
