variant_name,master_seed,size_tag,dim,cfg_classical,n_runs_classical,id_bal_acc_mean_classical,id_bal_acc_std_classical,ood_bal_acc_mean_classical,ood_bal_acc_std_classical,cfg_quantum,n_runs_quantum,id_bal_acc_mean_quantum,id_bal_acc_std_quantum,ood_bal_acc_mean_quantum,ood_bal_acc_std_quantum,delta_ood_bal_acc_mean,effect_ood_bal_acc_mean,winner_ood_bal_acc_mean,delta_id_bal_acc_mean,winner_id_bal_acc_mean
m1_hist_byteent,123,size_q2000_id1000_ood1000,8,rbf_gscale,15,0.6959,0.0073,0.7131,0.0164,zz_r1_full__d8,15,0.7786,0.0151,0.7495,0.028,0.0365,1.1236,quantum,0.0827,quantum
m1_hist_byteent,123,size_q2000_id1000_ood1000,10,rbf_gscale,15,0.7051,0.0113,0.7288,0.009,zz_r1_full__d10,15,0.7922,0.0148,0.7563,0.0294,0.0274,0.8915,quantum,0.0871,quantum
m1_hist_byteent,123,size_q2000_id1000_ood1000,12,rbf_gscale,15,0.7157,0.0112,0.7464,0.02,zz_r1_full__d12,15,0.7978,0.016,0.755,0.0316,0.0086,0.2306,quantum,0.0821,quantum
m1_hist_byteent,123,size_q4000_id1800_ood1800,4,rbf_gscale,15,0.6722,0.0089,0.6847,0.0084,zz_r2_full__d4,15,0.7532,0.0174,0.7262,0.03,0.0415,1.332,quantum,0.081,quantum
m1_hist_byteent,123,size_q4000_id1800_ood1800,6,rbf_gscale,15,0.6834,0.013,0.7003,0.0225,zz_r2_full__d6,15,0.775,0.0038,0.7464,0.0129,0.0461,1.7769,quantum,0.0916,quantum
m1_hist_byteent,123,size_q4000_id1800_ood1800,8,rbf_gscale,15,0.6859,0.0104,0.7056,0.0219,zz_r2_full__d8,15,0.7881,0.005,0.7508,0.0103,0.0452,1.8698,quantum,0.1023,quantum
m1_hist_byteent,123,size_q4000_id1800_ood1800,10,rbf_gscale,15,0.7041,0.0191,0.7284,0.0389,zz_r1_full__d10,15,0.7896,0.0051,0.7534,0.0138,0.025,0.6065,quantum,0.0855,quantum
m1_hist_byteent,123,size_q4000_id1800_ood1800,12,rbf_gscale,15,0.7119,0.0109,0.7411,0.0322,zz_r1_full__d12,15,0.7967,0.0052,0.752,0.01,0.0109,0.3244,quantum,0.0848,quantum
m1_hist_byteent,999,size_q1000_id500_ood500,4,linear,15,0.6849,0.0235,0.6912,0.0179,zz_r1_full__d4,15,0.708,0.0236,0.7202,0.0259,0.029,0.9206,quantum,0.0232,quantum
m1_hist_byteent,999,size_q1000_id500_ood500,6,linear,15,0.669,0.0304,0.7052,0.0173,zz_r1_full__d6,15,0.7432,0.0213,0.7397,0.0239,0.0345,1.1715,quantum,0.0742,quantum
