variant_name,master_seed,size_tag,cfg_classical,dim_classical,n_runs_classical,id_bal_acc_mean_classical,id_bal_acc_std_classical,ood_bal_acc_mean_classical,ood_bal_acc_std_classical,cfg_quantum,dim_quantum,n_runs_quantum,id_bal_acc_mean_quantum,id_bal_acc_std_quantum,ood_bal_acc_mean_quantum,ood_bal_acc_std_quantum,delta_id_bal_acc_mean,effect_id_bal_acc_mean,winner_id_bal_acc_mean,delta_ood_bal_acc_mean,winner_ood_bal_acc_mean
m1_hist_byteent,42,size_q1000_id500_ood500,rbf_gscale,12,15,0.7112,0.0244,0.7181,0.031,zz_r1_full__d12,12,15,0.7781,0.0225,0.7495,0.0123,0.0669,2.0162,quantum,0.0313,quantum
m1_hist_byteent,42,size_q2000_id1000_ood1000,rbf_gscale,10,15,0.7024,0.0053,0.7014,0.0562,zz_r1_full__d10,10,15,0.7928,0.0065,0.7606,0.0098,0.0903,10.7149,quantum,0.0591,quantum
m1_hist_byteent,42,size_q4000_id1800_ood1800,rbf_gscale,12,15,0.719,0.0048,0.7485,0.0204,zz_r2_full__d12,12,15,0.8048,0.0076,0.7498,0.0068,0.0857,9.558,quantum,0.0012,quantum
m1_hist_byteent,123,size_q1000_id500_ood500,rbf_gscale,12,15,0.7331,0.0203,0.7292,0.0236,zz_r1_full__d12,12,15,0.79,0.0133,0.7459,0.0488,0.0569,2.3456,quantum,0.0167,quantum
m1_hist_byteent,123,size_q2000_id1000_ood1000,rbf_gscale,12,15,0.7157,0.0112,0.7464,0.02,zz_r1_full__d12,12,15,0.7978,0.016,0.755,0.0316,0.0821,4.2083,quantum,0.0086,quantum
m1_hist_byteent,123,size_q4000_id1800_ood1800,rbf_gscale,12,15,0.7119,0.0109,0.7411,0.0322,zz_r2_full__d12,12,15,0.8015,0.0057,0.746,0.0113,0.0896,7.2585,quantum,0.0049,quantum
m1_hist_byteent,999,size_q1000_id500_ood500,rbf_gscale,12,15,0.7183,0.0298,0.737,0.0117,zz_r1_full__d12,12,15,0.7734,0.0232,0.7467,0.0137,0.0551,1.4582,quantum,0.0097,quantum
m1_hist_byteent,999,size_q2000_id1000_ood1000,rbf_gscale,10,15,0.7197,0.0106,0.7387,0.019,zz_r2_full__d12,12,15,0.7926,0.0121,0.7387,0.0224,0.0729,4.5335,quantum,0.0,quantum
m1_hist_byteent,999,size_q4000_id1800_ood1800,rbf_gscale,12,15,0.7224,0.0174,0.7632,0.0235,zz_r2_full__d12,12,15,0.8023,0.0064,0.7477,0.0032,0.0798,4.3056,quantum,-0.0154,classical
m2_hist_byteent,42,size_q1000_id500_ood500,rbf_gscale,12,15,0.7064,0.0145,0.7128,0.0551,zz_r1_full__d12,12,15,0.7724,0.0143,0.6022,0.047,0.0659,3.2448,quantum,-0.1106,classical
m2_hist_byteent,42,size_q2000_id1000_ood1000,rbf_gscale,12,15,0.7591,0.0137,0.7439,0.0186,zz_r1_full__d12,12,15,0.7966,0.0139,0.7075,0.0207,0.0375,1.9226,quantum,-0.0365,classical
m2_hist_byteent,42,size_q4000_id1800_ood1800,rbf_gscale,12,15,0.767,0.0124,0.7214,0.0238,zz_r1_full__d12,12,15,0.8204,0.007,0.7033,0.0163,0.0534,3.7465,quantum,-0.0181,classical
m2_hist_byteent,123,size_q1000_id500_ood500,rbf_gscale,12,15,0.7086,0.0224,0.7289,0.0174,zz_r1_full__d12,12,15,0.7842,0.01,0.7857,0.0178,0.0756,3.0781,quantum,0.0568,quantum
m2_hist_byteent,123,size_q2000_id1000_ood1000,rbf_gscale,10,15,0.7138,0.0199,0.7396,0.0033,zz_r2_full__d12,12,15,0.7925,0.0129,0.7824,0.016,0.0787,3.3159,quantum,0.0428,quantum
m2_hist_byteent,123,size_q4000_id1800_ood1800,rbf_gscale,12,15,0.7123,0.0066,0.7466,0.022,zz_r2_full__d12,12,15,0.7929,0.0056,0.7968,0.0089,0.0806,9.2819,quantum,0.0502,quantum
m2_hist_byteent,999,size_q1000_id500_ood500,rbf_gscale,12,15,0.7056,0.0236,0.7068,0.0225,zz_r2_full__d12,12,15,0.7977,0.0156,0.7678,0.0108,0.092,3.2516,quantum,0.061,quantum
m2_hist_byteent,999,size_q2000_id1000_ood1000,rbf_gscale,12,15,0.7022,0.0188,0.7253,0.0296,zz_r2_full__d12,12,15,0.7868,0.0092,0.7792,0.0163,0.0845,4.0393,quantum,0.054,quantum
m2_hist_byteent,999,size_q4000_id1800_ood1800,rbf_gscale,12,15,0.7146,0.0195,0.7238,0.0373,zz_r2_full__d12,12,15,0.7934,0.0063,0.7989,0.0142,0.0788,3.8528,quantum,0.0751,quantum
