variant_name,master_seed,size_tag,family,dim,cfg,n_runs,id_bal_acc_mean,id_bal_acc_std,ood_bal_acc_mean,ood_bal_acc_std
m2_hist_byteent,999,size_q4000_id1800_ood1800,quantum,12,zz_r1_full__d12,15,0.7877,0.0126,0.7998,0.0088
m2_hist_byteent,999,size_q4000_id1800_ood1800,quantum,12,zz_r2_full__d12,15,0.7934,0.0063,0.7989,0.0142
m2_hist_byteent,123,size_q4000_id1800_ood1800,quantum,12,zz_r2_full__d12,15,0.7929,0.0056,0.7968,0.0089
m2_hist_byteent,999,size_q4000_id1800_ood1800,quantum,10,zz_r1_full__d10,15,0.7793,0.0112,0.7935,0.0111
m2_hist_byteent,999,size_q4000_id1800_ood1800,quantum,10,zz_r2_full__d10,15,0.7887,0.0074,0.7934,0.015
m2_hist_byteent,123,size_q4000_id1800_ood1800,quantum,12,zz_r1_full__d12,15,0.7849,0.0073,0.7926,0.0096
m2_hist_byteent,123,size_q4000_id1800_ood1800,quantum,10,zz_r2_full__d10,15,0.7877,0.0065,0.7924,0.0099
m2_hist_byteent,123,size_q4000_id1800_ood1800,quantum,10,zz_r1_full__d10,15,0.7822,0.0062,0.7895,0.0088
m2_hist_byteent,999,size_q4000_id1800_ood1800,quantum,8,zz_r2_full__d8,15,0.7827,0.0101,0.7878,0.018
m2_hist_byteent,999,size_q4000_id1800_ood1800,quantum,8,zz_r1_full__d8,15,0.7722,0.0067,0.7874,0.0146
m2_hist_byteent,42,size_q4000_id1800_ood1800,classical,12,linear,15,0.716,0.0205,0.7838,0.0123
m2_hist_byteent,42,size_q4000_id1800_ood1800,classical,10,linear,15,0.7138,0.0166,0.778,0.0145
m2_hist_byteent,42,size_q2000_id1000_ood1000,classical,12,linear,15,0.6919,0.025,0.769,0.0191
m1_hist_byteent,999,size_q4000_id1800_ood1800,classical,12,rbf_gscale,15,0.7224,0.0174,0.7632,0.0235
m1_hist_byteent,999,size_q4000_id1800_ood1800,classical,10,rbf_gscale,15,0.7191,0.0139,0.7532,0.0188
m1_hist_byteent,999,size_q2000_id1000_ood1000,classical,12,rbf_gscale,15,0.7197,0.0176,0.7505,0.0091
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,10,rbf_gscale,15,0.7153,0.0071,0.7487,0.0197
m1_hist_byteent,42,size_q4000_id1800_ood1800,classical,12,rbf_gscale,15,0.719,0.0048,0.7485,0.0204
m2_hist_byteent,123,size_q4000_id1800_ood1800,classical,12,rbf_gscale,15,0.7123,0.0066,0.7466,0.022
m1_hist_byteent,123,size_q2000_id1000_ood1000,classical,12,rbf_gscale,15,0.7157,0.0112,0.7464,0.02
