group,run,qs,seed,model,p1_ood_quantum,p1_ood_classical,setting,delta
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,123,123,svc,0.648204192086596,0.7359770059726826,m1_hist_byteent__ms123__q1000_id500_ood500,-0.0877728138860866
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,123,123,gpc,0.7383708827720934,0.6895886374917937,m1_hist_byteent__ms123__q1000_id500_ood500,0.04878224528029973
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,123,42,svc,0.648204192086596,0.7359770059726826,m1_hist_byteent__ms123__q1000_id500_ood500,-0.0877728138860866
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,123,42,gpc,0.7363132696033691,0.6895886374917937,m1_hist_byteent__ms123__q1000_id500_ood500,0.046724632111575404
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,123,999,svc,0.648204192086596,0.7359770059726826,m1_hist_byteent__ms123__q1000_id500_ood500,-0.0877728138860866
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,123,999,gpc,0.7343677443115403,0.6895886374917937,m1_hist_byteent__ms123__q1000_id500_ood500,0.04477910681974662
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,2024,123,svc,0.7550035281288088,0.7521810250817884,m1_hist_byteent__ms123__q1000_id500_ood500,0.002822503047020364
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,2024,123,gpc,0.7630380396433383,0.7632785938803002,m1_hist_byteent__ms123__q1000_id500_ood500,-0.00024055423696189848
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,2024,42,svc,0.7550035281288088,0.7521810250817884,m1_hist_byteent__ms123__q1000_id500_ood500,0.002822503047020364
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,2024,42,gpc,0.7630380396433383,0.7632785938803002,m1_hist_byteent__ms123__q1000_id500_ood500,-0.00024055423696189848
