group,run,qs,seed,model,p1_ood_quantum,p1_ood_classical,setting,delta
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,999,999,svc,0.6338550780996824,0.7707887743858968,m1_hist_byteent__ms123__q1000_id500_ood500,-0.13693369628621432
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,999,999,gpc,0.75004860976084,0.7474722924363212,m1_hist_byteent__ms123__q1000_id500_ood500,0.0025763173245187954
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s123,123,123,svc,0.7232761941448382,0.7299049820236261,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.006628787878787845
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s123,123,123,gpc,0.7472393425783257,0.754847200821777,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.0076078582434513375
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s42,123,42,svc,0.7232761941448382,0.7299049820236261,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.006628787878787845
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s42,123,42,gpc,0.7472393425783257,0.754847200821777,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.0076078582434513375
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s999,123,999,svc,0.7232761941448382,0.7299049820236261,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.006628787878787845
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s999,123,999,gpc,0.7472393425783257,0.754847200821777,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.0076078582434513375
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s123,2024,123,svc,0.75622488030616,0.7768570559318506,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.02063217562569064
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s123,2024,123,gpc,0.7566171878752943,0.7915205521128565,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.03490336423756224
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s42,2024,42,svc,0.75622488030616,0.7768570559318506,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.02063217562569064
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s42,2024,42,gpc,0.7575899505212087,0.7915205521128565,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.033930601591647847
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s999,2024,999,svc,0.75622488030616,0.7768570559318506,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.02063217562569064
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s999,2024,999,gpc,0.7575899505212087,0.7915205521128565,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.033930601591647847
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s123,42,123,svc,0.7375862124145878,0.7294410395096894,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.008145172904898357
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s123,42,123,gpc,0.7489838536749291,0.7478476900673697,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.001136163607559415
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s42,42,42,svc,0.7375862124145878,0.7294410395096894,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.008145172904898357
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s42,42,42,gpc,0.7479957113824391,0.7478476900673697,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.00014802131506941318
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s999,42,999,svc,0.7375862124145878,0.7294410395096894,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.008145172904898357
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs42__s999,42,999,gpc,0.7489838536749291,0.7488598358163576,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.00012401785857152348
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s123,7,123,svc,0.7494310861738889,0.7528164746206238,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.0033853884467349715
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s123,7,123,gpc,0.7613230908777127,0.7728277926946248,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.0115047018169121
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s42,7,42,svc,0.7494310861738889,0.7528164746206238,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.0033853884467349715
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s42,7,42,gpc,0.7613230908777127,0.7728277926946248,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.0115047018169121
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s999,7,999,svc,0.7494310861738889,0.7528164746206238,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.0033853884467349715
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs7__s999,7,999,gpc,0.7613230908777127,0.7728277926946248,m1_hist_byteent__ms123__q2000_id1000_ood1000,-0.0115047018169121
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s123,999,123,svc,0.7177589852008457,0.7091982189762317,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.008560766224613992
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s123,999,123,gpc,0.7301556794157217,0.7032321096803127,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.026923569735408992
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s42,999,42,svc,0.7177589852008457,0.7091982189762317,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.008560766224613992
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s42,999,42,gpc,0.7301556794157217,0.7032321096803127,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.026923569735408992
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s999,999,999,svc,0.7177589852008457,0.7091982189762317,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.008560766224613992
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs999__s999,999,999,gpc,0.7301556794157217,0.7032321096803127,m1_hist_byteent__ms123__q2000_id1000_ood1000,0.026923569735408992
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs123__s123,123,123,svc,0.7346264412228369,0.7380822849370963,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.0034558437142593323
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs123__s123,123,123,gpc,0.7495255169855646,0.7622546443695712,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.012729127384006667
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs123__s42,123,42,svc,0.7346264412228369,0.7380822849370963,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.0034558437142593323
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs123__s42,123,42,gpc,0.7495255169855646,0.7622546443695712,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.012729127384006667
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs123__s999,123,999,svc,0.7346264412228369,0.7409724583475008,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.006346017124663872
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs123__s999,123,999,gpc,0.7495255169855646,0.7622979196933635,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.012772402707798891
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs2024__s123,2024,123,svc,0.7546409266409266,0.7576370656370657,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.0029961389961390417
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs2024__s123,2024,123,gpc,0.7641389961389962,0.7549652509652509,m1_hist_byteent__ms123__q4000_id1800_ood1800,0.009173745173745251
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs2024__s42,2024,42,svc,0.7546409266409266,0.7576370656370657,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.0029961389961390417
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs2024__s42,2024,42,gpc,0.7641389961389962,0.7549652509652509,m1_hist_byteent__ms123__q4000_id1800_ood1800,0.009173745173745251
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs2024__s999,2024,999,svc,0.7546409266409266,0.7576370656370657,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.0029961389961390417
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs2024__s999,2024,999,gpc,0.7641389961389962,0.7549652509652509,m1_hist_byteent__ms123__q4000_id1800_ood1800,0.009173745173745251
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs42__s123,42,123,svc,0.7448563227260101,0.7601901293249792,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.015333806598969102
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs42__s123,42,123,gpc,0.7344918053026328,0.7649124972992993,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.030420691996666527
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs42__s42,42,42,svc,0.7448563227260101,0.7601901293249792,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.015333806598969102
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs42__s42,42,42,gpc,0.7344918053026328,0.7649124972992993,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.030420691996666527
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs42__s999,42,999,svc,0.7328220006790334,0.7596376431371339,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.02681564245810053
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs42__s999,42,999,gpc,0.7344918053026328,0.7649124972992993,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.030420691996666527
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs7__s123,7,123,svc,0.7201387282951062,0.7519121824416823,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.031773454146576174
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs7__s123,7,123,gpc,0.743160353733656,0.7429915499158455,m1_hist_byteent__ms123__q4000_id1800_ood1800,0.00016880381781048115
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs7__s42,7,42,svc,0.7201387282951062,0.7519121824416823,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.031773454146576174
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs7__s42,7,42,gpc,0.743160353733656,0.7435709241916276,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.0004105704579716596
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs7__s999,7,999,svc,0.7201387282951062,0.7519121824416823,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.031773454146576174
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs7__s999,7,999,gpc,0.743160353733656,0.7435709241916276,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.0004105704579716596
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs999__s123,999,123,svc,0.6221855363579004,0.6471905062361167,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.02500496987821632
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs999__s123,999,123,gpc,0.7435697184394212,0.722917250601633,m1_hist_byteent__ms123__q4000_id1800_ood1800,0.02065246783778818
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs999__s42,999,42,svc,0.6221855363579004,0.6466416588156996,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.024456122457799156
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs999__s42,999,42,gpc,0.7435697184394212,0.722917250601633,m1_hist_byteent__ms123__q4000_id1800_ood1800,0.02065246783778818
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs999__s999,999,999,svc,0.6221855363579004,0.6471905062361167,m1_hist_byteent__ms123__q4000_id1800_ood1800,-0.02500496987821632
ember_m1,m1_hist_byteent__ms123__q4000_id1800_ood1800__qs999__s999,999,999,gpc,0.7435697184394212,0.722917250601633,m1_hist_byteent__ms123__q4000_id1800_ood1800,0.02065246783778818
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,123,123,svc,0.7425981969864374,0.7485068293542136,m1_hist_byteent__ms42__q1000_id500_ood500,-0.005908632367776279
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s123,123,123,gpc,0.7478343020928409,0.7263614673904342,m1_hist_byteent__ms42__q1000_id500_ood500,0.021472834702406685
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,123,42,svc,0.7425981969864374,0.7485068293542136,m1_hist_byteent__ms42__q1000_id500_ood500,-0.005908632367776279
ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs123__s42,123,42,gpc,0.7478343020928409,0.7263614673904342,m1_hist_byteent__ms42__q1000_id500_ood500,0.021472834702406685
