group,model,n_runs,p1_ood_delta_vs_classical_orig,p1_idtest_delta_vs_classical_orig,oracle_ood_delta_vs_classical_orig,p1_ood_delta_vs_classical_ext,p1_idtest_delta_vs_classical_ext,oracle_ood_delta_vs_classical_ext
ember_m1,gpc,135,-0.004950908396241619,0.0293842779072631,0.01121404276341803,-0.0002609609388653556,0.0015370494038574362,-0.0010510563495230488
ember_m1,svc,135,-0.009477763074001225,0.014283602712156788,-0.0035956551221286346,-0.0023759169873962603,-0.0029954787625861225,-0.013983614450755083
ember_m2,gpc,135,0.014909543561391791,0.04053405222621468,0.022506275960506188,4.0819765708012394e-05,-0.005874726736323576,0.0032115444486353517
ember_m2,svc,135,0.013875580426072544,0.015420174579314596,0.018255792760423658,-0.005271049654085164,-0.007195405486628454,-0.009677189665783988
toniot_scanning_m2_centroid,gpc,135,0.03133696772305387,0.012493370753190347,0.020769751854144168,0.007140621390143548,0.00247551528895611,0.0029004723655653053
toniot_scanning_m2_centroid,svc,135,-0.0016105368679613771,0.00326070336434877,0.004774277601699362,-0.001091075717983956,-0.0006256140767971476,0.000661750258512692
toniot_scanning_natural_cur,gpc,135,-0.004601472856115381,0.014930105752076503,0.005081154695844864,-0.009771712695938644,0.0019373392508446273,0.001247015983411913
toniot_scanning_natural_cur,svc,135,-0.017248686168234564,0.00213087206314144,0.0008010366129644034,-0.00896519276043579,-0.0009338952687963352,-0.0008374060366550891
unsw_dos_m2_centroid,gpc,135,-0.005598410745717453,0.0004975795161903804,0.00041528996133499945,-0.014236959811828674,-0.004557150203100355,-0.002187369786392022
unsw_dos_m2_centroid,svc,135,-0.008489562638226053,-0.005703030284471779,-0.0006719311811743102,-0.0021754030308200807,-0.0060068624460691234,-0.005051112178028711
unsw_dos_natural_cur,gpc,135,0.004057578755952725,-0.0026582193917603562,0.013750006824628026,-0.007884183154764924,-0.005706114602687089,2.0217505541938916e-06
unsw_dos_natural_cur,svc,135,-0.0042530226787762405,-0.0018704745914754452,0.0022452427910621604,-0.004052889923990163,-0.0034776953568080547,-0.005426211138425489
unsw_recon_m2_centroid,gpc,135,-0.008316818306503807,0.0027120568936610055,0.0013043916948415359,-0.01020407856979313,-0.002894535563300034,-0.002109584482552046
unsw_recon_m2_centroid,svc,135,-0.0075657530986521435,-0.0003556443035677724,-1.5961067310109477e-05,-0.009012140845524555,-0.0015983574950036697,-0.004281686865875933
unsw_recon_natural_cur,gpc,135,0.007352325403414772,-0.0009699046878739064,0.014846776628650178,0.0028991500849694235,-0.0035762435235872484,0.006475065232694613
unsw_recon_natural_cur,svc,135,0.00035161170073457637,-7.584738089627263e-07,-0.0006468044239238734,0.005302575335510782,-0.00035635926531668046,-0.002130991424785816
