group,run,qs,seed,model,classical_orig__p1_ood,classical_orig__p1_idtest,classical_orig__oracle_ood,classical_orig__oracle_idtest,classical_ext__p1_ood,classical_ext__p1_idtest,classical_ext__oracle_ood,classical_ext__oracle_idtest,quantum__p1_ood,quantum__p1_idtest,quantum__oracle_ood,quantum__oracle_idtest
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,123,123,svc,0.7359770059726826,0.7972288151901983,0.7684504651646891,0.8128808775418565,0.7019263102272181,0.8109885175444224,0.7804999119309539,0.8224388992238116,0.648204192086596,0.8128808775418565,0.7629101215352836,0.8224388992238116
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s123,123,123,gpc,0.6895886374917937,0.8075245365321702,0.7360170373572881,0.8075245365321702,0.7039919296728636,0.7914875874013727,0.7675537621495252,0.8079094233113093,0.7383708827720934,0.8155430110975688,0.742261933355751,0.8155430110975688
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,123,42,svc,0.7359770059726826,0.7972288151901983,0.7684504651646891,0.8128808775418565,0.7019263102272181,0.8109885175444224,0.7804999119309539,0.8224388992238116,0.648204192086596,0.8128808775418565,0.7629101215352836,0.8224388992238116
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s42,123,42,gpc,0.6895886374917937,0.8075245365321702,0.7360170373572881,0.8075245365321702,0.7039919296728636,0.7914875874013727,0.7675537621495252,0.8079094233113093,0.7363132696033691,0.8155430110975688,0.7442074586475798,0.8155430110975688
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,123,999,svc,0.7359770059726826,0.7972288151901983,0.7684504651646891,0.8128808775418565,0.7019263102272181,0.8109885175444224,0.7804999119309539,0.8224388992238116,0.648204192086596,0.8128808775418565,0.7629101215352836,0.8224388992238116
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs123__s999,123,999,gpc,0.6895886374917937,0.8075245365321702,0.7360170373572881,0.8075245365321702,0.7039919296728636,0.7914875874013727,0.7675537621495252,0.8079094233113093,0.7343677443115403,0.8155430110975688,0.742261933355751,0.8155430110975688
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,2024,123,svc,0.7521810250817884,0.7215388557883272,0.7997145423054718,0.7540841822025754,0.7697414843800116,0.7259273496059966,0.7997145423054718,0.7540841822025754,0.7550035281288088,0.7362419117175988,0.7800211687728527,0.7471010314562112
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s123,2024,123,gpc,0.7632785938803002,0.7261836120187071,0.7672878311629996,0.7303158434236658,0.7472256078003721,0.7057787174066243,0.7772147026749632,0.7347043372413351,0.7630380396433383,0.7388365686462939,0.7771665918275708,0.7551092318534178
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,2024,42,svc,0.7521810250817884,0.7215388557883272,0.7976137019693373,0.7540841822025754,0.7697414843800116,0.7259273496059966,0.7976137019693373,0.7540841822025754,0.7550035281288088,0.7362419117175988,0.7800211687728527,0.7471010314562112
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s42,2024,42,gpc,0.7632785938803002,0.7261836120187071,0.7672878311629996,0.7303158434236658,0.7472256078003721,0.7057787174066243,0.7772147026749632,0.7347043372413351,0.7630380396433383,0.7388365686462939,0.7771665918275708,0.7551092318534178
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,2024,999,svc,0.7521810250817884,0.7215388557883272,0.7976137019693373,0.7540841822025754,0.7697414843800116,0.7259273496059966,0.7976137019693373,0.7540841822025754,0.7550035281288088,0.7362419117175988,0.7800211687728527,0.7471010314562112
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs2024__s999,2024,999,gpc,0.7632785938803002,0.7261836120187071,0.7672878311629996,0.7303158434236658,0.7472256078003721,0.7057787174066243,0.7772147026749632,0.7347043372413351,0.7609371993072038,0.7388365686462939,0.7771665918275708,0.7551092318534178
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,42,123,svc,0.7700115266393442,0.7789146192828276,0.7797771516393442,0.7911347745204953,0.7579405737704918,0.7911347745204953,0.8043032786885246,0.8029700429790236,0.8015817110655737,0.7831162999550965,0.8015817110655737,0.7983834755276156
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s123,42,123,gpc,0.7832991803278688,0.7602155365963179,0.7832991803278688,0.7716659182757072,0.7585169057377049,0.7827314131759574,0.7952100409836065,0.8148053114375521,0.7977715163934427,0.7919045480787734,0.7977715163934427,0.8041247033164411
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,42,42,svc,0.7700115266393442,0.7789146192828276,0.7797771516393442,0.7911347745204953,0.7579405737704918,0.7911347745204953,0.8043032786885246,0.8029700429790236,0.8015817110655737,0.7831162999550965,0.8015817110655737,0.7983834755276156
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s42,42,42,gpc,0.7832991803278688,0.7602155365963179,0.7832991803278688,0.7716659182757072,0.7585169057377049,0.7827314131759574,0.7952100409836065,0.8148053114375521,0.7977715163934427,0.7919045480787734,0.7977715163934427,0.8041247033164411
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,42,999,svc,0.7700115266393442,0.7789146192828276,0.7797771516393442,0.7911347745204953,0.7579405737704918,0.7911347745204953,0.8043032786885246,0.8029700429790236,0.8015817110655737,0.7831162999550965,0.8015817110655737,0.7983834755276156
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs42__s999,42,999,gpc,0.7832991803278688,0.7602155365963179,0.7832991803278688,0.7716659182757072,0.7585169057377049,0.7827314131759574,0.7952100409836065,0.8148053114375521,0.7997246413934427,0.7919045480787734,0.7997246413934427,0.8041247033164411
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,7,123,svc,0.7277687987070138,0.792,0.7375542078059241,0.8,0.6550863324318702,0.808,0.750908130770831,0.8200000000000001,0.729649069466003,0.784,0.7467635339488886,0.804
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s123,7,123,gpc,0.7473876238178299,0.76,0.7473876238178299,0.764,0.6623113728376886,0.8,0.7532204637467795,0.808,0.6548462978668929,0.792,0.7592453313277112,0.804
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,7,42,svc,0.7277687987070138,0.792,0.7375542078059241,0.8,0.6550863324318702,0.808,0.750908130770831,0.8200000000000001,0.729649069466003,0.784,0.7467635339488886,0.804
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s42,7,42,gpc,0.7473876238178299,0.76,0.7473876238178299,0.764,0.6623113728376886,0.8,0.7532204637467795,0.808,0.6528220063689172,0.792,0.7592453313277112,0.804
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,7,999,svc,0.7257925141220336,0.792,0.7375542078059241,0.8,0.6550863324318702,0.808,0.750908130770831,0.8200000000000001,0.729649069466003,0.784,0.7467635339488886,0.804
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs7__s999,7,999,gpc,0.7473876238178299,0.76,0.7473876238178299,0.764,0.6623113728376886,0.8,0.7532204637467795,0.808,0.6528220063689172,0.792,0.7592453313277112,0.804
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,999,123,svc,0.7344286732775942,0.8205235940530058,0.7501944390433599,0.8205235940530058,0.7707887743858968,0.8016483516483517,0.779813986648519,0.8278603749191984,0.6338550780996824,0.8338396897220427,0.7590738220234623,0.8338396897220427
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s123,999,123,gpc,0.7524628945492255,0.7718810601163542,0.7583284723572493,0.784841628959276,0.7474722924363212,0.807563025210084,0.7812236697128783,0.807563025210084,0.75004860976084,0.8138978668390433,0.7911238576706203,0.8254363283775048
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,999,42,svc,0.7344286732775942,0.8205235940530058,0.7501944390433599,0.8205235940530058,0.7707887743858968,0.8016483516483517,0.779813986648519,0.8278603749191984,0.6338550780996824,0.8338396897220427,0.7590738220234623,0.8338396897220427
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s42,999,42,gpc,0.7524628945492255,0.7718810601163542,0.7583284723572493,0.784841628959276,0.7474722924363212,0.807563025210084,0.7812236697128783,0.807563025210084,0.7482500486097609,0.8138978668390433,0.7911238576706203,0.8254363283775048
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,999,999,svc,0.7344286732775942,0.8205235940530058,0.7501944390433599,0.8205235940530058,0.7707887743858968,0.8016483516483517,0.779813986648519,0.8278603749191984,0.6338550780996824,0.8338396897220427,0.7590738220234623,0.8338396897220427
ember_m1,m1_hist_byteent__ms123__q1000_id500_ood500__qs999__s999,999,999,gpc,0.7524628945492255,0.7718810601163542,0.7583284723572493,0.784841628959276,0.7474722924363212,0.807563025210084,0.7812236697128783,0.807563025210084,0.75004860976084,0.8138978668390433,0.7911238576706203,0.8254363283775048
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s123,123,123,svc,0.7299049820236261,0.8027495038729915,0.7627600154083205,0.8027495038729915,0.7299049820236261,0.8027495038729915,0.7732890344119158,0.8446002176557199,0.7232761941448382,0.8104314704564368,0.7592931432973806,0.8465687215927278
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s123,123,123,gpc,0.7254429892141756,0.7577779911657384,0.7646058038007191,0.7842007553933807,0.754847200821777,0.8205940720824532,0.7728396250642013,0.838822738621087,0.7472393425783257,0.8303725753792971,0.7681368772470467,0.8344376160297036
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s42,123,42,svc,0.7299049820236261,0.8027495038729915,0.7627600154083205,0.8027495038729915,0.7299049820236261,0.8027495038729915,0.7732890344119158,0.8446002176557199,0.7232761941448382,0.8104314704564368,0.7592931432973806,0.8465687215927278
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s42,123,42,gpc,0.7254429892141756,0.7577779911657384,0.7646058038007191,0.7842007553933807,0.754847200821777,0.8205940720824532,0.7728396250642013,0.838822738621087,0.7472393425783257,0.8303725753792971,0.7681368772470467,0.8344376160297036
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s999,123,999,svc,0.7299049820236261,0.8027495038729915,0.7627600154083205,0.8027495038729915,0.7299049820236261,0.8027495038729915,0.7732890344119158,0.8446002176557199,0.7232761941448382,0.8104314704564368,0.7592931432973806,0.8465687215927278
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs123__s999,123,999,gpc,0.7254429892141756,0.7577779911657384,0.7646058038007191,0.7842007553933807,0.754847200821777,0.8205940720824532,0.7728396250642013,0.838822738621087,0.7472393425783257,0.8303725753792971,0.7681368772470467,0.8344376160297036
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s123,2024,123,svc,0.7767049366703496,0.7990030564401274,0.8139501369073353,0.8050759309340545,0.7768570559318506,0.8384327343137412,0.8139501369073353,0.8441695604167,0.75622488030616,0.836264422076779,0.8061680357400202,0.8405050327247123
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s123,2024,123,gpc,0.8071768266320796,0.7927861612072138,0.8071768266320796,0.7927861612072138,0.7915205521128565,0.8110047846889952,0.8206273718595378,0.8169816453569314,0.7566171878752943,0.8125490070570163,0.8189820819522506,0.8187659022899297
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s42,2024,42,svc,0.7767049366703496,0.7990030564401274,0.8139501369073353,0.8050759309340545,0.7768570559318506,0.8384327343137412,0.8139501369073353,0.8441695604167,0.75622488030616,0.836264422076779,0.8061680357400202,0.8405050327247123
ember_m1,m1_hist_byteent__ms123__q2000_id1000_ood1000__qs2024__s42,2024,42,gpc,0.8071768266320796,0.7927861612072138,0.8071768266320796,0.7927861612072138,0.7915205521128565,0.8110047846889952,0.8206273718595378,0.8169816453569314,0.7575899505212087,0.8125490070570163,0.8189820819522506,0.8187659022899297
