run,group,dataset,kernel,dim,shots,replicate,projection_condition,selected_c,c_cv_score,id_val_bacc,id_test_bacc,ood_test_bacc,exact_c,exact_c_cv_score,exact_id_val_bacc,exact_id_test_bacc,exact_ood_test_bacc,ood_difference_from_exact,absolute_ood_difference,train_effective_rank,exact_train_effective_rank,train_effective_rank_ratio,kta_ood,exact_kta_ood,kta_ood_difference,train_min_eig_before_psd,train_min_eig_after_psd,train_frac_negative_eig,train_fro_change_sampling,train_fro_change_projection,ood_min_eig_before_psd,ood_min_eig_after_psd,ood_frac_negative_eig,ood_fro_change_sampling,ood_fro_change_projection,condition_train_fro_change_from_sampled,condition_id_val_fro_change_from_sampled,condition_id_test_fro_change_from_sampled,condition_ood_test_fro_change_from_sampled,condition_ood_square_fro_change_from_sampled,nystrom_retained_rank,nystrom_eigenvalue_tolerance,stable_seed_train
unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,unsw,zmap_r2__as0.5,12,128,15,independent_square_psd,1.0,0.8826190782343539,0.8686894605170312,0.90265571877606,0.9045058883768562,100.0,0.884589551392114,0.9030406055551992,0.9015010584386427,0.9004416282642089,0.004064260112647267,0.004064260112647267,66.73744584043216,24.355738867684998,2.740111733131565,0.2844527171981229,0.28487133996621367,-0.0004186227680907928,-1.5186349713432246,0.0,0.449,22.34419132460366,14.77720976345352,-0.993916914429055,0.0,0.43,10.100885271116582,6.335303742716055,14.77720976345352,0.0,0.0,0.0,6.335303742716055,,,17142976905007281994
unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,unsw,zmap_r2__as0.5,12,128,15,nystrom_psd,1.0,0.8826190782343539,0.8534222849445121,0.8999935852203477,0.898489503328213,100.0,0.884589551392114,0.9030406055551992,0.9015010584386427,0.9004416282642089,-0.001952124935995947,0.001952124935995947,66.73744584043216,24.355738867684998,2.740111733131565,0.12334021923332719,0.28487133996621367,-0.16153112073288647,-1.5186349713432246,0.0,0.449,22.34419132460366,14.77720976345352,-0.993916914429055,0.0,0.43,10.100885271116582,6.335303742716055,14.77720976345352,7.787112834024426,7.92318398589391,11.089307780517188,288.87160706461464,551.0,5.2305033621507976e-11,17142976905007281994
unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,unsw,zmap_r2__as0.5,12,128,16,pre_psd,1.0,0.8807583399396363,0.8610558727307718,0.88777342998268,0.9004096262160779,100.0,0.884589551392114,0.9030406055551992,0.9015010584386427,0.9004416282642089,-3.2002048131030136e-05,3.2002048131030136e-05,66.68001104732812,24.355738867684998,2.7377535705064826,0.2838454821922581,0.28487133996621367,-0.0010258577739555852,-1.5377060232150441,0.0,0.451,22.357834102282215,14.765566064170686,-0.9934671454171095,0.0,0.432,9.997792702282998,6.279384577040374,0.0,0.0,0.0,0.0,0.0,,,7764814984648651817
unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,unsw,zmap_r2__as0.5,12,128,16,independent_square_psd,1.0,0.8834697275249734,0.8606709859516326,0.8915902238758099,0.90047363031234,100.0,0.884589551392114,0.9030406055551992,0.9015010584386427,0.9004416282642089,3.2002048131030136e-05,3.2002048131030136e-05,66.68001104732812,24.355738867684998,2.7377535705064826,0.2842779406698894,0.28487133996621367,-0.0005933992963242929,-1.5377060232150441,0.0,0.451,22.357834102282215,14.765566064170686,-0.9934671454171095,0.0,0.432,9.997792702282998,6.279384577040374,14.765566064170686,0.0,0.0,0.0,6.279384577040374,,,7764814984648651817
unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,unsw,zmap_r2__as0.5,12,128,16,nystrom_psd,1.0,0.8834697275249734,0.8614407595099108,0.8919751106549489,0.90047363031234,100.0,0.884589551392114,0.9030406055551992,0.9015010584386427,0.9004416282642089,3.2002048131030136e-05,3.2002048131030136e-05,66.68001104732812,24.355738867684998,2.7377535705064826,0.21629019065972574,0.28487133996621367,-0.06858114930648793,-1.5377060232150441,0.0,0.451,22.357834102282215,14.765566064170686,-0.9934671454171095,0.0,0.432,9.997792702282998,6.279384577040374,14.765566064170686,7.809095686283997,7.932729512834016,11.090085736998216,123.92503356246249,549.0,5.227964297721874e-11,7764814984648651817
unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,unsw,zmap_r2__as0.5,12,128,17,pre_psd,0.1,0.8790188562673794,0.8545769452819296,0.8927448842132273,0.8610471070148489,100.0,0.884589551392114,0.9030406055551992,0.9015010584386427,0.9004416282642089,-0.03939452124936005,0.03939452124936005,66.66804465778276,24.355738867684998,2.7372622534657487,0.28406395061783485,0.28487133996621367,-0.0008073893483788175,-1.5168989789326244,0.0,0.449,22.332884197975986,14.74788571174686,-1.027267003274406,0.0,0.43,10.125315475261656,6.367706423289975,0.0,0.0,0.0,0.0,0.0,,,17525968922122202021
unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,unsw,zmap_r2__as0.5,12,128,17,independent_square_psd,1.0,0.8855402527047422,0.8725062544101609,0.907242286227468,0.9084741423451101,100.0,0.884589551392114,0.9030406055551992,0.9015010584386427,0.9004416282642089,0.00803251408090122,0.00803251408090122,66.66804465778276,24.355738867684998,2.7372622534657487,0.2845038487616428,0.28487133996621367,-0.0003674912045708578,-1.5168989789326244,0.0,0.449,22.332884197975986,14.74788571174686,-1.027267003274406,0.0,0.43,10.125315475261656,6.367706423289975,14.74788571174686,0.0,0.0,0.0,6.367706423289975,,,17525968922122202021
unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,unsw,zmap_r2__as0.5,12,128,17,nystrom_psd,1.0,0.8855402527047422,0.8572390788376419,0.9080120597857464,0.9005056323604711,100.0,0.884589551392114,0.9030406055551992,0.9015010584386427,0.9004416282642089,6.40040962621713e-05,6.40040962621713e-05,66.66804465778276,24.355738867684998,2.7372622534657487,0.2003858299275591,0.28487133996621367,-0.08448551003865457,-1.5168989789326244,0.0,0.449,22.332884197975986,14.74788571174686,-1.027267003274406,0.0,0.43,10.125315475261656,6.367706423289975,14.74788571174686,7.766953914997144,7.955041576785572,11.088677775812682,144.57379261927974,551.0,5.2268187940488735e-11,17525968922122202021
unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,unsw,zmap_r2__as0.5,12,128,18,pre_psd,1.0,0.8846702017140491,0.8690743472961704,0.8957919045480788,0.8884408602150538,100.0,0.884589551392114,0.9030406055551992,0.9015010584386427,0.9004416282642089,-0.012000768049155175,0.012000768049155175,66.82984482921482,24.355738867684998,2.7439054586795613,0.28374771259862025,0.28487133996621367,-0.001123627367593416,-1.5405670280963661,0.0,0.448,22.36139282059064,14.771765941974703,-0.997856841876982,0.0,0.432,10.027221910147032,6.308693480123176,0.0,0.0,0.0,0.0,0.0,,,3669660273782104296
unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,unsw,zmap_r2__as0.5,12,128,18,independent_square_psd,1.0,0.886520644861605,0.8767079350824298,0.8912053370966708,0.896473374295955,100.0,0.884589551392114,0.9030406055551992,0.9015010584386427,0.9004416282642089,-0.003968253968253954,0.003968253968253954,66.82984482921482,24.355738867684998,2.7439054586795613,0.2841934016300097,0.28487133996621367,-0.0006779383362039426,-1.5405670280963661,0.0,0.448,22.36139282059064,14.771765941974703,-0.997856841876982,0.0,0.432,10.027221910147032,6.308693480123176,14.771765941974703,0.0,0.0,0.0,6.308693480123176,,,3669660273782104296
