status,case,run,group,model,tier,n_target,n_positive,prevalence,realized_accuracy_advantage,accuracy_lower,accuracy_upper,accuracy_upper_slack,realized_bacc_advantage,bacc_exact_lower,bacc_exact_upper,bacc_exact_upper_slack,bacc_relaxed_lower,bacc_relaxed_upper,n_prediction_signatures,bacc_exact_lower_witness_index,bacc_exact_upper_solver_status
post-hoc exploratory labels unlocked after certificate,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,customary_30,500,244,0.488,-0.008000000000000007,-0.366,0.14,0.14800000000000002,-0.01088627049180324,-0.36769979508196726,0.13719902663934427,0.14808529713114751,-0.3676997950819672,0.13719902663934427,132,28,0
post-hoc exploratory labels unlocked after certificate,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,gpc,full_115,500,244,0.488,-0.030000000000000027,-0.394,0.08,0.11000000000000003,-0.03275486680327866,-0.4015753073770493,0.07841316598360656,0.11116803278688522,-0.40157530737704783,0.07841316598360656,215,74,0
post-hoc exploratory labels unlocked after certificate,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,customary_30,500,244,0.488,0.0020000000000000018,-0.322,0.122,0.12,0.0011846823770491621,-0.32136910860655743,0.12115778688524591,0.11997310450819675,-0.3213691086065575,0.12115778688524592,123,3,0
post-hoc exploratory labels unlocked after certificate,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,gpc,full_115,500,244,0.488,-0.016000000000000014,-0.322,0.074,0.09000000000000001,-0.016105276639344357,-0.32136910860655743,0.07303406762295082,0.08913934426229518,-0.3213691086065573,0.07303406762295084,203,28,0
post-hoc exploratory labels unlocked after certificate,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,customary_30,500,246,0.492,0.027999999999999914,-0.376,0.054,0.026000000000000086,0.028007169835477908,-0.3758402150950644,0.0540458357339479,0.026038665898469995,-0.3758402150950644,0.0540458357339479,33,12,0
post-hoc exploratory labels unlocked after certificate,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,gpc,full_115,500,246,0.492,-0.014000000000000012,-0.38,0.016,0.030000000000000013,-0.013843543947250514,-0.37990525574547085,0.016132129825235264,0.029975673772485778,-0.3799052557454707,0.016132129825235264,53,17,0
post-hoc exploratory labels unlocked after certificate,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,customary_30,500,259,0.518,-0.010000000000000009,-0.54,0.006,0.016000000000000007,-0.009796696518688197,-0.5519473237315561,0.005791505791505793,0.015588202310193991,-0.5519473237315561,0.005791505791505793,41,2,0
post-hoc exploratory labels unlocked after certificate,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,gpc,full_115,500,259,0.518,-0.01200000000000001,-0.54,0.006,0.01800000000000001,-0.011871385315368688,-0.5519473237315561,0.005791505791505793,0.01766289110687448,-0.5519473237315561,0.005791505791505793,83,27,0
post-hoc exploratory labels unlocked after certificate,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,customary_30,500,248,0.496,-0.052000000000000046,-0.342,0.076,0.12800000000000006,-0.05225934459805437,-0.3418138760880697,0.07578084997439835,0.12804019457245272,-0.34181387608806957,0.07578084997439835,69,2,0
post-hoc exploratory labels unlocked after certificate,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,gpc,full_115,500,248,0.496,-0.052000000000000046,-0.342,0.066,0.11800000000000005,-0.05225934459805437,-0.3418138760880697,0.06566820276497695,0.11792754736303132,-0.3418138760880696,0.06566820276497695,120,27,0
post-hoc exploratory labels unlocked after certificate,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,customary_30,500,260,0.52,-0.02199999999999991,-0.354,0.028,0.049999999999999906,-0.022756410256410176,-0.3610576923076923,0.028846153846153844,0.051602564102564016,-0.3610576923076923,0.028846153846153844,73,2,0
post-hoc exploratory labels unlocked after certificate,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,gpc,full_115,500,260,0.52,-0.03199999999999992,-0.354,0.028,0.059999999999999915,-0.033493589743589736,-0.3610576923076923,0.028846153846153844,0.062339743589743576,-0.36105769230769225,0.028846153846153844,120,27,0
post-hoc exploratory labels unlocked after certificate,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,customary_30,500,249,0.498,-0.062000000000000055,-0.364,0.088,0.15000000000000005,-0.0625210003360055,-0.36416582665322644,0.08768140290244643,0.1502024032384519,-0.36416582665322644,0.08768140290244644,83,2,0
post-hoc exploratory labels unlocked after certificate,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,gpc,full_115,500,249,0.498,-0.06600000000000006,-0.364,0.088,0.15400000000000005,-0.06639306228899677,-0.3641658266532264,0.08768140290244643,0.1540744651914432,-0.3641658266532267,0.08768140290244644,132,27,0
post-hoc exploratory labels unlocked after certificate,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,customary_30,500,235,0.47,0.0020000000000000018,-0.496,0.03,0.027999999999999997,0.0009233239662785886,-0.4823765556001606,0.029265355279004417,0.028342031312725828,-0.48237655560016063,0.029265355279004417,76,2,0
post-hoc exploratory labels unlocked after certificate,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,gpc,full_115,500,235,0.47,0.0020000000000000018,-0.496,0.03,0.027999999999999997,0.0009233239662785886,-0.4823765556001606,0.029265355279004417,0.028342031312725828,-0.48237655560016063,0.029265355279004417,138,27,0
post-hoc exploratory labels unlocked after certificate,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,customary_30,500,244,0.488,-0.014000000000000012,-0.422,0.054,0.068,-0.01472848360655743,-0.4233478483606558,0.053310706967213115,0.06803919057377054,-0.4233478483606554,0.05331070696721312,158,12,0
post-hoc exploratory labels unlocked after certificate,00_ember_m1,m1_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m1,svc,full_115,500,244,0.488,-0.02400000000000002,-0.452,0.05,0.07400000000000002,-0.02382172131147542,-0.45456582991803285,0.05036501024590165,0.07418673155737707,-0.4545658299180314,0.05036501024590166,246,88,0
post-hoc exploratory labels unlocked after certificate,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,customary_30,500,244,0.488,-0.03600000000000003,-0.314,0.064,0.10000000000000003,-0.03698130122950816,-0.31595799180327877,0.06317238729508197,0.10015368852459013,-0.31595799180327827,0.06317238729508198,159,3,0
post-hoc exploratory labels unlocked after certificate,01_ember_m2,m2_hist_byteent__ms42__q1000_id500_ood500__qs42__s42,ember_m2,svc,full_115,500,244,0.488,-0.03600000000000003,-0.314,0.054,0.09000000000000002,-0.03698130122950816,-0.31595799180327877,0.053887038934426236,0.09086834016393439,-0.3159579918032779,0.05388703893442625,222,28,0
post-hoc exploratory labels unlocked after certificate,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,customary_30,500,246,0.492,-0.0040000000000000036,-0.366,0.004,0.008000000000000004,-0.004065040650406471,-0.36625376096280654,0.003937007874015748,0.008002048524422219,-0.3662537609628065,0.003937007874015748,23,2,0
post-hoc exploratory labels unlocked after certificate,02_toniot_scanning_m2_centroid,toniot_scanning__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_m2_centroid,svc,full_115,500,246,0.492,-0.0040000000000000036,-0.366,0.002,0.006000000000000004,-0.004065040650406471,-0.36625376096280654,0.001968503937007874,0.006033544587414345,-0.3662537609628065,0.001968503937007874,33,27,0
post-hoc exploratory labels unlocked after certificate,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,customary_30,500,259,0.518,-0.014000000000000012,-0.512,0.012,0.026000000000000013,-0.013369326647335034,-0.5241993623736362,0.012303945913904421,0.025673272561239455,-0.5241993623736362,0.012303945913904421,25,2,0
post-hoc exploratory labels unlocked after certificate,03_toniot_scanning_natural_cur,toniot_scanning__natural_cur__ms42__q1000_id500_ood500__qs42__s42,toniot_scanning_natural_cur,svc,full_115,500,259,0.518,-0.018000000000000016,-0.514,0.002,0.020000000000000018,-0.017518704240696015,-0.5261298643041381,0.0019305019305019305,0.019449206171197945,-0.5261298643041381,0.0019305019305019305,42,72,0
post-hoc exploratory labels unlocked after certificate,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,customary_30,500,248,0.496,-0.010000000000000009,-0.3,0.01,0.02000000000000001,-0.01014464925755254,-0.2989311315924219,0.010048643113159242,0.020193292370711782,-0.29893113159242185,0.010048643113159242,67,2,0
post-hoc exploratory labels unlocked after certificate,04_unsw_dos_m2_centroid,unsw_dos__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_m2_centroid,svc,full_115,500,248,0.496,-0.016000000000000014,-0.3,0.01,0.026000000000000016,-0.015873015873015817,-0.2989311315924219,0.010048643113159242,0.02592165898617506,-0.29893113159242185,0.010048643113159242,114,27,0
post-hoc exploratory labels unlocked after certificate,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,customary_30,500,260,0.52,-0.026000000000000023,-0.212,0.044,0.07000000000000002,-0.02532051282051284,-0.21185897435897433,0.044391025641025636,0.06971153846153848,-0.2118589743589741,0.044391025641025636,100,2,0
post-hoc exploratory labels unlocked after certificate,05_unsw_dos_natural_cur,unsw_dos__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_dos_natural_cur,svc,full_115,500,260,0.52,-0.026000000000000023,-0.212,0.034,0.060000000000000026,-0.02532051282051284,-0.21185897435897433,0.03477564102564103,0.06009615384615387,-0.21185897435897405,0.03477564102564103,154,27,0
post-hoc exploratory labels unlocked after certificate,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,customary_30,500,249,0.498,-0.020000000000000018,-0.288,0.054,0.07400000000000001,-0.020096321541144713,-0.2874445991135858,0.053912862605801706,0.07400918414694642,-0.2874445991135858,0.05391286260580169,82,2,0
post-hoc exploratory labels unlocked after certificate,06_unsw_recon_m2_centroid,unsw_recon__m2_centroid__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_m2_centroid,svc,full_115,500,249,0.498,-0.03199999999999992,-0.288,0.046,0.07799999999999992,-0.03214451431222909,-0.2874445991135858,0.04588073409174548,0.07802524840397457,-0.2874445991135858,0.045880734091745465,125,27,0
post-hoc exploratory labels unlocked after certificate,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,customary_30,500,235,0.47,-0.016000000000000014,-0.36,0.04,0.056000000000000015,-0.017984745082296305,-0.3437173825772782,0.04038538739462064,0.05837013247691694,-0.3437173825772782,0.040385387394620643,104,2,0
post-hoc exploratory labels unlocked after certificate,07_unsw_recon_natural_cur,unsw_recon__natural_cur__ms42__q1000_id500_ood500__qs42__s42,unsw_recon_natural_cur,svc,full_115,500,235,0.47,-0.025999999999999912,-0.36,0.034,0.059999999999999915,-0.02163789642713776,-0.3437173825772782,0.0327980730630269,0.05443596949016466,-0.34371738257727824,0.0327980730630269,198,27,0
