task,column,dtype,role
brfss_diabetes,CVDSTRK3,category,categorical
brfss_diabetes,MARITAL,category,categorical
brfss_diabetes,MICHD,category,categorical
brfss_diabetes,MEDCOST,category,categorical
brfss_diabetes,HIGH_BLOOD_PRESS,category,categorical
brfss_diabetes,MENTHLTH,float64,numeric
brfss_diabetes,SMOKE100,category,categorical
brfss_diabetes,INCOME,category,categorical
brfss_diabetes,CHECKUP1,category,categorical
brfss_diabetes,IYEAR,float64,numeric
brfss_diabetes,RFBING5,category,categorical
brfss_diabetes,TOLDHI,category,categorical
brfss_diabetes,EDUCA,category,categorical
brfss_diabetes,TOTINDA,category,categorical
brfss_diabetes,CHOL_CHK_PAST_5_YEARS,category,categorical
brfss_diabetes,BMI5CAT,category,categorical
brfss_diabetes,VEG_ONCE_PER_DAY,category,categorical
brfss_diabetes,SMOKDAY2,category,categorical
brfss_diabetes,STATE,category,categorical
brfss_diabetes,SEX,int64,numeric
brfss_diabetes,FRUIT_ONCE_PER_DAY,category,categorical
brfss_diabetes,BMI5,float64,numeric
brfss_diabetes,PHYSHLTH,float64,numeric
brfss_diabetes,HEALTH_COV,category,categorical
brfss_diabetes,DRNK_PER_WEEK,float64,numeric
