task,column,dtype,role
acsfoodstamps,ENG,category,categorical
acsfoodstamps,FER,category,categorical
acsfoodstamps,HUPAC,int64,numeric
acsfoodstamps,WIF,int64,numeric
acsfoodstamps,NWLA,category,categorical
acsfoodstamps,NWLK,category,categorical
acsfoodstamps,OCCP,category,categorical
acsfoodstamps,POBP,category,categorical
acsfoodstamps,RELP,category,categorical
acsfoodstamps,WKHP,int64,numeric
acsfoodstamps,WKW,int64,numeric
acsfoodstamps,WRK,category,categorical
acsfoodstamps,DIS,category,categorical
acsfoodstamps,MIL,category,categorical
acsfoodstamps,ANC,category,categorical
acsfoodstamps,NATIVITY,category,categorical
acsfoodstamps,DEAR,category,categorical
acsfoodstamps,DEYE,category,categorical
acsfoodstamps,DREM,category,categorical
acsfoodstamps,PUBCOV,category,categorical
acsfoodstamps,AGEP,int64,numeric
acsfoodstamps,SEX,int64,numeric
acsfoodstamps,ST,category,categorical
acsfoodstamps,MAR,category,categorical
acsfoodstamps,CIT,category,categorical
acsfoodstamps,RAC1P,int64,numeric
acsfoodstamps,SCHL,category,categorical
acsfoodstamps,ACS_YEAR,int64,numeric
