task,split,seed,stratum,source_n,sample_n,class_0_n,class_1_n,positions_sha256,first_rank_digest,tableshift_commit,ood_validation_accessed
nhanes_lead,id_test,7,q1000,1476,250,246,4,02560805123f488764de9cd68b3861564c2a399bb4690b0bf4beb117d82da7a5,000b3de2f7d171c98b74e3283224b7d3450e1922016abd617384eb95cd5d6a5d,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,id_test,7,q2000,1476,500,485,15,3808776a8d19a277c67a0985d1ba474312023fb3f59d14e0b1b6ba60beecefda,000b3de2f7d171c98b74e3283224b7d3450e1922016abd617384eb95cd5d6a5d,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,id_test,42,q1000,1476,250,243,7,12ddb83fbf0b6ca9afc8ee224a3de9e1cd54fb59e38dbb4b7d8d2bdc0aca1a26,00006c59c68f400a8a1d54c5951d2d517c8bc6f83faee49cb7d0f5f2cc70b58f,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,id_test,42,q2000,1476,500,485,15,147881b6a23de77feee8c3c18ad7d94e834d6c95953072f15aa99e0a71daec35,00006c59c68f400a8a1d54c5951d2d517c8bc6f83faee49cb7d0f5f2cc70b58f,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,id_test,123,q1000,1476,250,244,6,5f29e71877eb5da266c65a0c6f263b16d3f328903e880873c4173b219aea6de5,001d87dae56d9ca259c8104b5825edd72d6aadc2fc208c300a64b415f753232e,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,id_test,123,q2000,1476,500,486,14,e038bc2570ab8b5439ecba056a48292d2e8cfef0c538b567497b0b2d2b283ee0,001d87dae56d9ca259c8104b5825edd72d6aadc2fc208c300a64b415f753232e,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,id_test,999,q1000,1476,250,245,5,f2f4b5220818bab04d019411ebe1f42d355aa3dff35b7e21f628b1c1c35b3a04,005c711d3d07b0eafafdc0327216ecde80774db24e4a0eaa846e4e09647bfc5c,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,id_test,999,q2000,1476,500,489,11,14ea5c6e4a46a851408bd948a8b58d7cfbdc0cf1d2bd78d3d0012eba307ec630,005c711d3d07b0eafafdc0327216ecde80774db24e4a0eaa846e4e09647bfc5c,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,id_test,2024,q1000,1476,250,244,6,0ded7bc9871ecda927f05f087724c609ec5c3f5f8d9bd05d1da95a4b671626c2,000734093fbafabeef1b00319a451c3e11a67de0808532d28e839f63920259b2,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,id_test,2024,q2000,1476,500,487,13,8378ed1424d95fad286c8a0985a37daf893e9ecce8b9848f81534f1ac1a8a8db,000734093fbafabeef1b00319a451c3e11a67de0808532d28e839f63920259b2,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,ood_test,7,q1000,11466,500,472,28,9ccbd0292b69884dfb52272fb406829ee50f892ecc29cb59fcf401603c07c3fe,00044e4dbed89215805dead442b14b28a496dbfdaafbe3deace3a0f3b16b3c13,fca9429814703a07e3902d005d46563a207b7f0a,False
nhanes_lead,ood_test,7,q2000,11466,1000,934,66,57b9ea017274fbf721602cbdbb9661bb3666afaaf0dfa1bc77978d6a1b58f8eb,00044e4dbed89215805dead442b14b28a496dbfdaafbe3deace3a0f3b16b3c13,fca9429814703a07e3902d005d46563a207b7f0a,False
