task,split,seed,stratum,source_n,sample_n,class_0_n,class_1_n,positions_sha256,first_rank_digest,tableshift_commit,ood_validation_accessed
acsfoodstamps,id_test,7,q1000,78628,250,193,57,74a323d015995ea294e21026cd30a2c794bc4cb97a4da4de2daa1f361a896a1b,00014ad807c6aa2ccdbe7ae7a6b2b9b1559cdba644c07d57be202ec26b61ece3,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,id_test,7,q2000,78628,500,394,106,fae2faa089f1bd3e9fc070dbd26aaf2da78f3235e27a9f59f50242626ff5069a,00014ad807c6aa2ccdbe7ae7a6b2b9b1559cdba644c07d57be202ec26b61ece3,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,id_test,42,q1000,78628,250,198,52,fc03d5342369a5857b2b698e9486012ce8517a7c1ca9e8f3ae4219eff7359dbb,0000ed2a9f3edcb071e0bfe7092cb9216c2ddfee331fe242b8720374cacfb2c0,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,id_test,42,q2000,78628,500,399,101,47e3fcc121843bae9e777b72272067f5cdbfb04f6aa299cf9b73a23469fe22c7,0000ed2a9f3edcb071e0bfe7092cb9216c2ddfee331fe242b8720374cacfb2c0,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,id_test,123,q1000,78628,250,207,43,8bc0cf207ebff681ab9a1695a147a0e5db1636f308134df1b318c28de4a0223e,000042a1fe1aeed35f1be435718c7c3301cb2c768ec237f91c93ce6e303b9944,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,id_test,123,q2000,78628,500,411,89,1be61de0a5c5cd3a46bdec0ce0423f1ed050ddaa32fa84d66ec74e59ea8f2bf1,000042a1fe1aeed35f1be435718c7c3301cb2c768ec237f91c93ce6e303b9944,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,id_test,999,q1000,78628,250,201,49,0482a091b697952d5dc56c6a547c7933f7bf6ff0e0c9389e1e569a1dc515133f,0000669c5aa11859f025fbac4bdad9437280341deae624cb68b343092537ac51,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,id_test,999,q2000,78628,500,411,89,7db059e1127a7e16224b9bc9f96e54ab547d2cbc3c47d76a9b74816016411772,0000669c5aa11859f025fbac4bdad9437280341deae624cb68b343092537ac51,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,id_test,2024,q1000,78628,250,190,60,7ef5723298510ab053cd04a1f39051f9f845efd1aca122447882fbb0c32bb486,0000a7d02d2bc222eaede7857bb79b60390ad445a6255740f6a7e2b364a619ae,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,id_test,2024,q2000,78628,500,399,101,a19cb1ddf26df9f1533b141ec64d884bdc8f1a2f02978e5f424693f6e1a120bb,0000a7d02d2bc222eaede7857bb79b60390ad445a6255740f6a7e2b364a619ae,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,ood_test,7,q1000,48878,500,408,92,c8411602194452a96539996c0c117b64b749052772290b3c6d64871bdd728676,00005848e0a35431f91156203117eedb4d11515c8e3dbb0a7e61cee5a5905bf8,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,ood_test,7,q2000,48878,1000,790,210,966c2bab83e6cf417979d419f090703ece63e838d43777b2458899f78153c642,00005848e0a35431f91156203117eedb4d11515c8e3dbb0a7e61cee5a5905bf8,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,ood_test,42,q1000,48878,500,384,116,b787d6577a60944c29a9bac180cef0f3a5dbaed91b0792168faf5cdefb11a80e,0001602786f037a2a173c828bc2932174e240b5840c2de5b70d652993d1f5d54,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,ood_test,42,q2000,48878,1000,786,214,e9e50c3163b2a6b771e26be97d1838a2cc0ec198966ca331f903fe591633b0db,0001602786f037a2a173c828bc2932174e240b5840c2de5b70d652993d1f5d54,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,ood_test,123,q1000,48878,500,380,120,b0ef410dcc9531e5a35bbf38a74554fd449c4590046432a0d0a1f6df5b940943,00008229a7e3b0f5224ad57c5c3c2bf8c69e323ffa805201e99be3c73d50d067,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,ood_test,123,q2000,48878,1000,777,223,bfd108d1012f70beeb620238903313277cd08cc4cda25407d6757139219307c8,00008229a7e3b0f5224ad57c5c3c2bf8c69e323ffa805201e99be3c73d50d067,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,ood_test,999,q1000,48878,500,384,116,b244d2f4f5073617217f8b40eb6418d1a53cc0a2c308779048d9c051504c5701,0002b307150452968da9d26e14cff845bddf2310b39470b5ef49e2779cc32399,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,ood_test,999,q2000,48878,1000,778,222,5f97bdeac748e69193dfb649a744416f66a8c3e9dc1e794d19d95a10ec8a32a0,0002b307150452968da9d26e14cff845bddf2310b39470b5ef49e2779cc32399,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,ood_test,2024,q1000,48878,500,398,102,e36d83161609b6ec99a67a14fbb8404a74c06da56b33377849951a9594d97a6b,000272ee300d2d0d1fb0ffbb8bd49c3276a703a6688b6b267d42f0c9cbc75685,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,ood_test,2024,q2000,48878,1000,777,223,58f9ec42d5b4f90a307fdb9cbe05eecd2e29bd4c0ec10ff875b2b973861a613c,000272ee300d2d0d1fb0ffbb8bd49c3276a703a6688b6b267d42f0c9cbc75685,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,train,7,q1000,629018,1000,792,208,a5f87cef62156c24c7751fbd3cd45877f515bbe6045d4ece93c0cd6312e490e4,000004fc642902fa4b925eed65c0378bd384d41cf968b5da15951619a0ccd517,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,train,7,q2000,629018,2000,1610,390,48b55cf8fcdefa0c24c9740e453888b0ee7f3dd549acaee55d4af56b49fd1023,000004fc642902fa4b925eed65c0378bd384d41cf968b5da15951619a0ccd517,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,train,42,q1000,629018,1000,815,185,44e52559823ecc9305c6af1a4ceff11df207c2c50f4af6fb9e190b67efd58e34,0000060ca531606f0708a0f42bbc5478b0998476df6440a545c70c3586a3fa55,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,train,42,q2000,629018,2000,1617,383,f647e51adbe4c84a4cdfeb142ac8cfb7c93b09f088da2a4df6022b09d8cdfa05,0000060ca531606f0708a0f42bbc5478b0998476df6440a545c70c3586a3fa55,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,train,123,q1000,629018,1000,826,174,43a76ba2058c5f6a905a37ba20baec6aebbc40805cda911e591ff8a907cf734f,00003c140e27684179f58ed3ed5ec26a6d0bf46789cfde43c612bb63164b76b9,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,train,123,q2000,629018,2000,1653,347,2242c105ef5e34dd1861b0182dbf2b9702ed7b1cf0b8355617b0e27e463e5f6e,00003c140e27684179f58ed3ed5ec26a6d0bf46789cfde43c612bb63164b76b9,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,train,999,q1000,629018,1000,806,194,5030d4821ecb1785934d7092895235ba836db525eda2eae83c9bc362f21a3f0e,000007eddd22a8a1276cde950ac7b0913085f3e3c5406b8ef0263a16490c645a,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,train,999,q2000,629018,2000,1645,355,5713db6ec9fc6e4b4d703594ab3592f34974fe0a2ef290fabe3ab82553436aa5,000007eddd22a8a1276cde950ac7b0913085f3e3c5406b8ef0263a16490c645a,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,train,2024,q1000,629018,1000,820,180,c451c6b7a37154ce988bf188384d409d2b31c3373b606d627c7d7c5d72d703cf,000039f4761a2d95fbe3eee532978b4b2e8ca512dd30dbab1004f268c70c78b6,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,train,2024,q2000,629018,2000,1635,365,ea2c1e3e51a4db40a69857a2947fc56d678137c5533c9c3424102c5d3f50d50d,000039f4761a2d95fbe3eee532978b4b2e8ca512dd30dbab1004f268c70c78b6,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,validation,7,q1000,78627,250,209,41,52111abe7ca9ca4b2013072c7045c1d48192e7340175161d7c724a47c6b67143,00000d1d0087bead8d5177aadd1f88c970ef40fc4467de850bc4a4a77df653ac,fca9429814703a07e3902d005d46563a207b7f0a,False
acsfoodstamps,validation,7,q2000,78627,500,415,85,c65f0c7ac3ec7449d057d4d8042b9c15b4f9a854fd693fb651bdec2744bbcd02,00000d1d0087bead8d5177aadd1f88c970ef40fc4467de850bc4a4a77df653ac,fca9429814703a07e3902d005d46563a207b7f0a,False
