task,relative_path,size_bytes,sha256,tableshift_commit
acsincome,2018/1-Year/psam_h01.csv,14553586,1ba6e77d16f18eb52c6afb24a972c694184a00930fc54d248cf745ede62894da,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h02.csv,2055161,541cd60d86aa5575dea144acf7a97033e0bd55fe3715aeebfa63187338e21058,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h04.csv,19651970,915e075726390ac17adb07c7c56cf1d655ee0d9c6835ce151d3805bdef1e5d83,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h05.csv,8903520,5941491f59ace2bae7209f642d466e4f17511db8fefbe197178900bea0b8a20c,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h06.csv,93934196,ab79535ba1fd85c986c2ec047d22dc508c6d32a7bbe2d9198080d5f33c1c8bba,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h08.csv,15683367,c9dafe58046b59da41e076fe11fa98dba8aecee272beb22024a90c34eda35da3,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h09.csv,10157978,bd89f515341811bc8d92f93520d30ed3d0a00424beba144785b7107268551871,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h10.csv,2801904,e6a5882fedb7d397428f84d1651dc91a485900803d7aa1eeb363c685126bc2f7,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h12.csv,60934967,d0b7737671dfa5b671e8ec94be892d06de666bcab2f21a27a5c9da703101d8b3,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h13.csv,28073144,a1282961de13e78248ed7f4938690765b1d667f40dafba7b1fa702f4b385143e,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h15.csv,3628738,dda83604d258a70ae539a7a859b1a0762ce1262c7a76c396dc7bf478980ca958,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h16.csv,4639198,d33e3131a660ac3002aba02900af4edc4a9004b9a47dac1da299966195ef3a15,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h17.csv,34882880,5cff246e565b60e80d57d14cd868767f7081550c015f1f5d0688a0de497d3167,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h18.csv,18982101,b2c2db0f2e31c3e92edf0db74ece9e062841129e9ff4ff4513d116c32368710b,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h19.csv,9251975,a8729278537e8045467027e3fd2c971d14fd3940df8b43875c1e2dc47fb1d34b,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h20.csv,8338040,58e5e5bcd54b7f7b84de7efe4bc874014ee61b75829488ca6cdd998f5fb3a694,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h21.csv,13029899,b0556fd1690edacb6e65c91cf700e9325e5b2f39e3b7af5381e437bcd5215437,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h22.csv,13276745,7fba968a8a3ec41cc1e8cf522f8fe47ef67532a9f8cd7353f6842d35d3e29a6d,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h23.csv,4720784,1b6e9a464a30eec0676d47b13585131f14a4288b8cc872c4eed7f53f032fb559,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h24.csv,16183257,ed47f47451bd59607ef4fa99145564acacd6a9ccdd287e1827205b56a3590ed8,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h25.csv,19795337,8fae5613c7f9c54606c289a622c49a1b6e87c53f69c91c65c9ed7321e63f15f7,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h26.csv,29538529,98164af31ae528fb9a413b99f374ed8532f12c59da577f47c9e9e8ea849d932b,fca9429814703a07e3902d005d46563a207b7f0a
acsincome,2018/1-Year/psam_h27.csv,15865066,ee37ee6c0047fad91a8e01dce15f8b843a76a6816d8a65cc250fb3f8333f5a56,fca9429814703a07e3902d005d46563a207b7f0a
