task,stratum,seed,summary_sha256,preprocess_sha256,n_rows,n_candidates_quantum,n_candidates_classical,quantum_backends
college_scorecard,q1000,42,06b9e478d57ecfa53d0f94aafb3809be9d3cfea9cd2e6bfa82c1b65944ba626e,6a02507a87550f95e9ce5b9749c39b42ea9ea17433da800e5f2d68cd4c57b160,1260,60,115,['cuda']
college_scorecard,q1000,123,53e089b1c6e54aac5ed0906d56d1535c65e105069a26638e689e7f06940748d0,9e69492ccc4b1358e0d465ca52a014177f56c11656c823c8b15351ff00fe74b1,1260,60,115,['cuda']
college_scorecard,q1000,999,2ecd9fc568c6b42eb91f0724781e57c18c95fd18953855cb706fe0593774a175,251800ef307848892f53fc6d8a65d4f103129a0ea185bd0f7ef0c491d20bda68,1260,60,115,"['cpu', 'cuda']"
college_scorecard,q1000,7,04f8256a32efd24f9cc7115c2de18089502300aa40436a9d7fcf756c58ee3b9d,99669cc3cf1ce57c295b1bc94bb3de08d2d0eff1005c0cbed8eb5b80729f08cb,1260,60,115,['cuda']
college_scorecard,q1000,2024,5ad9a014bdf417e44652065f3eb02b2bbb4c6c0b5c72df8f3661af7e81cd28dc,fcd87bcdd1d72d45646e69cbef3019c4b58e5271b5e17cf1980751d17b1b085e,1260,60,115,['cuda']
college_scorecard,q2000,42,aa5d4c54f556e4063eb47d3ee1023e8c80a756e5764bcb4f0be50465000a23df,356eda0d62d36875e9f8a0cc3ada7073240ecede1d695edcf868e0118f680db6,1260,60,115,['cuda']
college_scorecard,q2000,123,813d41199dced0c45a08690f0129089cf56f85a6bb8e752410f1a0eb0e2e9b8e,120b390006168096939e5a6e4670ba518e3412b2f37071e6e34e35c8943a4f75,1260,60,115,['cuda']
college_scorecard,q2000,999,0022b15001949220cd4edf1d40ade642986886b585b9daa2ab56913125068ac5,fedd7c49d3967b34ae09899e1487b76f6281147080e867c143b2d40b878e9bf2,1260,60,115,['cuda']
college_scorecard,q2000,7,09cedc54c4036da4b9b174839f57303f92b317bd05041f9f1826bed235621d68,363e3af1b1fe9c6cf74370d66d1ee2b4c58524967e62115588328a2f6e97d4e2,1260,60,115,['cuda']
college_scorecard,q2000,2024,3e305b7541fe4aeae911feb53d09f092882614c1284c0b3e76996f0348c92fdc,62f9b69a11d3ff56015f0c454f2a8fc83f986a68162c3f7aa67a678791decd3b,1260,60,115,['cuda']
diabetes_readmission,q1000,42,6fc749b95c3f74b134e755bba18aa088dccb0e9ac9f3e79df0526d8c116e38f6,d405a98e53907327bf5ad61c3ea9a52de8e7887742d14b55d549f656232cc239,1260,60,115,['cuda']
diabetes_readmission,q1000,123,a342e5f8187deed3b8e61840453c3ed03597779ff521617fd296bd114031edae,badad7fe79ed83ffe7d15eeae8e15cf4ece047c8d280eac1b0be7fdcfad6ecb7,1260,60,115,['cuda']
diabetes_readmission,q1000,999,83558f1c189fbcf945ee36a41d763d03f8ddba1639934df3761ca4705bed75d1,b34bd5b3e11fa00973a63c77ab3c425c1eaa5ba998f3c7d8ed40a8f4799c1220,1260,60,115,['cuda']
diabetes_readmission,q1000,7,d278a3aa0a08e1c74bd4797b1a456ebd900d9a078fc7a735b2932fe9443f8f7d,08bce376f27dd7e091f6e5133b7b4c78adddc681292687b17d28ae0cf25d3135,1260,60,115,['cuda']
diabetes_readmission,q1000,2024,5b3eb5a795cfcda63b6f010e1b84a4394bb59434f93ba31bad5eef94980021a6,561f5ae27658c22b03900733b3039abaf604661679aaaa8cafbcadbe94286363,1260,60,115,['cuda']
diabetes_readmission,q2000,42,4d0ab4cc293bb87d4711d75696480bea6245a28b3ae78717cec9336a786ea15d,7df9e9b8d9121408437493cb23d67286206ad2859438699a39f66cb827dd2fb6,1260,60,115,['cuda']
diabetes_readmission,q2000,123,600fe3310697d3a94f4c557b8121a5134e786785724f50515c1fd616d5ce6eb9,ca88a43897e026555ec98eaa11b2acf27b452cd984dc77d7eadd879aecda12b7,1260,60,115,['cuda']
