task,column,dtype,role
acsincome,COW,category,categorical
acsincome,ENG,category,categorical
acsincome,FER,category,categorical
acsincome,HINS1,category,categorical
acsincome,HINS2,category,categorical
acsincome,HINS3,category,categorical
acsincome,HINS4,category,categorical
acsincome,NWLA,category,categorical
acsincome,NWLK,category,categorical
acsincome,OCCP,category,categorical
acsincome,POBP,category,categorical
acsincome,RELP,category,categorical
acsincome,WKHP,int64,numeric
acsincome,WKW,int64,numeric
acsincome,WRK,category,categorical
acsincome,AGEP,int64,numeric
acsincome,SEX,int64,numeric
acsincome,ST,category,categorical
acsincome,MAR,category,categorical
acsincome,CIT,category,categorical
acsincome,RAC1P,int64,numeric
acsincome,SCHL,category,categorical
acsincome,ACS_YEAR,int64,numeric
