task,column,dtype,role
college_scorecard,STABBR,category,categorical
college_scorecard,AccredAgency,category,categorical
college_scorecard,sch_deg,float64,numeric
college_scorecard,main,category,categorical
college_scorecard,NUMBRANCH,int64,numeric
college_scorecard,HIGHDEG,category,categorical
college_scorecard,CONTROL,category,categorical
college_scorecard,region,category,categorical
college_scorecard,LOCALE,category,categorical
college_scorecard,locale2,float64,numeric
college_scorecard,CCSIZSET,category,categorical
college_scorecard,HBCU,category,categorical
college_scorecard,ADM_RATE,float64,numeric
college_scorecard,ADM_RATE_ALL,float64,numeric
college_scorecard,SATVRMID,float64,numeric
college_scorecard,SATMTMID,float64,numeric
college_scorecard,SATWRMID,float64,numeric
college_scorecard,ACTCMMID,float64,numeric
college_scorecard,ACTENMID,float64,numeric
college_scorecard,ACTMTMID,float64,numeric
college_scorecard,ACTWRMID,float64,numeric
college_scorecard,PCIP01,float64,numeric
college_scorecard,PCIP03,float64,numeric
college_scorecard,PCIP04,float64,numeric
college_scorecard,PCIP05,float64,numeric
college_scorecard,PCIP09,float64,numeric
college_scorecard,PCIP10,float64,numeric
college_scorecard,PCIP11,float64,numeric
college_scorecard,PCIP12,float64,numeric
college_scorecard,PCIP13,float64,numeric
college_scorecard,PCIP14,float64,numeric
college_scorecard,PCIP15,float64,numeric
college_scorecard,PCIP16,float64,numeric
college_scorecard,PCIP19,float64,numeric
college_scorecard,PCIP22,float64,numeric
college_scorecard,PCIP23,float64,numeric
college_scorecard,PCIP24,float64,numeric
college_scorecard,PCIP25,float64,numeric
college_scorecard,PCIP26,float64,numeric
college_scorecard,PCIP27,float64,numeric
college_scorecard,PCIP29,float64,numeric
college_scorecard,PCIP30,float64,numeric
college_scorecard,PCIP31,float64,numeric
college_scorecard,PCIP38,float64,numeric
college_scorecard,PCIP39,float64,numeric
college_scorecard,PCIP40,float64,numeric
college_scorecard,PCIP41,float64,numeric
college_scorecard,PCIP42,float64,numeric
college_scorecard,PCIP43,float64,numeric
college_scorecard,PCIP44,float64,numeric
college_scorecard,PCIP45,float64,numeric
college_scorecard,PCIP46,float64,numeric
college_scorecard,PCIP47,float64,numeric
college_scorecard,PCIP48,float64,numeric
college_scorecard,PCIP49,float64,numeric
college_scorecard,PCIP50,float64,numeric
college_scorecard,PCIP51,float64,numeric
college_scorecard,PCIP52,float64,numeric
college_scorecard,PCIP54,float64,numeric
college_scorecard,DISTANCEONLY,category,categorical
college_scorecard,UGDS,float64,numeric
college_scorecard,UG,float64,numeric
college_scorecard,UGDS_WHITE,float64,numeric
college_scorecard,UGDS_BLACK,float64,numeric
college_scorecard,UGDS_HISP,float64,numeric
college_scorecard,UGDS_ASIAN,float64,numeric
college_scorecard,UGDS_AIAN,float64,numeric
college_scorecard,UGDS_NHPI,float64,numeric
college_scorecard,UGDS_2MOR,float64,numeric
college_scorecard,UGDS_NRA,float64,numeric
college_scorecard,UGDS_UNKN,float64,numeric
college_scorecard,UGDS_WHITENH,float64,numeric
college_scorecard,UGDS_BLACKNH,float64,numeric
college_scorecard,UGDS_API,float64,numeric
college_scorecard,UGDS_AIANOld,float64,numeric
college_scorecard,UGDS_HISPOld,float64,numeric
college_scorecard,UG_NRA,float64,numeric
college_scorecard,UG_UNKN,float64,numeric
college_scorecard,UG_WHITENH,float64,numeric
college_scorecard,UG_BLACKNH,float64,numeric
college_scorecard,UG_API,float64,numeric
college_scorecard,UG_AIANOld,float64,numeric
college_scorecard,UG_HISPOld,float64,numeric
college_scorecard,PPTUG_EF,float64,numeric
college_scorecard,PPTUG_EF2,float64,numeric
college_scorecard,NPT4_PROG,float64,numeric
college_scorecard,COSTT4_A,float64,numeric
college_scorecard,COSTT4_P,float64,numeric
college_scorecard,TUITIONFEE_IN,float64,numeric
college_scorecard,TUITIONFEE_OUT,float64,numeric
college_scorecard,TUITIONFEE_PROG,float64,numeric
college_scorecard,TUITFTE,float64,numeric
college_scorecard,INEXPFTE,float64,numeric
college_scorecard,AVGFACSAL,float64,numeric
college_scorecard,PFTFAC,float64,numeric
college_scorecard,PCTPELL,float64,numeric
college_scorecard,loan_ever,float64,numeric
college_scorecard,pell_ever,float64,numeric
college_scorecard,age_entry,float64,numeric
college_scorecard,age_entry_sq,float64,numeric
college_scorecard,agege24,float64,numeric
college_scorecard,female,float64,numeric
college_scorecard,married,float64,numeric
college_scorecard,dependent,float64,numeric
college_scorecard,veteran,float64,numeric
college_scorecard,first_gen,float64,numeric
college_scorecard,faminc,float64,numeric
college_scorecard,md_faminc,float64,numeric
college_scorecard,pct_white,float64,numeric
college_scorecard,pct_black,float64,numeric
college_scorecard,pct_asian,float64,numeric
college_scorecard,pct_hispanic,float64,numeric
college_scorecard,pct_ba,float64,numeric
college_scorecard,pct_grad_prof,float64,numeric
college_scorecard,pct_born_us,float64,numeric
college_scorecard,median_hh_inc,float64,numeric
college_scorecard,poverty_rate,float64,numeric
college_scorecard,unemp_rate,float64,numeric
