task,column,dtype,role
diabetes_readmission,race,int64,numeric
diabetes_readmission,gender,int64,numeric
diabetes_readmission,age,category,categorical
diabetes_readmission,weight,category,categorical
diabetes_readmission,admission_type_id,int64,numeric
diabetes_readmission,discharge_disposition_id,int64,numeric
diabetes_readmission,time_in_hospital,float64,numeric
diabetes_readmission,payer_code,category,categorical
diabetes_readmission,medical_specialty,category,categorical
diabetes_readmission,num_lab_procedures,float64,numeric
diabetes_readmission,num_procedures,float64,numeric
diabetes_readmission,num_medications,float64,numeric
diabetes_readmission,number_outpatient,float64,numeric
diabetes_readmission,number_emergency,float64,numeric
diabetes_readmission,number_inpatient,float64,numeric
diabetes_readmission,diag_1,category,categorical
diabetes_readmission,diag_2,category,categorical
diabetes_readmission,diag_3,category,categorical
diabetes_readmission,number_diagnoses,float64,numeric
diabetes_readmission,max_glu_serum,category,categorical
diabetes_readmission,A1Cresult,category,categorical
diabetes_readmission,metformin,category,categorical
diabetes_readmission,repaglinide,category,categorical
diabetes_readmission,nateglinide,category,categorical
diabetes_readmission,chlorpropamide,category,categorical
diabetes_readmission,glimepiride,category,categorical
diabetes_readmission,acetohexamide,category,categorical
diabetes_readmission,glipizide,category,categorical
diabetes_readmission,glyburide,category,categorical
diabetes_readmission,tolbutamide,category,categorical
diabetes_readmission,pioglitazone,category,categorical
diabetes_readmission,rosiglitazone,category,categorical
diabetes_readmission,acarbose,category,categorical
diabetes_readmission,miglitol,category,categorical
diabetes_readmission,troglitazone,category,categorical
diabetes_readmission,tolazamide,category,categorical
diabetes_readmission,examide,category,categorical
diabetes_readmission,citoglipton,category,categorical
diabetes_readmission,insulin,category,categorical
diabetes_readmission,glyburide-metformin,category,categorical
diabetes_readmission,glipizide-metformin,category,categorical
diabetes_readmission,glimepiride-pioglitazone,category,categorical
diabetes_readmission,metformin-rosiglitazone,category,categorical
diabetes_readmission,metformin-pioglitazone,category,categorical
diabetes_readmission,change,category,categorical
diabetes_readmission,diabetesMed,category,categorical
