setting,qs,seed,fam,sel_c,sel_kernel,p1c_ood,p1c_id
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,classical_ext,10.0,laplacian_med,0.7537829658452226,0.779283469112836
m1_hist_byteent__ms123__q1000_id500_ood500,123,123,quantum,1.0,zz_r2_full,0.6584121951610062,0.7785457694528193
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,classical_ext,10.0,laplacian_med,0.7537829658452226,0.779283469112836
m1_hist_byteent__ms123__q1000_id500_ood500,123,42,quantum,1.0,zz_r2_full,0.6584121951610062,0.7785457694528193
m1_hist_byteent__ms123__q1000_id500_ood500,123,999,classical_ext,10.0,laplacian_med,0.7537829658452226,0.779283469112836
m1_hist_byteent__ms123__q1000_id500_ood500,123,999,quantum,1.0,zz_r2_full,0.6584121951610062,0.7785457694528193
m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,classical_ext,10.0,laplacian_med,0.7369138495092693,0.7729354859376001
m1_hist_byteent__ms123__q1000_id500_ood500,2024,123,quantum,1.0,zz_r2_full,0.7523253576239657,0.7762829137036326
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,classical_ext,10.0,laplacian_med,0.7369138495092693,0.7729354859376001
m1_hist_byteent__ms123__q1000_id500_ood500,2024,42,quantum,1.0,zz_r2_full,0.7523253576239657,0.7762829137036326
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,classical_ext,10.0,laplacian_med,0.7369138495092693,0.7729354859376001
m1_hist_byteent__ms123__q1000_id500_ood500,2024,999,quantum,1.0,zz_r2_full,0.7523253576239657,0.7762829137036326
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,classical_ext,10.0,laplacian_med,0.7849961577868853,0.7947591250240554
m1_hist_byteent__ms123__q1000_id500_ood500,42,123,quantum,1.0,zz_r1_full,0.7830430327868853,0.7869330938482263
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,classical_ext,10.0,laplacian_med,0.7849961577868853,0.7947591250240554
m1_hist_byteent__ms123__q1000_id500_ood500,42,42,quantum,1.0,zz_r1_full,0.7830430327868853,0.7869330938482263
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,classical_ext,10.0,laplacian_med,0.7849961577868853,0.7947591250240554
m1_hist_byteent__ms123__q1000_id500_ood500,42,999,quantum,1.0,zz_r1_full,0.7830430327868853,0.7869330938482263
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,classical_ext,10.0,laplacian_med,0.649205485589925,0.8220000000000001
m1_hist_byteent__ms123__q1000_id500_ood500,7,123,quantum,1.0,zz_r1_full,0.6548943047798883,0.8
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,classical_ext,10.0,laplacian_med,0.649205485589925,0.8220000000000001
m1_hist_byteent__ms123__q1000_id500_ood500,7,42,quantum,1.0,zz_r1_full,0.6548943047798883,0.8
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,classical_ext,10.0,laplacian_med,0.649205485589925,0.8220000000000001
m1_hist_byteent__ms123__q1000_id500_ood500,7,999,quantum,1.0,zz_r1_full,0.6548943047798883,0.8
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,classical_ext,10.0,laplacian_med,0.7721660509430294,0.8466711553567707
m1_hist_byteent__ms123__q1000_id500_ood500,999,123,quantum,1.0,zz_r2_full,0.7590738220234623,0.8095673223360426
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,classical_ext,10.0,laplacian_med,0.7721660509430294,0.8466711553567707
m1_hist_byteent__ms123__q1000_id500_ood500,999,42,quantum,1.0,zz_r2_full,0.7590738220234623,0.8095673223360426
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,classical_ext,10.0,laplacian_med,0.7721660509430294,0.8466711553567707
m1_hist_byteent__ms123__q1000_id500_ood500,999,999,quantum,1.0,zz_r2_full,0.7590738220234623,0.8095673223360426
m1_hist_byteent__ms123__q2000_id1000_ood1000,123,123,classical_ext,10.0,laplacian_med,0.765761427837699,0.8318369502592664
m1_hist_byteent__ms123__q2000_id1000_ood1000,123,123,quantum,1.0,zz_r2_full,0.7437243194658449,0.8223705268548749
m1_hist_byteent__ms123__q2000_id1000_ood1000,123,42,classical_ext,10.0,laplacian_med,0.765761427837699,0.8318369502592664
